UID,Country,City,Aridity_Index
Glasgow.1,UK,Glasgow,17182
Glasgow.2,UK,Glasgow,17802
Glasgow.3,UK,Glasgow,17420
Glasgow.4,UK,Glasgow,17337
Glasgow.5,UK,Glasgow,17182
Glasgow.6,UK,Glasgow,17275
Glasgow.7,UK,Glasgow,17276
Glasgow.8,UK,Glasgow,17572
Glasgow.9,UK,Glasgow,17926
Glasgow.10,UK,Glasgow,17389
Glasgow.11,UK,Glasgow,17605
Glasgow.12,UK,Glasgow,17849
Glasgow.13,UK,Glasgow,18262
Glasgow.14,UK,Glasgow,19341
Glasgow.15,UK,Glasgow,20351
Glasgow.16,UK,Glasgow,20783
Glasgow.17,UK,Glasgow,21734
Glasgow.18,UK,Glasgow,22582
Glasgow.19,UK,Glasgow,22605
Glasgow.20,UK,Glasgow,17849
Glasgow.21,UK,Glasgow,23058
Glasgow.22,UK,Glasgow,23161
Glasgow.23,UK,Glasgow,23714
Glasgow.24,UK,Glasgow,24517
Glasgow.25,UK,Glasgow,22613
Glasgow.26,UK,Glasgow,22613
Glasgow.27,UK,Glasgow,22062
Glasgow.28,UK,Glasgow,22062
Glasgow.29,UK,Glasgow,20430
Glasgow.30,UK,Glasgow,20430
Glasgow.31,UK,Glasgow,19885
Glasgow.32,UK,Glasgow,19885
Glasgow.33,UK,Glasgow,20561
Glasgow.34,UK,Glasgow,19395
Glasgow.35,UK,Glasgow,19395
Glasgow.36,UK,Glasgow,19395
Glasgow.37,UK,Glasgow,19455
Glasgow.38,UK,Glasgow,20226
Glasgow.39,UK,Glasgow,17228
Glasgow.40,UK,Glasgow,17121
