UID,Country,City,Aridity_Index
Madison.1,USA,Madison,7678
Madison.2,USA,Madison,7678
Madison.3,USA,Madison,7668
Madison.4,USA,Madison,7672
Madison.5,USA,Madison,7575
Madison.6,USA,Madison,7618
Madison.7,USA,Madison,7599
Madison.8,USA,Madison,7599
Madison.9,USA,Madison,7599
Madison.10,USA,Madison,7599
Madison.11,USA,Madison,7610
Madison.12,USA,Madison,7610
Madison.13,USA,Madison,7600
Madison.14,USA,Madison,7600
Madison.15,USA,Madison,7606
Madison.16,USA,Madison,7606
Madison.17,USA,Madison,7631
Madison.18,USA,Madison,7631
Madison.19,USA,Madison,7573
Madison.20,USA,Madison,7573
Madison.21,USA,Madison,7564
Madison.22,USA,Madison,7512
Madison.23,USA,Madison,7522
Madison.24,USA,Madison,7548
Madison.25,USA,Madison,7548
Madison.26,USA,Madison,7541
Madison.27,USA,Madison,7604
Madison.28,USA,Madison,7634
Madison.29,USA,Madison,7634
Madison.30,USA,Madison,7643
Madison.31,USA,Madison,7643
Madison.32,USA,Madison,7637
Madison.33,USA,Madison,7637
Madison.34,USA,Madison,7635
Madison.35,USA,Madison,7635
Madison.36,USA,Madison,7780
Madison.37,USA,Madison,7677
Madison.38,USA,Madison,7715
Madison.39,USA,Madison,7715
Madison.40,USA,Madison,7715
Madison.41,USA,Madison,7738
Madison.42,USA,Madison,7738
Madison.43,USA,Madison,7741
Madison.44,USA,Madison,7741
Madison.45,USA,Madison,7747
Madison.46,USA,Madison,7747
Madison.47,USA,Madison,7789
Madison.48,USA,Madison,7812
Madison.49,USA,Madison,7768
Madison.50,USA,Madison,7741
