UID,Country,City,Aridity_Index
Quebec_City.1,Canada,Quebec_City,14294
Quebec_City.2,Canada,Quebec_City,14225
Quebec_City.3,Canada,Quebec_City,14241
Quebec_City.4,Canada,Quebec_City,14193
Quebec_City.5,Canada,Quebec_City,14275
Quebec_City.6,Canada,Quebec_City,14341
Quebec_City.7,Canada,Quebec_City,14431
Quebec_City.8,Canada,Quebec_City,14535
Quebec_City.9,Canada,Quebec_City,14657
Quebec_City.10,Canada,Quebec_City,14680
Quebec_City.11,Canada,Quebec_City,14228
Quebec_City.12,Canada,Quebec_City,14190
Quebec_City.13,Canada,Quebec_City,13475
Quebec_City.14,Canada,Quebec_City,14190
Quebec_City.15,Canada,Quebec_City,14106
Quebec_City.16,Canada,Quebec_City,13942
Quebec_City.17,Canada,Quebec_City,13731
Quebec_City.18,Canada,Quebec_City,13812
Quebec_City.19,Canada,Quebec_City,13615
Quebec_City.20,Canada,Quebec_City,13832
Quebec_City.21,Canada,Quebec_City,13590
Quebec_City.22,Canada,Quebec_City,13437
Quebec_City.23,Canada,Quebec_City,13334
Quebec_City.24,Canada,Quebec_City,13403
Quebec_City.25,Canada,Quebec_City,13436
Quebec_City.26,Canada,Quebec_City,13244
Quebec_City.27,Canada,Quebec_City,13577
Quebec_City.28,Canada,Quebec_City,13340
Quebec_City.29,Canada,Quebec_City,13336
Quebec_City.30,Canada,Quebec_City,13577
Quebec_City.31,Canada,Quebec_City,13577
Quebec_City.32,Canada,Quebec_City,13524
Quebec_City.33,Canada,Quebec_City,13387
Quebec_City.34,Canada,Quebec_City,13387
Quebec_City.35,Canada,Quebec_City,13350
Quebec_City.36,Canada,Quebec_City,13201
Quebec_City.37,Canada,Quebec_City,13201
Quebec_City.38,Canada,Quebec_City,13201
Quebec_City.39,Canada,Quebec_City,13128
Quebec_City.40,Canada,Quebec_City,13232
Quebec_City.41,Canada,Quebec_City,13254
Quebec_City.42,Canada,Quebec_City,13424
