UID,Country,City,Aridity_Index
Wuhan.1,China,Wuhan,10222
Wuhan.2,China,Wuhan,10239
Wuhan.3,China,Wuhan,10176
Wuhan.4,China,Wuhan,10240
Wuhan.5,China,Wuhan,10240
Wuhan.6,China,Wuhan,10204
Wuhan.7,China,Wuhan,10204
Wuhan.8,China,Wuhan,10074
Wuhan.9,China,Wuhan,10249
Wuhan.10,China,Wuhan,10430
Wuhan.11,China,Wuhan,10436
Wuhan.12,China,Wuhan,10436
Wuhan.13,China,Wuhan,10405
Wuhan.14,China,Wuhan,10405
Wuhan.15,China,Wuhan,10408
Wuhan.16,China,Wuhan,10408
Wuhan.17,China,Wuhan,10408
Wuhan.18,China,Wuhan,10408
Wuhan.19,China,Wuhan,10460
Wuhan.20,China,Wuhan,10460
Wuhan.21,China,Wuhan,10446
Wuhan.22,China,Wuhan,10417
Wuhan.23,China,Wuhan,10417
Wuhan.24,China,Wuhan,10421
Wuhan.25,China,Wuhan,10397
Wuhan.26,China,Wuhan,10414
Wuhan.27,China,Wuhan,10414
Wuhan.28,China,Wuhan,10414
Wuhan.29,China,Wuhan,10446
Wuhan.30,China,Wuhan,10408
Wuhan.31,China,Wuhan,10204
Wuhan.32,China,Wuhan,10240
Wuhan.33,China,Wuhan,10240
Wuhan.34,China,Wuhan,10183
Wuhan.35,China,Wuhan,10183
Wuhan.36,China,Wuhan,10183
Wuhan.37,China,Wuhan,10176
Wuhan.38,China,Wuhan,10176
Wuhan.39,China,Wuhan,10176
Wuhan.40,China,Wuhan,10208
Wuhan.41,China,Wuhan,10208
