UID,Country,City,Aridity_Index
Amsterdam.1,Netherlands,Amsterdam,11320
Amsterdam.2,Netherlands,Amsterdam,10690
Amsterdam.3,Netherlands,Amsterdam,10891
Amsterdam.4,Netherlands,Amsterdam,10782
Amsterdam.5,Netherlands,Amsterdam,10722
Amsterdam.6,Netherlands,Amsterdam,11159
Amsterdam.7,Netherlands,Amsterdam,11378
Amsterdam.8,Netherlands,Amsterdam,10788
Amsterdam.9,Netherlands,Amsterdam,11463
Amsterdam.10,Netherlands,Amsterdam,10686
Amsterdam.11,Netherlands,Amsterdam,10712
Amsterdam.12,Netherlands,Amsterdam,11097
Amsterdam.13,Netherlands,Amsterdam,11024
Amsterdam.14,Netherlands,Amsterdam,10554
Amsterdam.15,Netherlands,Amsterdam,11364
Amsterdam.16,Netherlands,Amsterdam,10822
Amsterdam.17,Netherlands,Amsterdam,10715
Amsterdam.18,Netherlands,Amsterdam,10657
Amsterdam.19,Netherlands,Amsterdam,11024
Amsterdam.20,Netherlands,Amsterdam,10924
Amsterdam.21,Netherlands,Amsterdam,10652
Amsterdam.22,Netherlands,Amsterdam,11102
Amsterdam.23,Netherlands,Amsterdam,11285
Amsterdam.24,Netherlands,Amsterdam,11182
Amsterdam.25,Netherlands,Amsterdam,11183
Amsterdam.26,Netherlands,Amsterdam,10954
Amsterdam.27,Netherlands,Amsterdam,10671
Amsterdam.28,Netherlands,Amsterdam,10803
Amsterdam.29,Netherlands,Amsterdam,11263
Amsterdam.30,Netherlands,Amsterdam,10810
Amsterdam.31,Netherlands,Amsterdam,10830
Amsterdam.32,Netherlands,Amsterdam,11157
Amsterdam.33,Netherlands,Amsterdam,10684
Amsterdam.34,Netherlands,Amsterdam,10657
Amsterdam.35,Netherlands,Amsterdam,11024
Amsterdam.36,Netherlands,Amsterdam,10672
Amsterdam.37,Netherlands,Amsterdam,10739
