UID,Country,City,Aridity_Index
Washington.1,USA,Washington,7664
Washington.2,USA,Washington,7942
Washington.3,USA,Washington,7572
Washington.4,USA,Washington,7675
Washington.5,USA,Washington,7808
Washington.6,USA,Washington,7792
Washington.7,USA,Washington,8017
Washington.8,USA,Washington,7817
Washington.9,USA,Washington,7864
Washington.10,USA,Washington,7783
Washington.11,USA,Washington,7583
Washington.12,USA,Washington,8223
Washington.13,USA,Washington,8137
Washington.14,USA,Washington,8193
Washington.15,USA,Washington,7886
Washington.16,USA,Washington,7798
Washington.17,USA,Washington,8085
Washington.18,USA,Washington,8799
Washington.19,USA,Washington,8429
Washington.20,USA,Washington,7743
Washington.21,USA,Washington,8357
Washington.22,USA,Washington,8503
Washington.23,USA,Washington,7974
Washington.24,USA,Washington,7731
Washington.25,USA,Washington,7703
Washington.26,USA,Washington,7362
Washington.27,USA,Washington,7973
Washington.28,USA,Washington,7436
Washington.29,USA,Washington,8105
Washington.30,USA,Washington,7717
Washington.31,USA,Washington,7945
Washington.32,USA,Washington,8425
Washington.33,USA,Washington,7404
Washington.34,USA,Washington,8707
Washington.35,USA,Washington,7859
Washington.36,USA,Washington,7312
Washington.37,USA,Washington,8304
Washington.38,USA,Washington,8065
Washington.39,USA,Washington,7762
Washington.40,USA,Washington,8703
Washington.41,USA,Washington,8533
Washington.42,USA,Washington,7977
Washington.43,USA,Washington,8191
Washington.44,USA,Washington,8202
Washington.45,USA,Washington,8013
