UID,Country,City,Aridity_Index
Athens.1,USA,Athens,8258
Athens.2,USA,Athens,8220
Athens.3,USA,Athens,8189
Athens.4,USA,Athens,8185
Athens.5,USA,Athens,8376
Athens.6,USA,Athens,8338
Athens.7,USA,Athens,8346
Athens.8,USA,Athens,8346
Athens.9,USA,Athens,8346
Athens.10,USA,Athens,8292
Athens.11,USA,Athens,8292
Athens.12,USA,Athens,8250
Athens.13,USA,Athens,8151
Athens.14,USA,Athens,8151
Athens.15,USA,Athens,8284
Athens.16,USA,Athens,8338
Athens.17,USA,Athens,8251
Athens.18,USA,Athens,8279
Athens.19,USA,Athens,8326
Athens.20,USA,Athens,8326
Athens.21,USA,Athens,8301
Athens.22,USA,Athens,8348
Athens.23,USA,Athens,8310
Athens.24,USA,Athens,8296
Athens.25,USA,Athens,8311
Athens.26,USA,Athens,8272
Athens.27,USA,Athens,8277
Athens.28,USA,Athens,8277
