UID,Country,City,Aridity_Index
Hiroshima.1,Japan,Hiroshima,14670
Hiroshima.2,Japan,Hiroshima,14626
Hiroshima.3,Japan,Hiroshima,14548
Hiroshima.4,Japan,Hiroshima,14548
Hiroshima.5,Japan,Hiroshima,0
Hiroshima.6,Japan,Hiroshima,0
Hiroshima.7,Japan,Hiroshima,14623
Hiroshima.8,Japan,Hiroshima,14623
Hiroshima.9,Japan,Hiroshima,14656
Hiroshima.10,Japan,Hiroshima,14650
Hiroshima.11,Japan,Hiroshima,14700
Hiroshima.12,Japan,Hiroshima,14929
Hiroshima.13,Japan,Hiroshima,14910
Hiroshima.14,Japan,Hiroshima,15014
Hiroshima.15,Japan,Hiroshima,15044
Hiroshima.16,Japan,Hiroshima,15044
Hiroshima.17,Japan,Hiroshima,15072
Hiroshima.18,Japan,Hiroshima,14830
Hiroshima.19,Japan,Hiroshima,15182
Hiroshima.20,Japan,Hiroshima,16118
Hiroshima.21,Japan,Hiroshima,22161
Hiroshima.22,Japan,Hiroshima,19852
Hiroshima.23,Japan,Hiroshima,19159
Hiroshima.24,Japan,Hiroshima,19331
Hiroshima.25,Japan,Hiroshima,21415
Hiroshima.26,Japan,Hiroshima,21279
Hiroshima.27,Japan,Hiroshima,19215
Hiroshima.28,Japan,Hiroshima,20183
Hiroshima.29,Japan,Hiroshima,20964
Hiroshima.30,Japan,Hiroshima,20938
Hiroshima.31,Japan,Hiroshima,21111
Hiroshima.32,Japan,Hiroshima,19782
Hiroshima.33,Japan,Hiroshima,20051
Hiroshima.34,Japan,Hiroshima,20051
Hiroshima.35,Japan,Hiroshima,19275
Hiroshima.36,Japan,Hiroshima,17744
Hiroshima.37,Japan,Hiroshima,17902
Hiroshima.38,Japan,Hiroshima,17462
Hiroshima.39,Japan,Hiroshima,17068
Hiroshima.40,Japan,Hiroshima,16954
Hiroshima.41,Japan,Hiroshima,16928
Hiroshima.42,Japan,Hiroshima,16830
Hiroshima.43,Japan,Hiroshima,16517
Hiroshima.44,Japan,Hiroshima,16725
Hiroshima.45,Japan,Hiroshima,14677
