UID,Country,City,Aridity_Index
Sydney.1,Australia,Sydney,5523
Sydney.2,Australia,Sydney,5692
Sydney.3,Australia,Sydney,5692
Sydney.4,Australia,Sydney,5696
Sydney.5,Australia,Sydney,5704
Sydney.6,Australia,Sydney,5704
Sydney.7,Australia,Sydney,5691
Sydney.8,Australia,Sydney,5693
Sydney.9,Australia,Sydney,5517
Sydney.10,Australia,Sydney,5424
Sydney.11,Australia,Sydney,5424
Sydney.12,Australia,Sydney,5437
Sydney.13,Australia,Sydney,5420
Sydney.14,Australia,Sydney,5344
Sydney.15,Australia,Sydney,5290
Sydney.16,Australia,Sydney,5222
Sydney.17,Australia,Sydney,5215
Sydney.18,Australia,Sydney,5271
Sydney.19,Australia,Sydney,5260
Sydney.20,Australia,Sydney,5319
Sydney.21,Australia,Sydney,5453
Sydney.22,Australia,Sydney,5537
Sydney.23,Australia,Sydney,5537
Sydney.24,Australia,Sydney,5346
Sydney.25,Australia,Sydney,5477
Sydney.26,Australia,Sydney,5721
Sydney.27,Australia,Sydney,5530
Sydney.28,Australia,Sydney,5462
Sydney.29,Australia,Sydney,5421
Sydney.30,Australia,Sydney,5402
Sydney.31,Australia,Sydney,5397
Sydney.32,Australia,Sydney,5371
Sydney.33,Australia,Sydney,5458
Sydney.34,Australia,Sydney,5290
Sydney.35,Australia,Sydney,5290
Sydney.36,Australia,Sydney,5326
Sydney.37,Australia,Sydney,5359
Sydney.38,Australia,Sydney,5359
Sydney.39,Australia,Sydney,5351
Sydney.40,Australia,Sydney,5351
