UID,Country,City,Aridity_Index
Lake_Charles.1,USA,Lake_Charles,8980
Lake_Charles.2,USA,Lake_Charles,9064
Lake_Charles.3,USA,Lake_Charles,9092
Lake_Charles.4,USA,Lake_Charles,9188
Lake_Charles.5,USA,Lake_Charles,9133
Lake_Charles.6,USA,Lake_Charles,9070
Lake_Charles.7,USA,Lake_Charles,9084
Lake_Charles.8,USA,Lake_Charles,9089
Lake_Charles.9,USA,Lake_Charles,9243
Lake_Charles.10,USA,Lake_Charles,9343
Lake_Charles.11,USA,Lake_Charles,9322
Lake_Charles.12,USA,Lake_Charles,9259
Lake_Charles.13,USA,Lake_Charles,9136
Lake_Charles.14,USA,Lake_Charles,9152
Lake_Charles.15,USA,Lake_Charles,9166
Lake_Charles.16,USA,Lake_Charles,9341
Lake_Charles.17,USA,Lake_Charles,9470
Lake_Charles.18,USA,Lake_Charles,9487
Lake_Charles.19,USA,Lake_Charles,9416
Lake_Charles.20,USA,Lake_Charles,9322
Lake_Charles.21,USA,Lake_Charles,9227
Lake_Charles.22,USA,Lake_Charles,9353
Lake_Charles.23,USA,Lake_Charles,9510
Lake_Charles.24,USA,Lake_Charles,9568
Lake_Charles.25,USA,Lake_Charles,9664
Lake_Charles.26,USA,Lake_Charles,9585
Lake_Charles.27,USA,Lake_Charles,9541
Lake_Charles.28,USA,Lake_Charles,9571
Lake_Charles.29,USA,Lake_Charles,9522
Lake_Charles.30,USA,Lake_Charles,9507
Lake_Charles.31,USA,Lake_Charles,9697
Lake_Charles.32,USA,Lake_Charles,9726
Lake_Charles.33,USA,Lake_Charles,9554
Lake_Charles.34,USA,Lake_Charles,9618
Lake_Charles.35,USA,Lake_Charles,9593
Lake_Charles.36,USA,Lake_Charles,9585
Lake_Charles.37,USA,Lake_Charles,9767
Lake_Charles.38,USA,Lake_Charles,9847
Lake_Charles.39,USA,Lake_Charles,9631
