UID,Country,City,Aridity_Index
Lansing.1,USA,Lansing,7642
Lansing.2,USA,Lansing,7592
Lansing.3,USA,Lansing,7558
Lansing.4,USA,Lansing,7508
Lansing.5,USA,Lansing,7608
Lansing.6,USA,Lansing,7601
Lansing.7,USA,Lansing,7522
Lansing.8,USA,Lansing,7446
Lansing.9,USA,Lansing,7365
Lansing.10,USA,Lansing,7509
Lansing.11,USA,Lansing,7515
Lansing.12,USA,Lansing,7705
Lansing.13,USA,Lansing,7621
Lansing.14,USA,Lansing,7526
Lansing.15,USA,Lansing,7353
Lansing.16,USA,Lansing,7240
Lansing.17,USA,Lansing,7253
Lansing.18,USA,Lansing,7392
Lansing.19,USA,Lansing,7445
Lansing.20,USA,Lansing,7643
Lansing.21,USA,Lansing,7575
Lansing.22,USA,Lansing,7378
Lansing.23,USA,Lansing,7266
Lansing.24,USA,Lansing,7232
Lansing.25,USA,Lansing,7236
Lansing.26,USA,Lansing,7304
Lansing.27,USA,Lansing,7394
Lansing.28,USA,Lansing,7655
Lansing.29,USA,Lansing,7557
Lansing.30,USA,Lansing,7482
Lansing.31,USA,Lansing,7379
Lansing.32,USA,Lansing,7375
Lansing.33,USA,Lansing,7451
Lansing.34,USA,Lansing,7524
Lansing.35,USA,Lansing,7630
Lansing.36,USA,Lansing,7569
Lansing.37,USA,Lansing,7524
Lansing.38,USA,Lansing,7535
Lansing.39,USA,Lansing,7545
