UID,Country,City,Aridity_Index
Latacunga.1,Ecuador,Latacunga,11605
Latacunga.2,Ecuador,Latacunga,4530
Latacunga.3,Ecuador,Latacunga,5909
Latacunga.4,Ecuador,Latacunga,10828
Latacunga.5,Ecuador,Latacunga,5039
Latacunga.6,Ecuador,Latacunga,4175
Latacunga.7,Ecuador,Latacunga,5299
Latacunga.8,Ecuador,Latacunga,8566
Latacunga.9,Ecuador,Latacunga,9144
Latacunga.10,Ecuador,Latacunga,10888
Latacunga.11,Ecuador,Latacunga,4400
Latacunga.12,Ecuador,Latacunga,4343
Latacunga.13,Ecuador,Latacunga,8215
Latacunga.14,Ecuador,Latacunga,12676
Latacunga.15,Ecuador,Latacunga,12701
Latacunga.16,Ecuador,Latacunga,8557
Latacunga.17,Ecuador,Latacunga,11147
Latacunga.18,Ecuador,Latacunga,4622
Latacunga.19,Ecuador,Latacunga,4186
Latacunga.20,Ecuador,Latacunga,8454
Latacunga.21,Ecuador,Latacunga,12212
Latacunga.22,Ecuador,Latacunga,12986
Latacunga.23,Ecuador,Latacunga,9355
Latacunga.24,Ecuador,Latacunga,11048
Latacunga.25,Ecuador,Latacunga,5087
Latacunga.26,Ecuador,Latacunga,4540
Latacunga.27,Ecuador,Latacunga,8019
Latacunga.28,Ecuador,Latacunga,11495
Latacunga.29,Ecuador,Latacunga,12494
Latacunga.30,Ecuador,Latacunga,7752
Latacunga.31,Ecuador,Latacunga,6565
Latacunga.32,Ecuador,Latacunga,5381
Latacunga.33,Ecuador,Latacunga,9039
Latacunga.34,Ecuador,Latacunga,11343
Latacunga.35,Ecuador,Latacunga,12028
Latacunga.36,Ecuador,Latacunga,7693
Latacunga.37,Ecuador,Latacunga,9658
