UID,Country,City,Aridity_Index
Rockford.1,USA,Rockford,8058
Rockford.2,USA,Rockford,8090
Rockford.3,USA,Rockford,8068
Rockford.4,USA,Rockford,8173
Rockford.5,USA,Rockford,8054
Rockford.6,USA,Rockford,8026
Rockford.7,USA,Rockford,8078
Rockford.8,USA,Rockford,8034
Rockford.9,USA,Rockford,8046
Rockford.10,USA,Rockford,8058
Rockford.11,USA,Rockford,8093
Rockford.12,USA,Rockford,8126
Rockford.13,USA,Rockford,8144
Rockford.14,USA,Rockford,8199
Rockford.15,USA,Rockford,8066
Rockford.16,USA,Rockford,7895
Rockford.17,USA,Rockford,7877
Rockford.18,USA,Rockford,7933
Rockford.19,USA,Rockford,7999
Rockford.20,USA,Rockford,8016
Rockford.21,USA,Rockford,8065
Rockford.22,USA,Rockford,7985
Rockford.23,USA,Rockford,7824
Rockford.24,USA,Rockford,7605
Rockford.25,USA,Rockford,7653
Rockford.26,USA,Rockford,7959
Rockford.27,USA,Rockford,7906
Rockford.28,USA,Rockford,7938
Rockford.29,USA,Rockford,7911
Rockford.30,USA,Rockford,7965
Rockford.31,USA,Rockford,7945
Rockford.32,USA,Rockford,7732
Rockford.33,USA,Rockford,7675
Rockford.34,USA,Rockford,7975
Rockford.35,USA,Rockford,8074
Rockford.36,USA,Rockford,7884
Rockford.37,USA,Rockford,7820
Rockford.38,USA,Rockford,7768
Rockford.39,USA,Rockford,7596
Rockford.40,USA,Rockford,7892
