UID,Country,City,Aridity_Index
Sioux_Falls.1,USA,Sioux_Falls,4904
Sioux_Falls.2,USA,Sioux_Falls,4968
Sioux_Falls.3,USA,Sioux_Falls,4949
Sioux_Falls.4,USA,Sioux_Falls,4953
Sioux_Falls.5,USA,Sioux_Falls,4915
Sioux_Falls.6,USA,Sioux_Falls,4871
Sioux_Falls.7,USA,Sioux_Falls,4867
Sioux_Falls.8,USA,Sioux_Falls,4883
Sioux_Falls.9,USA,Sioux_Falls,4921
Sioux_Falls.10,USA,Sioux_Falls,5018
Sioux_Falls.11,USA,Sioux_Falls,4981
Sioux_Falls.12,USA,Sioux_Falls,4959
Sioux_Falls.13,USA,Sioux_Falls,4911
Sioux_Falls.14,USA,Sioux_Falls,4768
Sioux_Falls.15,USA,Sioux_Falls,4778
Sioux_Falls.16,USA,Sioux_Falls,4930
Sioux_Falls.17,USA,Sioux_Falls,4992
Sioux_Falls.18,USA,Sioux_Falls,5088
Sioux_Falls.19,USA,Sioux_Falls,4973
Sioux_Falls.20,USA,Sioux_Falls,4979
Sioux_Falls.21,USA,Sioux_Falls,4972
Sioux_Falls.22,USA,Sioux_Falls,4912
Sioux_Falls.23,USA,Sioux_Falls,4847
Sioux_Falls.24,USA,Sioux_Falls,4942
Sioux_Falls.25,USA,Sioux_Falls,5013
Sioux_Falls.26,USA,Sioux_Falls,5066
Sioux_Falls.27,USA,Sioux_Falls,4997
Sioux_Falls.28,USA,Sioux_Falls,4989
Sioux_Falls.29,USA,Sioux_Falls,4975
Sioux_Falls.30,USA,Sioux_Falls,4972
Sioux_Falls.31,USA,Sioux_Falls,5027
Sioux_Falls.32,USA,Sioux_Falls,5097
Sioux_Falls.33,USA,Sioux_Falls,5041
Sioux_Falls.34,USA,Sioux_Falls,4988
Sioux_Falls.35,USA,Sioux_Falls,5042
Sioux_Falls.36,USA,Sioux_Falls,5075
