UID,Country,City,Aridity_Index
Brussels.1,Belgium,Brussels,9383
Brussels.2,Belgium,Brussels,9425
Brussels.3,Belgium,Brussels,9290
Brussels.4,Belgium,Brussels,9321
Brussels.5,Belgium,Brussels,9292
Brussels.6,Belgium,Brussels,9292
Brussels.7,Belgium,Brussels,9290
Brussels.8,Belgium,Brussels,9414
Brussels.9,Belgium,Brussels,9474
Brussels.10,Belgium,Brussels,9512
Brussels.11,Belgium,Brussels,9512
Brussels.12,Belgium,Brussels,9590
Brussels.13,Belgium,Brussels,9650
Brussels.14,Belgium,Brussels,9773
Brussels.15,Belgium,Brussels,9773
Brussels.16,Belgium,Brussels,9773
Brussels.17,Belgium,Brussels,9701
Brussels.18,Belgium,Brussels,9808
Brussels.19,Belgium,Brussels,9841
Brussels.20,Belgium,Brussels,9963
Brussels.21,Belgium,Brussels,9854
Brussels.22,Belgium,Brussels,9688
Brussels.23,Belgium,Brussels,9540
Brussels.24,Belgium,Brussels,9456
Brussels.25,Belgium,Brussels,9456
Brussels.26,Belgium,Brussels,9405
Brussels.27,Belgium,Brussels,9672
Brussels.28,Belgium,Brussels,9672
Brussels.29,Belgium,Brussels,9587
Brussels.30,Belgium,Brussels,9688
