UID,Country,City,Aridity_Index
Chicago.1,USA,Chicago,7833
Chicago.2,USA,Chicago,7827
Chicago.3,USA,Chicago,7731
Chicago.4,USA,Chicago,7725
Chicago.5,USA,Chicago,7734
Chicago.6,USA,Chicago,7735
Chicago.7,USA,Chicago,7738
Chicago.8,USA,Chicago,7761
Chicago.9,USA,Chicago,7784
Chicago.10,USA,Chicago,7781
Chicago.11,USA,Chicago,7763
Chicago.12,USA,Chicago,7720
Chicago.13,USA,Chicago,7673
Chicago.14,USA,Chicago,7754
Chicago.15,USA,Chicago,7722
Chicago.16,USA,Chicago,7777
Chicago.17,USA,Chicago,7772
Chicago.18,USA,Chicago,7772
Chicago.19,USA,Chicago,7715
Chicago.20,USA,Chicago,7706
Chicago.21,USA,Chicago,7706
Chicago.22,USA,Chicago,7691
Chicago.23,USA,Chicago,7756
Chicago.24,USA,Chicago,7712
Chicago.25,USA,Chicago,7639
Chicago.26,USA,Chicago,7657
Chicago.27,USA,Chicago,7726
Chicago.28,USA,Chicago,7749
Chicago.29,USA,Chicago,7767
Chicago.30,USA,Chicago,7809
Chicago.31,USA,Chicago,7910
Chicago.32,USA,Chicago,7818
Chicago.33,USA,Chicago,7898
Chicago.34,USA,Chicago,7895
Chicago.35,USA,Chicago,7927
Chicago.36,USA,Chicago,7925
Chicago.37,USA,Chicago,7988
Chicago.38,USA,Chicago,8051
Chicago.39,USA,Chicago,8146
Chicago.40,USA,Chicago,8143
Chicago.41,USA,Chicago,8154
Chicago.42,USA,Chicago,8287
Chicago.43,USA,Chicago,8284
Chicago.44,USA,Chicago,8398
Chicago.45,USA,Chicago,8521
