UID,Country,City,Aridity_Index
Atlanta.1,USA,Atlanta,9285
Atlanta.2,USA,Atlanta,8915
Atlanta.3,USA,Atlanta,8742
Atlanta.4,USA,Atlanta,9527
Atlanta.5,USA,Atlanta,8859
Atlanta.6,USA,Atlanta,9045
Atlanta.7,USA,Atlanta,8867
Atlanta.8,USA,Atlanta,9423
Atlanta.9,USA,Atlanta,9260
Atlanta.10,USA,Atlanta,8893
Atlanta.11,USA,Atlanta,9408
Atlanta.12,USA,Atlanta,8884
Atlanta.13,USA,Atlanta,8869
Atlanta.14,USA,Atlanta,8623
Atlanta.15,USA,Atlanta,9027
Atlanta.16,USA,Atlanta,9484
Atlanta.17,USA,Atlanta,8728
Atlanta.18,USA,Atlanta,8765
Atlanta.19,USA,Atlanta,9533
Atlanta.20,USA,Atlanta,8992
Atlanta.21,USA,Atlanta,8956
Atlanta.22,USA,Atlanta,8941
Atlanta.23,USA,Atlanta,8827
Atlanta.24,USA,Atlanta,8683
Atlanta.25,USA,Atlanta,8850
Atlanta.26,USA,Atlanta,9369
Atlanta.27,USA,Atlanta,9210
Atlanta.28,USA,Atlanta,9227
Atlanta.29,USA,Atlanta,8805
Atlanta.30,USA,Atlanta,8791
Atlanta.31,USA,Atlanta,8782
Atlanta.32,USA,Atlanta,8877
Atlanta.33,USA,Atlanta,8839
Atlanta.34,USA,Atlanta,8596
Atlanta.35,USA,Atlanta,8825
Atlanta.36,USA,Atlanta,8780
Atlanta.37,USA,Atlanta,8716
Atlanta.38,USA,Atlanta,9263
Atlanta.39,USA,Atlanta,8853
Atlanta.40,USA,Atlanta,8982
Atlanta.41,USA,Atlanta,8843
Atlanta.42,USA,Atlanta,9009
Atlanta.43,USA,Atlanta,9227
Atlanta.44,USA,Atlanta,8557
Atlanta.45,USA,Atlanta,8931
