UID,Country,City,Aridity_Index
Burlington.1,USA,Burlington,9467
Burlington.2,USA,Burlington,8307
Burlington.3,USA,Burlington,8830
Burlington.4,USA,Burlington,9472
Burlington.5,USA,Burlington,8699
Burlington.6,USA,Burlington,8843
Burlington.7,USA,Burlington,9324
Burlington.8,USA,Burlington,8724
Burlington.9,USA,Burlington,8727
Burlington.10,USA,Burlington,10856
Burlington.11,USA,Burlington,8740
Burlington.12,USA,Burlington,8552
Burlington.13,USA,Burlington,8502
Burlington.14,USA,Burlington,8572
Burlington.15,USA,Burlington,8720
Burlington.16,USA,Burlington,8378
Burlington.17,USA,Burlington,8920
Burlington.18,USA,Burlington,10306
Burlington.19,USA,Burlington,9381
Burlington.20,USA,Burlington,8290
Burlington.21,USA,Burlington,8254
Burlington.22,USA,Burlington,9165
Burlington.23,USA,Burlington,8510
Burlington.24,USA,Burlington,9225
Burlington.25,USA,Burlington,8370
Burlington.26,USA,Burlington,10366
Burlington.27,USA,Burlington,8570
Burlington.28,USA,Burlington,8869
Burlington.29,USA,Burlington,9246
Burlington.30,USA,Burlington,9270
Burlington.31,USA,Burlington,9267
Burlington.32,USA,Burlington,8700
Burlington.33,USA,Burlington,8441
Burlington.34,USA,Burlington,8496
Burlington.35,USA,Burlington,10115
Burlington.36,USA,Burlington,9366
Burlington.37,USA,Burlington,9562
Burlington.38,USA,Burlington,8881
Burlington.39,USA,Burlington,10060
Burlington.40,USA,Burlington,8309
Burlington.41,USA,Burlington,8474
Burlington.42,USA,Burlington,8703
Burlington.43,USA,Burlington,8887
Burlington.44,USA,Burlington,10108
Burlington.45,USA,Burlington,9009
Burlington.46,USA,Burlington,9181
Burlington.47,USA,Burlington,8445
Burlington.48,USA,Burlington,8378
Burlington.49,USA,Burlington,9969
Burlington.50,USA,Burlington,9758
Burlington.51,USA,Burlington,8273
Burlington.52,USA,Burlington,8827
Burlington.53,USA,Burlington,8824
Burlington.54,USA,Burlington,9358
Burlington.55,USA,Burlington,9420
Burlington.56,USA,Burlington,10765
Burlington.57,USA,Burlington,10249
Burlington.58,USA,Burlington,8859
Burlington.59,USA,Burlington,9001
