UID,Country,City,Aridity_Index
Indianapolis.1,USA,Indianapolis,8717
Indianapolis.2,USA,Indianapolis,8710
Indianapolis.3,USA,Indianapolis,8767
Indianapolis.4,USA,Indianapolis,8255
Indianapolis.5,USA,Indianapolis,8494
Indianapolis.6,USA,Indianapolis,8810
Indianapolis.7,USA,Indianapolis,8729
Indianapolis.8,USA,Indianapolis,8403
Indianapolis.9,USA,Indianapolis,8584
Indianapolis.10,USA,Indianapolis,8236
Indianapolis.11,USA,Indianapolis,8879
Indianapolis.12,USA,Indianapolis,8828
Indianapolis.13,USA,Indianapolis,8523
Indianapolis.14,USA,Indianapolis,8972
Indianapolis.15,USA,Indianapolis,8452
Indianapolis.16,USA,Indianapolis,8778
Indianapolis.17,USA,Indianapolis,8621
Indianapolis.18,USA,Indianapolis,8767
Indianapolis.19,USA,Indianapolis,8355
Indianapolis.20,USA,Indianapolis,8393
Indianapolis.21,USA,Indianapolis,8751
Indianapolis.22,USA,Indianapolis,8844
Indianapolis.23,USA,Indianapolis,8285
Indianapolis.24,USA,Indianapolis,8472
Indianapolis.25,USA,Indianapolis,8823
Indianapolis.26,USA,Indianapolis,8474
Indianapolis.27,USA,Indianapolis,8507
Indianapolis.28,USA,Indianapolis,8931
Indianapolis.29,USA,Indianapolis,8337
Indianapolis.30,USA,Indianapolis,8701
Indianapolis.31,USA,Indianapolis,8783
Indianapolis.32,USA,Indianapolis,8620
Indianapolis.33,USA,Indianapolis,8545
Indianapolis.34,USA,Indianapolis,8707
Indianapolis.35,USA,Indianapolis,8921
Indianapolis.36,USA,Indianapolis,8555
Indianapolis.37,USA,Indianapolis,8723
Indianapolis.38,USA,Indianapolis,8794
Indianapolis.39,USA,Indianapolis,8287
Indianapolis.40,USA,Indianapolis,8735
Indianapolis.41,USA,Indianapolis,8676
Indianapolis.42,USA,Indianapolis,8646
Indianapolis.43,USA,Indianapolis,8809
Indianapolis.44,USA,Indianapolis,8822
Indianapolis.45,USA,Indianapolis,8824
Indianapolis.46,USA,Indianapolis,8626
Indianapolis.47,USA,Indianapolis,8798
Indianapolis.48,USA,Indianapolis,8304
Indianapolis.49,USA,Indianapolis,8774
Indianapolis.50,USA,Indianapolis,8774
