UID,Country,City,Aridity_Index
Landshut.1,Germany,Landshut,9943
Landshut.2,Germany,Landshut,9024
Landshut.3,Germany,Landshut,9831
Landshut.4,Germany,Landshut,9455
Landshut.5,Germany,Landshut,9766
Landshut.6,Germany,Landshut,10034
Landshut.7,Germany,Landshut,9535
Landshut.8,Germany,Landshut,9803
Landshut.9,Germany,Landshut,10019
Landshut.10,Germany,Landshut,9400
Landshut.11,Germany,Landshut,9203
Landshut.12,Germany,Landshut,9499
Landshut.13,Germany,Landshut,9422
Landshut.14,Germany,Landshut,8953
Landshut.15,Germany,Landshut,9722
Landshut.16,Germany,Landshut,9469
Landshut.17,Germany,Landshut,9261
Landshut.18,Germany,Landshut,9428
Landshut.19,Germany,Landshut,9583
Landshut.20,Germany,Landshut,9370
Landshut.21,Germany,Landshut,9082
Landshut.22,Germany,Landshut,9884
Landshut.23,Germany,Landshut,10075
Landshut.24,Germany,Landshut,10013
Landshut.25,Germany,Landshut,9886
Landshut.26,Germany,Landshut,10045
Landshut.27,Germany,Landshut,10045
Landshut.28,Germany,Landshut,8952
Landshut.29,Germany,Landshut,10035
Landshut.30,Germany,Landshut,9105
Landshut.31,Germany,Landshut,9928
Landshut.32,Germany,Landshut,9426
Landshut.33,Germany,Landshut,9421
Landshut.34,Germany,Landshut,9990
Landshut.35,Germany,Landshut,9310
Landshut.36,Germany,Landshut,10131
Landshut.37,Germany,Landshut,9870
Landshut.38,Germany,Landshut,9832
Landshut.39,Germany,Landshut,9422
Landshut.40,Germany,Landshut,9105
Landshut.41,Germany,Landshut,9003
Landshut.42,Germany,Landshut,9074
Landshut.43,Germany,Landshut,9376
Landshut.44,Germany,Landshut,8902
Landshut.45,Germany,Landshut,9887
Landshut.46,Germany,Landshut,8921
Landshut.47,Germany,Landshut,10139
Landshut.48,Germany,Landshut,10100
Landshut.49,Germany,Landshut,9327
Landshut.50,Germany,Landshut,9960
