UID,Country,City,Aridity_Index
Victoria.1,Canada,Victoria,8920
Victoria.2,Canada,Victoria,10758
Victoria.3,Canada,Victoria,8813
Victoria.4,Canada,Victoria,7954
Victoria.5,Canada,Victoria,9805
Victoria.6,Canada,Victoria,9954
Victoria.7,Canada,Victoria,12429
Victoria.8,Canada,Victoria,8127
Victoria.9,Canada,Victoria,10797
Victoria.10,Canada,Victoria,7536
Victoria.11,Canada,Victoria,7711
Victoria.12,Canada,Victoria,13236
Victoria.13,Canada,Victoria,11543
Victoria.14,Canada,Victoria,7378
Victoria.15,Canada,Victoria,8558
Victoria.16,Canada,Victoria,12272
Victoria.17,Canada,Victoria,9480
Victoria.18,Canada,Victoria,11126
Victoria.19,Canada,Victoria,11269
Victoria.20,Canada,Victoria,10180
Victoria.21,Canada,Victoria,8003
Victoria.22,Canada,Victoria,8658
Victoria.23,Canada,Victoria,11281
Victoria.24,Canada,Victoria,10661
Victoria.25,Canada,Victoria,7236
Victoria.26,Canada,Victoria,7742
Victoria.27,Canada,Victoria,12429
Victoria.28,Canada,Victoria,10009
Victoria.29,Canada,Victoria,10134
Victoria.30,Canada,Victoria,7435
Victoria.31,Canada,Victoria,9017
Victoria.32,Canada,Victoria,7759
Victoria.33,Canada,Victoria,0
Victoria.34,Canada,Victoria,8468
Victoria.35,Canada,Victoria,11208
Victoria.36,Canada,Victoria,7250
Victoria.37,Canada,Victoria,11007
