UID,Country,City,Aridity_Index
Charlotte.1,USA,Charlotte,7787
Charlotte.2,USA,Charlotte,7705
Charlotte.3,USA,Charlotte,7741
Charlotte.4,USA,Charlotte,7734
Charlotte.5,USA,Charlotte,7750
Charlotte.6,USA,Charlotte,7750
Charlotte.7,USA,Charlotte,7739
Charlotte.8,USA,Charlotte,7734
Charlotte.9,USA,Charlotte,7736
Charlotte.10,USA,Charlotte,7698
Charlotte.11,USA,Charlotte,7732
Charlotte.12,USA,Charlotte,7721
Charlotte.13,USA,Charlotte,7730
Charlotte.14,USA,Charlotte,7728
Charlotte.15,USA,Charlotte,7767
Charlotte.16,USA,Charlotte,7766
Charlotte.17,USA,Charlotte,7769
Charlotte.18,USA,Charlotte,7775
Charlotte.19,USA,Charlotte,7786
Charlotte.20,USA,Charlotte,7774
Charlotte.21,USA,Charlotte,7793
Charlotte.22,USA,Charlotte,7783
Charlotte.23,USA,Charlotte,7907
Charlotte.24,USA,Charlotte,8011
Charlotte.25,USA,Charlotte,7996
Charlotte.26,USA,Charlotte,7974
Charlotte.27,USA,Charlotte,8099
Charlotte.28,USA,Charlotte,8088
Charlotte.29,USA,Charlotte,8133
Charlotte.30,USA,Charlotte,8190
Charlotte.31,USA,Charlotte,8102
Charlotte.32,USA,Charlotte,8142
Charlotte.33,USA,Charlotte,8155
Charlotte.34,USA,Charlotte,8152
Charlotte.35,USA,Charlotte,8150
Charlotte.36,USA,Charlotte,8162
Charlotte.37,USA,Charlotte,8192
Charlotte.38,USA,Charlotte,8191
Charlotte.39,USA,Charlotte,8141
