UID,Country,City,Aridity_Index
Christchurch.1,New Zealand,Christchurch,6751
Christchurch.2,New Zealand,Christchurch,6751
Christchurch.3,New Zealand,Christchurch,6751
Christchurch.4,New Zealand,Christchurch,6751
Christchurch.5,New Zealand,Christchurch,6181
Christchurch.6,New Zealand,Christchurch,6181
Christchurch.7,New Zealand,Christchurch,6259
Christchurch.8,New Zealand,Christchurch,6112
Christchurch.9,New Zealand,Christchurch,6112
Christchurch.10,New Zealand,Christchurch,6112
Christchurch.11,New Zealand,Christchurch,5265
Christchurch.12,New Zealand,Christchurch,5677
Christchurch.13,New Zealand,Christchurch,5677
Christchurch.14,New Zealand,Christchurch,5637
Christchurch.15,New Zealand,Christchurch,5637
Christchurch.16,New Zealand,Christchurch,5637
Christchurch.17,New Zealand,Christchurch,5709
Christchurch.18,New Zealand,Christchurch,5782
Christchurch.19,New Zealand,Christchurch,5741
Christchurch.20,New Zealand,Christchurch,5546
Christchurch.21,New Zealand,Christchurch,5596
Christchurch.22,New Zealand,Christchurch,5546
Christchurch.23,New Zealand,Christchurch,5748
Christchurch.24,New Zealand,Christchurch,5844
Christchurch.25,New Zealand,Christchurch,5589
Christchurch.26,New Zealand,Christchurch,5639
Christchurch.27,New Zealand,Christchurch,5639
Christchurch.28,New Zealand,Christchurch,5706
Christchurch.29,New Zealand,Christchurch,5753
Christchurch.30,New Zealand,Christchurch,5705
Christchurch.31,New Zealand,Christchurch,5718
Christchurch.32,New Zealand,Christchurch,5847
Christchurch.33,New Zealand,Christchurch,5953
Christchurch.34,New Zealand,Christchurch,5784
Christchurch.35,New Zealand,Christchurch,5832
Christchurch.36,New Zealand,Christchurch,5740
Christchurch.37,New Zealand,Christchurch,5740
Christchurch.38,New Zealand,Christchurch,5501
Christchurch.39,New Zealand,Christchurch,5501
