UID,Country,City,Aridity_Index
Frankfurt.1,Germany,Frankfurt,7260
Frankfurt.2,Germany,Frankfurt,7260
Frankfurt.3,Germany,Frankfurt,7143
Frankfurt.4,Germany,Frankfurt,7072
Frankfurt.5,Germany,Frankfurt,7062
Frankfurt.6,Germany,Frankfurt,7062
Frankfurt.7,Germany,Frankfurt,7140
Frankfurt.8,Germany,Frankfurt,7140
Frankfurt.9,Germany,Frankfurt,7063
Frankfurt.10,Germany,Frankfurt,7063
Frankfurt.11,Germany,Frankfurt,6975
Frankfurt.12,Germany,Frankfurt,6975
Frankfurt.13,Germany,Frankfurt,6955
Frankfurt.14,Germany,Frankfurt,6955
Frankfurt.15,Germany,Frankfurt,6996
Frankfurt.16,Germany,Frankfurt,6996
Frankfurt.17,Germany,Frankfurt,6891
Frankfurt.18,Germany,Frankfurt,7035
Frankfurt.19,Germany,Frankfurt,7035
Frankfurt.20,Germany,Frankfurt,7042
Frankfurt.21,Germany,Frankfurt,7042
Frankfurt.22,Germany,Frankfurt,7086
Frankfurt.23,Germany,Frankfurt,7164
Frankfurt.24,Germany,Frankfurt,7164
Frankfurt.25,Germany,Frankfurt,7164
Frankfurt.26,Germany,Frankfurt,7134
Frankfurt.27,Germany,Frankfurt,7163
Frankfurt.28,Germany,Frankfurt,7075
Frankfurt.29,Germany,Frankfurt,7075
Frankfurt.30,Germany,Frankfurt,7162
Frankfurt.31,Germany,Frankfurt,7008
Frankfurt.32,Germany,Frankfurt,7045
Frankfurt.33,Germany,Frankfurt,7001
Frankfurt.34,Germany,Frankfurt,7147
Frankfurt.35,Germany,Frankfurt,7087
Frankfurt.36,Germany,Frankfurt,6997
Frankfurt.37,Germany,Frankfurt,6997
Frankfurt.38,Germany,Frankfurt,6995
Frankfurt.39,Germany,Frankfurt,6941
