UID,Country,City,Aridity_Index
Quebec_City.1,Canada,Quebec_City,13861
Quebec_City.2,Canada,Quebec_City,13886
Quebec_City.3,Canada,Quebec_City,13879
Quebec_City.4,Canada,Quebec_City,13879
Quebec_City.5,Canada,Quebec_City,13849
Quebec_City.6,Canada,Quebec_City,13849
Quebec_City.7,Canada,Quebec_City,14003
Quebec_City.8,Canada,Quebec_City,13950
Quebec_City.9,Canada,Quebec_City,13905
Quebec_City.10,Canada,Quebec_City,13905
Quebec_City.11,Canada,Quebec_City,13918
Quebec_City.12,Canada,Quebec_City,13954
Quebec_City.13,Canada,Quebec_City,14072
Quebec_City.14,Canada,Quebec_City,13956
Quebec_City.15,Canada,Quebec_City,14006
Quebec_City.16,Canada,Quebec_City,14016
Quebec_City.17,Canada,Quebec_City,14018
Quebec_City.18,Canada,Quebec_City,14018
Quebec_City.19,Canada,Quebec_City,14104
Quebec_City.20,Canada,Quebec_City,14092
Quebec_City.21,Canada,Quebec_City,14092
Quebec_City.22,Canada,Quebec_City,14111
Quebec_City.23,Canada,Quebec_City,14138
Quebec_City.24,Canada,Quebec_City,14044
Quebec_City.25,Canada,Quebec_City,14003
Quebec_City.26,Canada,Quebec_City,13762
Quebec_City.27,Canada,Quebec_City,13271
Quebec_City.28,Canada,Quebec_City,0
Quebec_City.29,Canada,Quebec_City,13507
Quebec_City.30,Canada,Quebec_City,13600
Quebec_City.31,Canada,Quebec_City,13779
Quebec_City.32,Canada,Quebec_City,13709
Quebec_City.33,Canada,Quebec_City,13709
Quebec_City.34,Canada,Quebec_City,13763
Quebec_City.35,Canada,Quebec_City,13668
Quebec_City.36,Canada,Quebec_City,13747
Quebec_City.37,Canada,Quebec_City,13722
Quebec_City.38,Canada,Quebec_City,13786
Quebec_City.39,Canada,Quebec_City,13844
