UID,Country,City,Aridity_Index
Rockford.1,USA,Rockford,7639
Rockford.2,USA,Rockford,7639
Rockford.3,USA,Rockford,7675
Rockford.4,USA,Rockford,7597
Rockford.5,USA,Rockford,7621
Rockford.6,USA,Rockford,7728
Rockford.7,USA,Rockford,7677
Rockford.8,USA,Rockford,7640
Rockford.9,USA,Rockford,7640
Rockford.10,USA,Rockford,7617
Rockford.11,USA,Rockford,7540
Rockford.12,USA,Rockford,7615
Rockford.13,USA,Rockford,7610
Rockford.14,USA,Rockford,7678
Rockford.15,USA,Rockford,7705
Rockford.16,USA,Rockford,7672
Rockford.17,USA,Rockford,7731
Rockford.18,USA,Rockford,7731
Rockford.19,USA,Rockford,7736
Rockford.20,USA,Rockford,7779
Rockford.21,USA,Rockford,7793
Rockford.22,USA,Rockford,7793
Rockford.23,USA,Rockford,7837
Rockford.24,USA,Rockford,7879
Rockford.25,USA,Rockford,7879
Rockford.26,USA,Rockford,7910
Rockford.27,USA,Rockford,7988
Rockford.28,USA,Rockford,7988
Rockford.29,USA,Rockford,7964
Rockford.30,USA,Rockford,8008
Rockford.31,USA,Rockford,8008
Rockford.32,USA,Rockford,8000
Rockford.33,USA,Rockford,8000
Rockford.34,USA,Rockford,8000
Rockford.35,USA,Rockford,7974
Rockford.36,USA,Rockford,7974
Rockford.37,USA,Rockford,8007
Rockford.38,USA,Rockford,8007
Rockford.39,USA,Rockford,8004
Rockford.40,USA,Rockford,7974
