UID,Country,City,Aridity_Index
Sapporo.1,Japan,Sapporo,12813
Sapporo.2,Japan,Sapporo,12693
Sapporo.3,Japan,Sapporo,12693
Sapporo.4,Japan,Sapporo,12720
Sapporo.5,Japan,Sapporo,12591
Sapporo.6,Japan,Sapporo,12624
Sapporo.7,Japan,Sapporo,12624
Sapporo.8,Japan,Sapporo,12724
Sapporo.9,Japan,Sapporo,12853
Sapporo.10,Japan,Sapporo,12957
Sapporo.11,Japan,Sapporo,12957
Sapporo.12,Japan,Sapporo,12963
Sapporo.13,Japan,Sapporo,13149
Sapporo.14,Japan,Sapporo,13149
Sapporo.15,Japan,Sapporo,13407
Sapporo.16,Japan,Sapporo,13082
Sapporo.17,Japan,Sapporo,13407
Sapporo.18,Japan,Sapporo,13605
Sapporo.19,Japan,Sapporo,13706
Sapporo.20,Japan,Sapporo,13706
Sapporo.21,Japan,Sapporo,14957
Sapporo.22,Japan,Sapporo,14700
Sapporo.23,Japan,Sapporo,15632
Sapporo.24,Japan,Sapporo,16334
Sapporo.25,Japan,Sapporo,16334
Sapporo.26,Japan,Sapporo,16508
Sapporo.27,Japan,Sapporo,16712
Sapporo.28,Japan,Sapporo,16431
Sapporo.29,Japan,Sapporo,15777
Sapporo.30,Japan,Sapporo,15777
Sapporo.31,Japan,Sapporo,17413
Sapporo.32,Japan,Sapporo,16300
Sapporo.33,Japan,Sapporo,16124
Sapporo.34,Japan,Sapporo,16522
Sapporo.35,Japan,Sapporo,16360
Sapporo.36,Japan,Sapporo,16360
Sapporo.37,Japan,Sapporo,16304
Sapporo.38,Japan,Sapporo,16304
Sapporo.39,Japan,Sapporo,15487
Sapporo.40,Japan,Sapporo,16125
Sapporo.41,Japan,Sapporo,16425
Sapporo.42,Japan,Sapporo,12606
Sapporo.43,Japan,Sapporo,12666
Sapporo.44,Japan,Sapporo,12727
