UID,Country,City,Aridity_Index
Memphis.1,USA,Memphis,8853
Memphis.2,USA,Memphis,8778
Memphis.3,USA,Memphis,8711
Memphis.4,USA,Memphis,8716
Memphis.5,USA,Memphis,8888
Memphis.6,USA,Memphis,8832
Memphis.7,USA,Memphis,8698
Memphis.8,USA,Memphis,8611
Memphis.9,USA,Memphis,8619
Memphis.10,USA,Memphis,8654
Memphis.11,USA,Memphis,8676
Memphis.12,USA,Memphis,8631
Memphis.13,USA,Memphis,8695
Memphis.14,USA,Memphis,8732
Memphis.15,USA,Memphis,8612
Memphis.16,USA,Memphis,8547
Memphis.17,USA,Memphis,8528
Memphis.18,USA,Memphis,8526
Memphis.19,USA,Memphis,8541
Memphis.20,USA,Memphis,8603
Memphis.21,USA,Memphis,8552
Memphis.22,USA,Memphis,8574
Memphis.23,USA,Memphis,8701
Memphis.24,USA,Memphis,8740
Memphis.25,USA,Memphis,8477
Memphis.26,USA,Memphis,8401
Memphis.27,USA,Memphis,8433
Memphis.28,USA,Memphis,8496
Memphis.29,USA,Memphis,8601
Memphis.30,USA,Memphis,8597
Memphis.31,USA,Memphis,8506
Memphis.32,USA,Memphis,8594
Memphis.33,USA,Memphis,8748
Memphis.34,USA,Memphis,8549
Memphis.35,USA,Memphis,8428
Memphis.36,USA,Memphis,8413
Memphis.37,USA,Memphis,8495
Memphis.38,USA,Memphis,8511
Memphis.39,USA,Memphis,8557
Memphis.40,USA,Memphis,8640
Memphis.41,USA,Memphis,8759
Memphis.42,USA,Memphis,8617
Memphis.43,USA,Memphis,8484
Memphis.44,USA,Memphis,8497
Memphis.45,USA,Memphis,8449
Memphis.46,USA,Memphis,8683
Memphis.47,USA,Memphis,8709
Memphis.48,USA,Memphis,8663
Memphis.49,USA,Memphis,8644
