UID,Country,City,Aridity_Index
Rancagua.1,Chile,Rancagua,4143
Rancagua.2,Chile,Rancagua,4031
Rancagua.3,Chile,Rancagua,4478
Rancagua.4,Chile,Rancagua,4495
Rancagua.5,Chile,Rancagua,3902
Rancagua.6,Chile,Rancagua,3920
Rancagua.7,Chile,Rancagua,3843
Rancagua.8,Chile,Rancagua,4388
Rancagua.9,Chile,Rancagua,4051
Rancagua.10,Chile,Rancagua,4225
Rancagua.11,Chile,Rancagua,3721
Rancagua.12,Chile,Rancagua,3690
Rancagua.13,Chile,Rancagua,3662
Rancagua.14,Chile,Rancagua,3701
Rancagua.15,Chile,Rancagua,3773
Rancagua.16,Chile,Rancagua,3908
Rancagua.17,Chile,Rancagua,4526
Rancagua.18,Chile,Rancagua,4920
Rancagua.19,Chile,Rancagua,3691
Rancagua.20,Chile,Rancagua,3493
Rancagua.21,Chile,Rancagua,3446
Rancagua.22,Chile,Rancagua,3564
Rancagua.23,Chile,Rancagua,3643
Rancagua.24,Chile,Rancagua,4684
Rancagua.25,Chile,Rancagua,4518
Rancagua.26,Chile,Rancagua,4491
Rancagua.27,Chile,Rancagua,3468
Rancagua.28,Chile,Rancagua,3484
Rancagua.29,Chile,Rancagua,3443
Rancagua.30,Chile,Rancagua,3499
Rancagua.31,Chile,Rancagua,3568
Rancagua.32,Chile,Rancagua,4344
Rancagua.33,Chile,Rancagua,3930
Rancagua.34,Chile,Rancagua,4285
Rancagua.35,Chile,Rancagua,3442
Rancagua.36,Chile,Rancagua,3492
Rancagua.37,Chile,Rancagua,3565
