UID,Country,City,Aridity_Index
Washington.1,USA,Washington,7695
Washington.2,USA,Washington,7722
Washington.3,USA,Washington,8019
Washington.4,USA,Washington,7723
Washington.5,USA,Washington,7317
Washington.6,USA,Washington,7889
Washington.7,USA,Washington,8022
Washington.8,USA,Washington,8149
Washington.9,USA,Washington,8021
Washington.10,USA,Washington,7494
Washington.11,USA,Washington,7622
Washington.12,USA,Washington,7573
Washington.13,USA,Washington,7434
Washington.14,USA,Washington,7495
Washington.15,USA,Washington,8116
Washington.16,USA,Washington,8081
Washington.17,USA,Washington,8191
Washington.18,USA,Washington,7792
Washington.19,USA,Washington,7528
Washington.20,USA,Washington,7828
Washington.21,USA,Washington,7764
Washington.22,USA,Washington,7638
Washington.23,USA,Washington,7893
Washington.24,USA,Washington,8218
Washington.25,USA,Washington,8250
Washington.26,USA,Washington,7775
Washington.27,USA,Washington,7678
Washington.28,USA,Washington,7957
Washington.29,USA,Washington,7937
Washington.30,USA,Washington,8266
Washington.31,USA,Washington,8390
Washington.32,USA,Washington,8599
Washington.33,USA,Washington,8323
Washington.34,USA,Washington,7973
Washington.35,USA,Washington,7916
Washington.36,USA,Washington,8310
Washington.37,USA,Washington,8592
Washington.38,USA,Washington,8671
Washington.39,USA,Washington,8303
Washington.40,USA,Washington,7925
Washington.41,USA,Washington,8542
Washington.42,USA,Washington,8727
Washington.43,USA,Washington,8780
