UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Atlantic_City.1,USA,Atlantic_City,2156388,1100288.75,1471449.75,1046293.375,1174573.75,1239726.5,4051131.75
Atlantic_City.2,USA,Atlantic_City,589245.5625,231650.859375,309793.75,220282.859375,247290.546875,261007.59375,852910.8125
Atlantic_City.3,USA,Atlantic_City,147759.15625,23371.55078125,31255.484375,22224.6171875,24949.45703125,26333.384765625,86051.25
Atlantic_City.4,USA,Atlantic_City,118207.3203125,53962.015625,72165.046875,51313.890625,57605.2109375,60800.52734375,198681.6875
Atlantic_City.5,USA,Atlantic_City,147759.15625,123813.5078125,165579.578125,117737.5,132172.671875,139504.1875,455866.53125
Atlantic_City.6,USA,Atlantic_City,354621.96875,2023737.5,2706405.75,1924425,2160368.25,2280202.5,7451159.5
Atlantic_City.7,USA,Atlantic_City,752228.4375,34787.71484375,46522.66796875,33080.546875,37136.375,39196.30078125,128084.1953125
Atlantic_City.8,USA,Atlantic_City,12537.140625,61960.421875,82861.5625,58919.78515625,66143.625,69812.5625,228130.84375
Atlantic_City.9,USA,Atlantic_City,419098.6875,278946.09375,373043.09375,265257.125,297778.875,314296.4375,1027046.125
Atlantic_City.10,USA,Atlantic_City,372532.15625,1707256.5,3340432.5,1631931,2718033.25,1844504.875,7054409
Atlantic_City.11,USA,Atlantic_City,2364146.5,1272419.375,2489626.5,1216279.25,2025752.125,1374710.75,5257656
Atlantic_City.12,USA,Atlantic_City,2249521.25,2693547.25,4995598,2570443.75,4043865.5,2953497.5,11619408
Atlantic_City.13,USA,Atlantic_City,738795.75,748775.5,1388719.5,714554.125,1124148.5,821038.6875,3230063.25
Atlantic_City.14,USA,Atlantic_City,80595.8984375,2772.962890625,5142.88671875,2646.22998046875,4163.09375,3040.57763671875,11961.9912109375
Atlantic_City.15,USA,Atlantic_City,111938.75,1628.478759765625,3020.264892578125,1554.0523681640625,2444.861328125,1785.6409912109375,7024.92236328125
Atlantic_City.16,USA,Atlantic_City,349248.90625,1032.4051513671875,1761.9837646484375,991.38372802734375,1447.593505859375,1074.7752685546875,2827.60302734375
Atlantic_City.17,USA,Atlantic_City,26865.30078125,43837.61328125,81303.6015625,41834.09765625,65814.109375,48068.31640625,189106.4375
Atlantic_City.18,USA,Atlantic_City,1497292.75,92053.515625,170727.421875,87846.390625,138201.421875,100937.46875,397099.9375
Atlantic_City.19,USA,Atlantic_City,16624248,4527248,8396479,4320338.5,6796829.5,4964166.5,19529616
Atlantic_City.20,USA,Atlantic_City,10817761,19809934,36740572,18904560,29740970,21721760,85455968
Atlantic_City.21,USA,Atlantic_City,1888630.625,427201.8125,792311.625,407677.375,641364.9375,468430.5,1842860.75
Atlantic_City.22,USA,Atlantic_City,5050676.5,2871271.25,5325215,2740045.25,4310685.5,3148373.5,12386072
Atlantic_City.23,USA,Atlantic_City,6284689,333621.34375,717832.3125,318351.5,581349.625,364679.75,1682289.625
Atlantic_City.24,USA,Atlantic_City,21083888,4139579.75,8906877,3950111.75,7213398,4524953,20873882
Atlantic_City.25,USA,Atlantic_City,5725891,9835909,21163318,9385721,17139502,10751582,49597700
Atlantic_City.26,USA,Atlantic_City,13163997,20700542,44540072,19753080,36071596,22627654,104382736
Atlantic_City.27,USA,Atlantic_City,19715548,29093298,62598244,27761702,50696340,31801736,146703328
Atlantic_City.28,USA,Atlantic_City,57683380,45814868,98577016,43717928,79834408,50080000,231022048
Atlantic_City.29,USA,Atlantic_City,83364816,355993024,765968192,339699264,620333376,389134144,1795099264
Atlantic_City.30,USA,Atlantic_City,35088768,21814224,46936308,20815788,38012232,23845014,109998488
Atlantic_City.31,USA,Atlantic_City,5348881.5,1406572.625,3026434.5,1342193.875,2451013.75,1537517.125,7092659.5
Atlantic_City.32,USA,Atlantic_City,0,0,0,0,0,0,0
Atlantic_City.33,USA,Atlantic_City,156714.25,44769.640625,96328.0546875,42720.5390625,78013.046875,48937.46484375,225751.484375
Atlantic_City.34,USA,Atlantic_City,1719379.25,480063.71875,1032923.3125,458091.28125,836531.9375,524755.1875,2420727.5
Atlantic_City.35,USA,Atlantic_City,0,0,0,0,0,0,0
Atlantic_City.36,USA,Atlantic_City,27610364,16461018,35418148,15707598,28684038,17993452,83004888
Atlantic_City.37,USA,Atlantic_City,43446564,102911272,221427792,98201040,179327376,112491792,518931392
Atlantic_City.38,USA,Atlantic_City,42805380,50522692,108706536,48210272,88037984,55226092,254761280
Atlantic_City.39,USA,Atlantic_City,24055190,62422388,128064872,59600740,103895336,67787928,285842400
Atlantic_City.40,USA,Atlantic_City,38941252,71286680,146250736,68064344,118648992,77414152,326433504
Atlantic_City.41,USA,Atlantic_City,81851408,60041808,123180888,57327764,99933104,65202716,274941312
Atlantic_City.42,USA,Atlantic_City,108088952,250650784,514231520,239320736,417181184,272195520,1147771264
Atlantic_City.43,USA,Atlantic_City,173046560,545730368,1119612416,521061952,908309312,592638784,2498989312
Atlantic_City.44,USA,Atlantic_City,340338592,1019701312,2092004352,973608320,1697182976,1107350144,4669380608
Atlantic_City.45,USA,Atlantic_City,71640.796875,69405.25,85246.984375,65936.5703125,67767.03125,78814.03125,250168.84375
