UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Brussels.1,Belgium,Brussels,355192608,1173018112,3079376384,1152208000,3192134400,1264362752,7111324160
Brussels.2,Belgium,Brussels,663749248,2367345664,6214693888,2325347840,6442258944,2551694592,14351837184
Brussels.3,Belgium,Brussels,568918208,1612006016,4231795712,1583408000,4386752512,1737535360,9772651520
Brussels.4,Belgium,Brussels,711130816,1910338560,5014970880,1876448128,5198605312,2059099776,11581268992
Brussels.5,Belgium,Brussels,663749248,1925448192,5051462656,1891473152,5237796352,2075198592,11652149248
Brussels.6,Belgium,Brussels,663749248,1925448192,5051462656,1891473152,5237796352,2075198592,11652149248
Brussels.7,Belgium,Brussels,568918208,1612006016,4231795712,1583408000,4386752512,1737535360,9772651520
Brussels.8,Belgium,Brussels,362987840,560371456,1470148736,550483584,1524378240,603953920,3391174912
Brussels.9,Belgium,Brussels,327129664,588104128,1542906368,577726976,1599819520,633843584,3559003648
Brussels.10,Belgium,Brussels,1602678.875,223385.203125,586952,219461.25,607624.125,241050.921875,1360308.75
Brussels.11,Belgium,Brussels,1602678.875,223385.203125,586952,219461.25,607624.125,241050.921875,1360308.75
Brussels.12,Belgium,Brussels,392826.84375,89901.5,236219.15625,88322.296875,244538.6875,97011.0859375,547457.0625
Brussels.13,Belgium,Brussels,1761582.875,1521707.125,3998335,1494976.75,4139154.5,1642046.5,9266466
Brussels.14,Belgium,Brussels,4345730,6083725,16137564,5970026.5,16683900,6561942.5,37641408
Brussels.15,Belgium,Brussels,4345730,6083725,16137564,5970026.5,16683900,6561942.5,37641408
Brussels.16,Belgium,Brussels,4345730,6083725,16137564,5970026.5,16683900,6561942.5,37641408
Brussels.17,Belgium,Brussels,8199978,9810658,26023546,9627305,26904574,10581835,60700792
Brussels.18,Belgium,Brussels,464176.8125,36166.46875,95934.4296875,35490.55078125,99182.2734375,39009.37109375,223770.25
Brussels.19,Belgium,Brussels,623692.6875,85484.375,226754.109375,83886.765625,234430.828125,92203.96875,528911.5625
Brussels.20,Belgium,Brussels,366455.375,16944.78125,44947.375,16628.099609375,46469.0625,18276.7421875,104841.25
Brussels.21,Belgium,Brussels,464810.375,2525715.25,6626278,2481148.5,6870702.5,2722151.25,15284759
Brussels.22,Belgium,Brussels,24703810,57894180,151886848,56872620,157489520,62396860,350355616
Brussels.23,Belgium,Brussels,205263280,421896384,1106855808,414451936,1147684608,454709056,2553171712
Brussels.24,Belgium,Brussels,133103616,205864352,540090368,202231824,560012736,221875328,1245820160
Brussels.25,Belgium,Brussels,133103616,205864352,540090368,202231824,560012736,221875328,1245820160
Brussels.26,Belgium,Brussels,217704480,340633536,893660800,334622976,926625280,367126048,2061396736
Brussels.27,Belgium,Brussels,62439528,62108828,162944096,61012904,168954640,66939300,375861248
Brussels.28,Belgium,Brussels,62439528,62108828,162944096,61012904,168954640,66939300,375861248
Brussels.29,Belgium,Brussels,16748237,43812900,114944264,43039808,119184216,47220416,265140592
Brussels.30,Belgium,Brussels,24703810,57894180,151886848,56872620,157489520,62396860,350355616
