UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Frankfurt.1,Germany,Frankfurt,14190025,11917359,24452436,11365799,23965616,12810382,56024400
Frankfurt.2,Germany,Frankfurt,22841584,25740988,52816220,24549642,51764712,27669878,121010312
Frankfurt.3,Germany,Frankfurt,23278444,50886600,104410848,48531476,102332128,54699768,239221728
Frankfurt.4,Germany,Frankfurt,138241376,528795648,1085000576,504321952,1063399488,568420736,2485907968
Frankfurt.5,Germany,Frankfurt,138241376,528795648,1085000576,504321952,1063399488,568420736,2485907968
Frankfurt.6,Germany,Frankfurt,203910016,3346236160,6865918976,3191365632,6729226752,3596985088,15730907136
Frankfurt.7,Germany,Frankfurt,203910016,3346236160,6865918976,3191365632,6729226752,3596985088,15730907136
Frankfurt.8,Germany,Frankfurt,191764800,2183391488,4479955456,2082339712,4390764544,2347003136,10264287232
Frankfurt.9,Germany,Frankfurt,206022128,2512715264,5155673088,2396421632,5053029376,2701004800,11812461568
Frankfurt.10,Germany,Frankfurt,216834736,599849856,1230792064,572087616,1206288384,644799424,2819939584
Frankfurt.11,Germany,Frankfurt,254390096,750593664,1540093184,715854656,1509431680,806839104,3528596992
Frankfurt.12,Germany,Frankfurt,508476704,839040064,1723205888,799379200,1686403584,902387840,3963521536
Frankfurt.13,Germany,Frankfurt,700653888,1160363520,2383134720,1105513984,2332238080,1247971456,5481414144
Frankfurt.14,Germany,Frankfurt,120025384,315768448,648519808,300842304,634669376,339609088,1491650944
Frankfurt.15,Germany,Frankfurt,423315744,755361344,1551348096,719655936,1518216064,812391360,3568233216
Frankfurt.16,Germany,Frankfurt,423315744,755361344,1551348096,719655936,1518216064,812391360,3568233216
Frankfurt.17,Germany,Frankfurt,653896320,1004888448,2063822592,957388096,2019745664,1080757888,4746968576
Frankfurt.18,Germany,Frankfurt,50105620,36404872,74767704,34684040,73170888,39153456,171972112
Frankfurt.19,Germany,Frankfurt,16172419,105364.7421875,216396.28125,100384.21875,211774.734375,113319.8125,497730
Frankfurt.20,Germany,Frankfurt,9730862,72091.6640625,148060.609375,68683.9453125,144898.5,77534.6171875,340552.09375
Frankfurt.21,Germany,Frankfurt,9730862,72091.6640625,148060.609375,68683.9453125,144898.5,77534.6171875,340552.09375
Frankfurt.22,Germany,Frankfurt,23671252,1907656.25,3917911.75,1817482.875,3834237,2051685.125,9011532
Frankfurt.23,Germany,Frankfurt,15785729,568874.5625,1168344.75,541984.25,1143392.5,611824.8125,2687293
Frankfurt.24,Germany,Frankfurt,15785729,568874.5625,1168344.75,541984.25,1143392.5,611824.8125,2687293
Frankfurt.25,Germany,Frankfurt,12020405,2463208.75,5058895.5,2346774.25,4950852.5,2649181.5,11635892
Frankfurt.26,Germany,Frankfurt,3935419,99819.2265625,205007.015625,95100.8515625,200628.703125,107355.6171875,471533.6875
Frankfurt.27,Germany,Frankfurt,6191922,5003959,10277045,4767425.5,10057559,5381760,23638084
Frankfurt.28,Germany,Frankfurt,8755573,2966344,6092226,2826126.75,5962114.5,3190304,14012641
Frankfurt.29,Germany,Frankfurt,6218843,1024417.375,2103930.5,975993.875,2058997.125,1101761.25,4839221
Frankfurt.30,Germany,Frankfurt,2768009.25,94273.71875,193617.71875,89817.46875,189482.640625,101391.4140625,445337.375
Frankfurt.31,Germany,Frankfurt,2768009.25,94273.71875,193617.71875,89817.46875,189482.640625,101391.4140625,445337.375
Frankfurt.32,Germany,Frankfurt,2768009.25,94273.71875,193617.71875,89817.46875,189482.640625,101391.4140625,445337.375
Frankfurt.33,Germany,Frankfurt,2555085.5,110910.25,227785.5625,105667.6015625,222920.765625,119284.015625,523926.3125
Frankfurt.34,Germany,Frankfurt,2141475,72091.6640625,148060.609375,68683.9453125,144898.5,77534.6171875,340552.09375
Frankfurt.35,Germany,Frankfurt,5268028.5,626642.9375,1286988.5,597021.9375,1259502.375,673954.6875,2960183.5
Frankfurt.36,Germany,Frankfurt,3122882.25,116455.765625,239174.84375,110950.984375,234066.8125,125248.21875,550122.625
Frankfurt.37,Germany,Frankfurt,3513242.5,1035077.5,2125824.25,986150.125,2080423.25,1113226.25,4889578
Frankfurt.38,Germany,Frankfurt,1453755.5,149437.828125,306912.8125,142374.015625,300358.125,160720.4375,705925.8125
Frankfurt.39,Germany,Frankfurt,1384004.625,55455.125,113892.78125,52833.80078125,111460.3828125,59642.0078125,261963.15625
Frankfurt.40,Germany,Frankfurt,1125804,107687.3515625,196383.8125,107427.0390625,192003.96875,117046.609375,468247.53125
Frankfurt.41,Germany,Frankfurt,1563888.5,118827.421875,216699.375,118540.1796875,211866.453125,129154.875,516686.90625
