UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Ghent.1,Belgium,Ghent,113690272,254810496,675107584,250181008,698635328,275021280,1574137600
Ghent.2,Belgium,Ghent,140609648,243397120,644868352,238974992,667342336,262702608,1503629440
Ghent.3,Belgium,Ghent,113690272,254810496,675107584,250181008,698635328,275021280,1574137600
Ghent.4,Belgium,Ghent,113690272,254810496,675107584,250181008,698635328,275021280,1574137600
Ghent.5,Belgium,Ghent,164015376,290797760,770454080,285514464,797304768,313862976,1796455552
Ghent.6,Belgium,Ghent,147369680,432344352,1145474688,424489440,1185395072,466636608,2670885376
Ghent.7,Belgium,Ghent,147369680,432344352,1145474688,424489440,1185395072,466636608,2670885376
Ghent.8,Belgium,Ghent,190578352,390536544,1034706880,383441120,1070766848,421512672,2412609536
Ghent.9,Belgium,Ghent,189468928,346321248,917560768,340029184,949538048,373790368,2139461760
Ghent.10,Belgium,Ghent,166704144,369181120,978126848,362473696,1012214912,398463456,2280683008
Ghent.11,Belgium,Ghent,102432904,163874784,434178048,160897472,449309280,176872848,1012366080
Ghent.12,Belgium,Ghent,12802945,23682056,62744420,23251792,64931088,25560444,146300160
Ghent.13,Belgium,Ghent,20952626,13589282,36004120,13342388,37258880,14667143,83950240
Ghent.14,Belgium,Ghent,20952626,13589282,36004120,13342388,37258880,14667143,83950240
Ghent.15,Belgium,Ghent,25996776,41385332,109648360,40633432,113469648,44667888,255665328
Ghent.16,Belgium,Ghent,102432904,163874784,434178048,160897472,449309280,176872848,1012366080
Ghent.17,Belgium,Ghent,147369680,432344352,1145474688,424489440,1185395072,466636608,2670885376
Ghent.18,Belgium,Ghent,143544880,224059072,593633344,219988320,614321664,241830752,1384165248
Ghent.19,Belgium,Ghent,189468928,346321248,917560768,340029184,949538048,373790368,2139461760
Ghent.20,Belgium,Ghent,113690272,254810496,675107584,250181008,698635328,275021280,1574137600
Ghent.21,Belgium,Ghent,30735548,22122508,58612472,21720576,60655136,23877194,136665776
Ghent.22,Belgium,Ghent,12802945,23682056,62744420,23251792,64931088,25560444,146300160
Ghent.23,Belgium,Ghent,6517876,5492015.5,14287053,5390123.5,14758627,5948136,33831164
Ghent.24,Belgium,Ghent,3701918,565408.375,1470866.125,554918.4375,1519415.125,612366.4375,3482951.5
Ghent.25,Belgium,Ghent,3701918,565408.375,1470866.125,554918.4375,1519415.125,612366.4375,3482951.5
Ghent.26,Belgium,Ghent,1448576.625,220509.265625,573637.8125,216418.1875,592571.875,238822.890625,1358351.125
Ghent.27,Belgium,Ghent,2897153.25,443845.59375,1154629.875,435610.96875,1192740.875,480707.625,2734117.25
Ghent.28,Belgium,Ghent,1448576.625,220509.265625,573637.8125,216418.1875,592571.875,238822.890625,1358351.125
Ghent.29,Belgium,Ghent,1448576.625,220509.265625,573637.8125,216418.1875,592571.875,238822.890625,1358351.125
Ghent.30,Belgium,Ghent,2150590.25,322282.78125,838393.6875,316303.5,866066.5625,349048.84375,1985282.375
Ghent.31,Belgium,Ghent,2150590.25,322282.78125,838393.6875,316303.5,866066.5625,349048.84375,1985282.375
Ghent.32,Belgium,Ghent,2150590.25,322282.78125,838393.6875,316303.5,866066.5625,349048.84375,1985282.375
Ghent.33,Belgium,Ghent,1603781.25,3933326.75,10232245,3860352.5,10569982,4259995.5,24229544
Ghent.34,Belgium,Ghent,1603781.25,3933326.75,10232245,3860352.5,10569982,4259995.5,24229544
Ghent.35,Belgium,Ghent,1603781.25,3933326.75,10232245,3860352.5,10569982,4259995.5,24229544
Ghent.36,Belgium,Ghent,791831.0625,333964.59375,868783.0625,327768.59375,897459,361700.875,2057243.25
Ghent.37,Belgium,Ghent,791831.0625,333964.59375,868783.0625,327768.59375,897459,361700.875,2057243.25
Ghent.38,Belgium,Ghent,791831.0625,333964.59375,868783.0625,327768.59375,897459,361700.875,2057243.25
Ghent.39,Belgium,Ghent,791831.0625,333964.59375,868783.0625,327768.59375,897459,361700.875,2057243.25
Ghent.40,Belgium,Ghent,4919124.5,3326833.25,8654499,3265111,8940159,3603131.75,20493504
