UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Linkoping.1,Sweden,Linkoping,84842008,197053392,598115840,191750272,604035584,214025616,1403494912
Linkoping.2,Sweden,Linkoping,88184128,245008880,743675008,238415152,751035328,266111504,1745053568
Linkoping.3,Sweden,Linkoping,56800324,176844240,536774976,172084960,542087616,192075840,1259556992
Linkoping.4,Sweden,Linkoping,56800324,176844240,536774976,172084960,542087616,192075840,1259556992
Linkoping.5,Sweden,Linkoping,38696540,162689376,493499840,158333808,498184832,176948080,1167105920
Linkoping.6,Sweden,Linkoping,38696540,162689376,493499840,158333808,498184832,176948080,1167105920
Linkoping.7,Sweden,Linkoping,38696540,162689376,493499840,158333808,498184832,176948080,1167105920
Linkoping.8,Sweden,Linkoping,38696540,162689376,493499840,158333808,498184832,176948080,1167105920
Linkoping.9,Sweden,Linkoping,36362540,62004344,188083152,60344344,189868704,67438632,444808640
Linkoping.10,Sweden,Linkoping,36362540,62004344,188083152,60344344,189868704,67438632,444808640
Linkoping.11,Sweden,Linkoping,36362540,62004344,188083152,60344344,189868704,67438632,444808640
Linkoping.12,Sweden,Linkoping,48937348,76959952,233449296,74899552,235665520,83705000,552097600
Linkoping.13,Sweden,Linkoping,39740660,70041544,212463104,68166376,214480080,76180248,502466112
Linkoping.14,Sweden,Linkoping,39740660,70041544,212463104,68166376,214480080,76180248,502466112
Linkoping.15,Sweden,Linkoping,39740660,70041544,212463104,68166376,214480080,76180248,502466112
Linkoping.16,Sweden,Linkoping,33742068,35138528,106588752,34197792,107600632,38218200,252077808
Linkoping.17,Sweden,Linkoping,33742068,35138528,106588752,34197792,107600632,38218200,252077808
Linkoping.18,Sweden,Linkoping,38704368,46594736,141339840,45347280,142681632,50678464,334262656
Linkoping.19,Sweden,Linkoping,38704368,46594736,141339840,45347280,142681632,50678464,334262656
Linkoping.20,Sweden,Linkoping,34648432,47108124,142897152,45846928,144253728,51236848,337945664
Linkoping.21,Sweden,Linkoping,34648432,47108124,142897152,45846928,144253728,51236848,337945664
Linkoping.22,Sweden,Linkoping,15239111,158856240,465287520,154375056,468985792,173803792,1127936768
Linkoping.23,Sweden,Linkoping,7443448.5,183411328,537208960,178237456,541478848,200669392,1302286592
Linkoping.24,Sweden,Linkoping,7443448.5,183411328,537208960,178237456,541478848,200669392,1302286592
Linkoping.25,Sweden,Linkoping,15094312,225303824,659911488,218948208,665156608,246503728,1599738496
Linkoping.26,Sweden,Linkoping,14088546,201643664,590611200,195955456,595305536,220617280,1431742848
Linkoping.27,Sweden,Linkoping,267682.375,131955240,386494912,128232904,389566880,144371552,936929984
Linkoping.28,Sweden,Linkoping,267682.375,131955240,386494912,128232904,389566880,144371552,936929984
Linkoping.29,Sweden,Linkoping,267682.375,131955240,386494912,128232904,389566880,144371552,936929984
Linkoping.30,Sweden,Linkoping,282553.625,17339008,50785692,16849890,51189348,18970518,123113224
Linkoping.31,Sweden,Linkoping,267682.375,131955240,386494912,128232904,389566880,144371552,936929984
Linkoping.32,Sweden,Linkoping,129145.0078125,898057.4375,2630396.5,872724,2651303.75,982559.9375,6376532
Linkoping.33,Sweden,Linkoping,129145.0078125,898057.4375,2630396.5,872724,2651303.75,982559.9375,6376532
Linkoping.34,Sweden,Linkoping,129145.0078125,898057.4375,2630396.5,872724,2651303.75,982559.9375,6376532
Linkoping.35,Sweden,Linkoping,199587.734375,764594.125,2239484.5,743025.625,2257284.5,836538.4375,5428895
Linkoping.36,Sweden,Linkoping,82183.1875,58884.00390625,172470.328125,57222.93359375,173841.1875,64424.67578125,418097.6875
Linkoping.37,Sweden,Linkoping,317775,227124,665242.75,220717.046875,670530.25,248495.1875,1612662.375
Linkoping.38,Sweden,Linkoping,508753.0625,987538.8125,2892486,959681.25,2915476.5,1080461,7011882
Linkoping.39,Sweden,Linkoping,508753.0625,987538.8125,2892486,959681.25,2915476.5,1080461,7011882
Linkoping.40,Sweden,Linkoping,508753.0625,987538.8125,2892486,959681.25,2915476.5,1080461,7011882
Linkoping.41,Sweden,Linkoping,15653.9404296875,108503.6171875,317805.46875,105442.8359375,320331.46875,118713.2578125,770414.875
Linkoping.42,Sweden,Linkoping,15653.9404296875,108503.6171875,317805.46875,105442.8359375,320331.46875,118713.2578125,770414.875
Linkoping.43,Sweden,Linkoping,15653.9404296875,108503.6171875,317805.46875,105442.8359375,320331.46875,118713.2578125,770414.875
Linkoping.44,Sweden,Linkoping,49309.9140625,70389.421875,206169.546875,68403.8046875,207808.25,77012.703125,499790.34375
