UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Portland_ME.1,USA,Portland_ME,565912576,3200311296,8138015232,3054749184,6596591104,3462032384,18617067520
Portland_ME.2,USA,Portland_ME,565912576,3200311296,8138015232,3054749184,6596591104,3462032384,18617067520
Portland_ME.3,USA,Portland_ME,191232208,281326976,715381504,268531200,579880768,304333856,1636554496
Portland_ME.4,USA,Portland_ME,255052160,619340544,1574910336,591170688,1276606080,669990272,3602870272
Portland_ME.5,USA,Portland_ME,191232208,281326976,715381504,268531200,579880768,304333856,1636554496
Portland_ME.6,USA,Portland_ME,89599264,183332368,466192704,174993760,377890976,198325280,1066493632
Portland_ME.7,USA,Portland_ME,89206968,194009088,493342368,185184864,399898176,209875152,1128603008
Portland_ME.8,USA,Portland_ME,127023824,131044368,333230432,125083992,270113152,141761168,762320256
Portland_ME.9,USA,Portland_ME,52631304,170693088,434052512,162929328,351838464,184652368,992967488
Portland_ME.10,USA,Portland_ME,28870044,30938276,78672408,29531086,63771032,33468406,179976240
Portland_ME.11,USA,Portland_ME,1571736.375,177383.703125,451065.90625,169315.640625,365629.375,191890.125,1031888.4375
Portland_ME.12,USA,Portland_ME,57878.99609375,110992.609375,282241.1875,105944.25,228781.765625,120069.578125,645673.75
Portland_ME.13,USA,Portland_ME,1603891.375,1394145.875,3545149,1330735,2873661.25,1508159,8110119.5
Portland_ME.14,USA,Portland_ME,23203048,2722005.75,6785227.5,2598087.75,5500405.5,2951205,15639728
Portland_ME.15,USA,Portland_ME,6225208,2137363.5,5327872,2040061.25,4319008.5,2317334.75,12280571
Portland_ME.16,USA,Portland_ME,6225208,2137363.5,5327872,2040061.25,4319008.5,2317334.75,12280571
Portland_ME.17,USA,Portland_ME,3196207,243594.78125,607216.25,232505.265625,492236.3125,264106.0625,1399613.625
Portland_ME.18,USA,Portland_ME,191232208,281326976,715381504,268531200,579880768,304333856,1636554496
Portland_ME.19,USA,Portland_ME,448600832,374334368,951888256,357308256,771590720,404947392,2177603328
Portland_ME.20,USA,Portland_ME,139263296,152086160,386737280,145168736,313485216,164523776,884726016
Portland_ME.21,USA,Portland_ME,107173896,199049568,506159680,189996048,410287776,215327824,1157924608
Portland_ME.22,USA,Portland_ME,127023824,131044368,333230432,125083992,270113152,141761168,762320256
Portland_ME.23,USA,Portland_ME,127023824,131044368,333230432,125083992,270113152,141761168,762320256
Portland_ME.24,USA,Portland_ME,69609144,132388896,336649408,126367352,272884512,143215648,770141760
Portland_ME.25,USA,Portland_ME,69609144,132388896,336649408,126367352,272884512,143215648,770141760
Portland_ME.26,USA,Portland_ME,31794862,51786288,131686432,49430852,106743664,56021364,301254720
Portland_ME.27,USA,Portland_ME,52631304,170693088,434052512,162929328,351838464,184652368,992967488
Portland_ME.28,USA,Portland_ME,98803304,129400792,329051040,123515152,266725328,139983184,752759040
Portland_ME.29,USA,Portland_ME,98803304,129400792,329051040,123515152,266725328,139983184,752759040
Portland_ME.30,USA,Portland_ME,44834356,27015820,68698056,25787038,55685928,29225170,157158272
Portland_ME.31,USA,Portland_ME,9475435,1903838,4841236,1817244.25,3924256,2059533.625,11075135
Portland_ME.32,USA,Portland_ME,8746160,1486781.625,3780711.5,1419157.5,3064605.5,1608370.75,8649008
Portland_ME.33,USA,Portland_ME,23203048,2722005.75,6785227.5,2598087.75,5500405.5,2951205,15639728
Portland_ME.34,USA,Portland_ME,14364281,5078005.5,12658101,4846832,10261215,5505585.5,29176506
Portland_ME.35,USA,Portland_ME,1440544,342601.21875,854012.625,327004.46875,692300.375,371449.0625,1968471.125
Portland_ME.36,USA,Portland_ME,1254045,1110983.625,2769382.75,1060406.625,2244984.25,1204531,6383337
Portland_ME.37,USA,Portland_ME,1061115,443970.625,1081883.125,423672.71875,876450.5,483322.46875,2537403.75
Portland_ME.38,USA,Portland_ME,1061115,443970.625,1081883.125,423672.71875,876450.5,483322.46875,2537403.75
Portland_ME.39,USA,Portland_ME,4861836,1445502,3522449.25,1379415.125,2853591.5,1573625.75,8261407
Portland_ME.40,USA,Portland_ME,1466268,940502.75,2291849.75,897503.875,1856663.375,1023865.3125,5375209
