UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Hempstead.,USA,Hempstead,120911272,136770000,324222080,130482440,262425200,149678624,777872128
Hempstead.,USA,Hempstead,116763264,189449136,449257472,180696608,363444672,207227616,1076535424
Hempstead.,USA,Hempstead,0,0,0,0,0,0,0
Hempstead.,USA,Hempstead,154945088,236578352,560096832,225635888,453060864,258665280,1338735744
Hempstead.,USA,Hempstead,31636284,54230440,127322280,51743228,103083560,59256016,302070016
Hempstead.,USA,Hempstead,165702544,222981616,527906688,212668048,427022336,243799168,1261795200
Hempstead.,USA,Hempstead,3343168.75,10165717,24098484,9698381,19505304,11125178,57816980
Hempstead.,USA,Hempstead,106795672,476806656,1119447040,454938496,906334656,520992704,2655870208
Hempstead.,USA,Hempstead,20925760,18098772,42492316,17268694,34402928,19776000,100812328
Hempstead.,USA,Hempstead,20801940,866231.875,2053458.375,826409.6875,1662068.375,947988.5625,4926648.5
Hempstead.,USA,Hempstead,192356032,220780272,522695040,210568512,422806656,241392304,1249338368
Hempstead.,USA,Hempstead,7128698.5,7655236.5,18147230,7303311,14688359,8377752,43538756
Hempstead.,USA,Hempstead,291017472,483525856,1140046080,461091008,921859264,528017984,2709473536
Hempstead.,USA,Hempstead,338136352,476768576,1128744576,454716544,913038656,521279584,2697909760
Hempstead.,USA,Hempstead,5116606,1611502.125,3820169.5,1537418.625,3092043.5,1763598.875,9165334
Hempstead.,USA,Hempstead,47810908,5153974,12217827,4917036.5,9889103,5640417,29312954
Hempstead.,USA,Hempstead,5725726,3065513,7197214.5,2924917.25,5827059.5,3349597,17075276
Hempstead.,USA,Hempstead,131731640,269099968,637091392,256653248,515341536,294223072,1522766848
Hempstead.,USA,Hempstead,0,4898.7216796875,8364.966796875,4705.240234375,6875.984375,5103.43408203125,13454.109375
Hempstead.,USA,Hempstead,51145092,22306030,52809304,21274308,42717300,24388518,126224056
Hempstead.,USA,Hempstead,82402920,164888112,391013696,157270288,316326112,180361680,936968512
Hempstead.,USA,Hempstead,88346336,176809248,418594048,168631264,338599648,193316128,1000517696
Hempstead.,USA,Hempstead,0,0,0,0,0,0,0
Hempstead.,USA,Hempstead,158738608,198209360,469258688,189041584,379582112,216714176,1121615616
Hempstead.,USA,Hempstead,75757528,139999920,331994112,133531920,268579840,153137904,795542528
Hempstead.,USA,Hempstead,53800256,36017264,84561368,34365376,68463168,39355012,200620496
Hempstead.,USA,Hempstead,122954320,171242896,406083360,163331488,328517280,187312832,973079296
Hempstead.,USA,Hempstead,153166656,173055568,409707264,165051216,331411136,189212000,979276672
Hempstead.,USA,Hempstead,122706680,200035776,473582624,190783504,383079776,218711088,1131950720
Hempstead.,USA,Hempstead,92803888,110772952,262685648,105655232,212510000,121168200,629461824
Hempstead.,USA,Hempstead,50828548,44674176,105939816,42610232,85704224,48866528,253858784
Hempstead.,USA,Hempstead,267678192,501206304,1181732608,477951040,955567616,547325248,2808547328
Hempstead.,USA,Hempstead,179354816,203277200,477254368,193954144,386398112,222115072,1132278400
Hempstead.,USA,Hempstead,115401240,103776456,246094240,98981984,199087728,113515144,589704640
Hempstead.,USA,Hempstead,50828548,44674176,105939816,42610232,85704224,48866528,253858784
Hempstead.,USA,Hempstead,9843775,816168.75,1934780.375,778647.9375,1566010.5,893200.4375,4641916.5
Hempstead.,USA,Hempstead,41294328,55876148,132504024,53294668,107194400,61119728,317513440
Hempstead.,USA,Hempstead,141042176,154008176,364612800,146884832,294934336,168386368,871492416
Hempstead.,USA,Hempstead,323172992,1279949568,3027994112,1220555904,2448490752,1398702464,7223388160
