UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Houston.,USA,Houston,11710.59375,0,0,0,0,0,0
Houston.,USA,Houston,2509.4130859375,0,0,0,0,0,0
Houston.,USA,Houston,60872504,45234388,104656648,43172984,84664592,49265256,243072992
Houston.,USA,Houston,3345.884033203125,32866.64453125,48080.2421875,31192.728515625,38035.37109375,37612.44921875,147416.734375
Houston.,USA,Houston,4182.35498046875,0,0,0,0,0,0
Houston.,USA,Houston,285236.625,37280.62109375,54559.81640625,35376.53125,43113.08984375,42651.3046875,166903.09375
Houston.,USA,Houston,3345.884033203125,733.0433349609375,1243.0401611328125,703.97613525390625,1020.016357421875,761.60723876953125,1968.128662109375
Houston.,USA,Houston,93485672,162901680,382844576,155401504,309394624,177772848,902788800
Houston.,USA,Houston,36804.72265625,6337.90283203125,10747.3427734375,6086.58740234375,8819.076171875,6584.86669921875,17016.46875
Houston.,USA,Houston,443329.625,108801.96875,251324.5,103829.6796875,203250.875,119105.2265625,598754.75
Houston.,USA,Houston,8364.7099609375,3809.16650390625,6459.30078125,3658.12255859375,5300.3857421875,3957.595458984375,10227.130859375
Houston.,USA,Houston,5855.296875,13286.7060546875,18942.26953125,12564.447265625,15005.7421875,15157.400390625,57634.21875
Houston.,USA,Houston,3909665.5,348709.40625,632541.1875,331663.8125,506164.59375,391702.71875,1706925.875
Houston.,USA,Houston,4479302,529738.625,1245227.625,505257.71875,1005969.5625,577887.625,2933627.5
Houston.,USA,Houston,2238396.5,30386.736328125,53488.046875,28908.330078125,42826.71875,34070.3125,142422.046875
Houston.,USA,Houston,15892.94921875,1797.58642578125,4146.39697265625,1715.06591796875,3352.044189453125,1969.048095703125,9919.52734375
Houston.,USA,Houston,23345070,273853280,644816896,261190192,520885792,298819648,1522087808
Houston.,USA,Houston,14484332,9520190,18074262,9058891,14492850,10655634,47771360
Houston.,USA,Houston,664994.4375,1655379,3894050,1579430.75,3148248.5,1807651.625,9206922
Houston.,USA,Houston,4182.35498046875,12304.6103515625,17979.20703125,11684.1748046875,14225.36328125,14092.3505859375,55189.1875
Houston.,USA,Houston,4554584.5,1750072.625,4118216.75,1669957.375,3330274,1911616,9748370
Houston.,USA,Houston,11710.59375,3718.52392578125,6305.595703125,3571.07421875,5174.2578125,3863.420654296875,9983.7666015625
Houston.,USA,Houston,5142624,597231.125,1326695.875,569367.4375,1070202.125,656748.75,3227084.5
Houston.,USA,Houston,1229612.375,917637.6875,2160075.5,875435.8125,1745871.5,1001854.375,5106080
Houston.,USA,Houston,70263.5625,110783.1953125,221971.375,105497.140625,178398.9375,123260.0703125,569243.375
Houston.,USA,Houston,23713954,8049227.5,18944546,7679893,15315836,8790339,44812872
Houston.,USA,Houston,7528.2392578125,1593.1270751953125,2701.506103515625,1529.9552001953125,2216.80712890625,1655.2052001953125,4277.3447265625
Houston.,USA,Houston,10874.123046875,123201.2421875,249665.96875,117589.09375,201903.28125,135168.75,588448.125
Houston.,USA,Houston,4182.35498046875,0,0,0,0,0,0
Houston.,USA,Houston,3345.884033203125,0,0,0,0,0,0
Houston.,USA,Houston,3345.884033203125,0,0,0,0,0,0
Houston.,USA,Houston,4182.35498046875,0,0,0,0,0,0
Houston.,USA,Houston,4182.35498046875,0,0,0,0,0,0
Houston.,USA,Houston,18496884,27420314,64547820,26158298,52166680,29934492,152552880
Houston.,USA,Houston,5018.826171875,217446.234375,359368.15625,206599.875,286235.40625,246259,1022526.8125
Houston.,USA,Houston,8205780.5,368333,818219.125,351148.5,660030.625,405039.625,1990254.375
Houston.,USA,Houston,195734.21875,38593.953125,74856.3125,36751.6953125,60154.98828125,42984.375,192113.8125
Houston.,USA,Houston,70263.5625,9845.548828125,18849.6484375,9371.115234375,15125.5302734375,11008.263671875,49599.9140625
