UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Kalamazoo.1,USA,Kalamazoo,12673087,3340797.25,7929311.5,3187621.25,6415994.5,3640420.5,18623776
Kalamazoo.2,USA,Kalamazoo,109565.59375,14965167,35519504,14279011,28740568,16307334,83425552
Kalamazoo.3,USA,Kalamazoo,13664047,15139489,35495052,14451621,28748590,16474901,82380728
Kalamazoo.4,USA,Kalamazoo,16535477,25777728,60436776,24606514,48949704,28051514,140268176
Kalamazoo.5,USA,Kalamazoo,3145750,672030.5625,1595050.375,641217.875,1290633.375,732302.4375,3746335
Kalamazoo.6,USA,Kalamazoo,37934044,76099352,174566224,72587608,141135456,83265184,416206176
Kalamazoo.7,USA,Kalamazoo,560001.9375,93469.8359375,221848.671875,89184.21875,179508.640625,101852.7890625,521061.5625
Kalamazoo.8,USA,Kalamazoo,31895762,29012836,68021592,27694630,55092888,31571976,157871824
Kalamazoo.9,USA,Kalamazoo,24082518,3651311,8666308,3483897.75,7012334.5,3978782.75,20354776
Kalamazoo.10,USA,Kalamazoo,25370522,9697780,21808058,9251079,17631666,10628139,52196720
Kalamazoo.11,USA,Kalamazoo,33600116,45634652,104682472,43528752,84634984,49931796,249587184
Kalamazoo.12,USA,Kalamazoo,10781254,7966770.5,18678368,7604798.5,15128214,8669498,43350764
Kalamazoo.13,USA,Kalamazoo,41009996,21867090,51268148,20873554,41523728,23795926,118988624
Kalamazoo.14,USA,Kalamazoo,837568.0625,109899.6875,246563.6875,104870.7578125,199531.484375,120302.9765625,584838.1875
Kalamazoo.15,USA,Kalamazoo,25298290,10383594,24645242,9907505,19941674,11314859,57884900
Kalamazoo.16,USA,Kalamazoo,56097584,25762642,60401400,24592110,48921044,28035092,140186064
Kalamazoo.17,USA,Kalamazoo,778553600,602778368,1430681472,575140800,1157634432,656839104,3360277504
Kalamazoo.18,USA,Kalamazoo,3051604.75,9404272,22320840,8973085,18060884,10247705,52425520
Kalamazoo.19,USA,Kalamazoo,3914332.25,222534.328125,528180.5,212331.09375,427376.71875,242492.5625,1240550.875
Kalamazoo.20,USA,Kalamazoo,26970992,31852658,75601608,30392206,61172964,34709400,177567392
Kalamazoo.21,USA,Kalamazoo,478030.625,234870.8125,526940.6875,224123.328125,426426.40625,257104.109375,1249880.125
Kalamazoo.22,USA,Kalamazoo,261334.234375,4800.61474609375,11394.15625,4580.50537109375,9219.5703125,5231.1630859375,26761.7421875
Kalamazoo.23,USA,Kalamazoo,28438358,21506060,50421700,20528926,40838168,23403050,117024096
Kalamazoo.24,USA,Kalamazoo,3883491.5,684169.9375,1538539.625,652655.625,1243899,749806.0625,3682434
Kalamazoo.25,USA,Kalamazoo,3670041.5,666541.5,1495408.5,636041.0625,1210158.375,729637.5,3547043.5
Kalamazoo.26,USA,Kalamazoo,29110360,20407736,46813820,19465982,37848612,22329412,111614952
Kalamazoo.27,USA,Kalamazoo,36521.86328125,110414.140625,262065.609375,105351.625,212050.125,120316.75,615520.0625
Kalamazoo.28,USA,Kalamazoo,837568.0625,109899.6875,246563.6875,104870.7578125,199531.484375,120302.9765625,584838.1875
Kalamazoo.29,USA,Kalamazoo,19440994,8485822,19082648,8094947,15428191,9299913,45673560
Kalamazoo.30,USA,Kalamazoo,670379.125,5322081.5,12208456,5076484,9870443,5823230,29107776
Kalamazoo.31,USA,Kalamazoo,7312489,1745123.25,4142013.25,1665109.125,3351505.75,1901636.625,9728450
Kalamazoo.32,USA,Kalamazoo,8521768,11024784,26167088,10519293,21173072,12013553,61459300
Kalamazoo.33,USA,Kalamazoo,3687085,1805195.125,4232342.5,1723175.625,3427910.75,1964426.375,9822875
Kalamazoo.34,USA,Kalamazoo,30141088,20083934,47668796,19163084,38571156,21885188,111960904
Kalamazoo.35,USA,Kalamazoo,15645967,16427245,38989720,15674054,31548490,17900542,91576136
Kalamazoo.36,USA,Kalamazoo,1801745.25,1605692,3811075.75,1532070.625,3083728.25,1749700.25,8951170
Kalamazoo.37,USA,Kalamazoo,13862077,2326763.5,5522524,2220081,4468545,2535442,12970892
Kalamazoo.38,USA,Kalamazoo,348175.09375,88435.46875,202864.34375,84354.4375,164014.265625,96762.90625,483675.375
Kalamazoo.39,USA,Kalamazoo,13988686,36600040,86869408,34921920,70290296,39882548,204032368
Kalamazoo.40,USA,Kalamazoo,14983704,16254368,38108928,15515847,30865652,17688122,88447296
