UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Landshut.,Germany,Landshut,153202.5,33502.23828125,61481.44921875,33377.0546875,60255.63671875,36395.046875,145635.84375
Landshut.,Germany,Landshut,118762576,35832192,72698104,34388100,71493616,38539464,165821072
Landshut.,Germany,Landshut,36768.6015625,183033.953125,335893.78125,182350.0625,329196.71875,198838.34375,795657.4375
Landshut.,Germany,Landshut,58829.7578125,14856.1962890625,27207.5703125,14804.513671875,26644.802734375,16129.45703125,64510.640625
Landshut.,Germany,Landshut,159330.59375,811133.5625,1234546,856466.875,1205020.625,892689.6875,3115572.25
Landshut.,Germany,Landshut,49024.80078125,36749.6484375,74559.4765625,35268.5859375,73324.1640625,39526.234375,170066.796875
Landshut.,Germany,Landshut,2463496.25,2641053,4836812.5,2631864.75,4736766,2867406.25,11468346
Landshut.,Germany,Landshut,99275.21875,21282.171875,32391.482421875,22471.60546875,31616.806640625,23422.0078125,81745.0390625
Landshut.,Germany,Landshut,147074.40625,142214.28125,216798.265625,150110.796875,211557.90625,156586.140625,547613.0625
Landshut.,Germany,Landshut,98049.6015625,22284.294921875,40811.359375,22206.771484375,39967.203125,24194.1875,96765.9609375
Landshut.,Germany,Landshut,88244.640625,222842.9375,408113.5625,222067.703125,399672.03125,241941.859375,967659.625
Landshut.,Germany,Landshut,566236.4375,74280.984375,136037.84375,74022.5625,133224,80647.28125,322553.1875
Landshut.,Germany,Landshut,2083554,3838792.5,7030346.5,3825437.75,6884929,4167798.75,16669338
Landshut.,Germany,Landshut,632419.9375,93317.3203125,189326.734375,89556.5078125,186189.953125,100367.8359375,431845.75
Landshut.,Germany,Landshut,3720982.25,3531090.75,6466823.5,3518806,6333061.5,3833725.5,15333192
Landshut.,Germany,Landshut,235319.03125,29712.392578125,54415.140625,29609.02734375,53289.60546875,32258.9140625,129021.28125
Landshut.,Germany,Landshut,238260528,453700544,920489792,435415744,905238912,487979488,2099595648
Landshut.,Germany,Landshut,21671412,21281066,43176064,20423406,42460716,22888936,98482640
Landshut.,Germany,Landshut,117659.515625,371455.625,681674.8125,370067.71875,668083.5625,403529.625,1614735.625
Landshut.,Germany,Landshut,2206116,8612246,17472944,8265159.5,17183450,9262937,39855000
Landshut.,Germany,Landshut,85518864,9178600,18621992,8808689,18313460,9872081,42475920
Landshut.,Germany,Landshut,107854.5625,101090.3203125,153859.546875,106740.1328125,150179.828125,111254.53125,388288.90625
Landshut.,Germany,Landshut,58829.7578125,6183.2294921875,9426.01171875,6526.5556640625,9198.169921875,6808.09326171875,23809.263671875
Landshut.,Germany,Landshut,240221.515625,1541798.25,2350391.25,1627407.25,2293578.5,1697609,5936878.5
Landshut.,Germany,Landshut,91921.5,30336.787109375,61548.7578125,29114.169921875,60529,32628.857421875,140389.921875
Landshut.,Germany,Landshut,223062.84375,18549.689453125,28278.03515625,19579.66796875,27594.509765625,20424.279296875,71427.7890625
Landshut.,Germany,Landshut,88244.640625,30916.1484375,47130.05859375,32632.78125,45990.84765625,34040.46484375,119046.3125
Landshut.,Germany,Landshut,888574.5,20999.798828125,42605.41796875,20153.4765625,41899.5234375,22586.421875,97181.03125
Landshut.,Germany,Landshut,88244.640625,30916.1484375,47130.05859375,32632.78125,45990.84765625,34040.46484375,119046.3125
Landshut.,Germany,Landshut,107854.5625,73499.296875,149118.953125,70537.171875,146648.328125,79052.46875,340133.59375
Landshut.,Germany,Landshut,493924.84375,52499.49609375,106513.5390625,50383.6953125,104748.8125,56466.0546875,242952.578125
Landshut.,Germany,Landshut,485345.53125,118849.5703125,217660.5625,118436.109375,213158.421875,129035.65625,516085.125
Landshut.,Germany,Landshut,47063808,61065488,123892640,58604460,121839968,65679236,282593504
Landshut.,Germany,Landshut,960886.0625,238119.109375,390479.1875,246051,381401.125,260964.5625,962890.5625
Landshut.,Germany,Landshut,171586.796875,29712.392578125,54415.140625,29609.02734375,53289.60546875,32258.9140625,129021.28125
Landshut.,Germany,Landshut,205904.15625,85128.6875,129565.9296875,89886.421875,126467.2265625,93688.03125,326980.15625
Landshut.,Germany,Landshut,1794307.625,1526978.25,2324062,1612319,2268479.5,1680509.625,5865138.5
Landshut.,Germany,Landshut,960886.0625,86058.546875,174599.765625,82590.265625,171706.96875,92560.625,398254.1875
Landshut.,Germany,Landshut,21700828,11175684,20467094,11136803,20043748,12133503,48528604
Landshut.,Germany,Landshut,107854.5625,73499.296875,149118.953125,70537.171875,146648.328125,79052.46875,340133.59375
