UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Minneapolis.1,USA,Minneapolis,8215.595703125,21973.47265625,45297.83984375,20917.208984375,36428.39453125,24470.169921875,117615.7734375
Minneapolis.2,USA,Minneapolis,30417614,3466904.25,7915504,3307907,6408254.5,3790426.75,18719608
Minneapolis.3,USA,Minneapolis,64530.90234375,6250869,14817587,5963204,11993106,6815411.5,34884308
Minneapolis.4,USA,Minneapolis,635066,156837.1875,354013.8125,149824.671875,287473.71875,169975.828125,791807
Minneapolis.5,USA,Minneapolis,97506192,205834624,484310048,196382528,392081600,224143744,1131067776
Minneapolis.6,USA,Minneapolis,14906639,42989324,102112112,41008964,82639120,46884208,240930576
Minneapolis.7,USA,Minneapolis,13315.900390625,3627.96337890625,6254.3125,3483.462158203125,5137.52783203125,3769.5859375,9972.115234375
Minneapolis.8,USA,Minneapolis,184374.015625,15597.1494140625,32076.72265625,14872.6416015625,25921.16015625,17159,77107.578125
Minneapolis.9,USA,Minneapolis,88069320,107203464,249224912,102330616,201999072,116619272,575232000
Minneapolis.10,USA,Minneapolis,90536856,124398880,294150624,118647568,237972528,135496096,689390784
Minneapolis.11,USA,Minneapolis,4378882.5,438330.03125,919196.875,418779.53125,746273.9375,474939.0625,2018851.75
Minneapolis.12,USA,Minneapolis,651454.8125,101257.3203125,226429.296875,96632.46875,183409.0625,110505.3125,526308.4375
Minneapolis.13,USA,Minneapolis,19353126,47870868,112955920,45678768,91473616,52179068,264773920
Minneapolis.14,USA,Minneapolis,644284.75,21559.78125,37586.0078125,20512.5078125,30098.857421875,24259.23046875,102456.6875
Minneapolis.15,USA,Minneapolis,722972.4375,166943.484375,396592.375,159311.578125,321178.96875,182708.6875,948366.3125
Minneapolis.16,USA,Minneapolis,412792.90625,134833.609375,282751.84375,128819.734375,229559.5,146094.84375,621014
Minneapolis.17,USA,Minneapolis,1425825.625,350566.8125,804522.125,334770.90625,652678.6875,380835.96875,1829884
Minneapolis.18,USA,Minneapolis,19617394,70538432,167219728,67276816,135281312,76869208,393055328
Minneapolis.19,USA,Minneapolis,43622892,88984880,206503312,84928360,167323136,96740144,474698496
Minneapolis.20,USA,Minneapolis,31605802,17683238,40594872,16882702,32916352,19198878,92248936
Minneapolis.21,USA,Minneapolis,29232500,18332224,43159796,17491666,34945160,19968386,100903360
Minneapolis.22,USA,Minneapolis,7170.1005859375,8910.646484375,15271.205078125,8473.5087890625,12195.314453125,10087.5400390625,43370.03125
Minneapolis.23,USA,Minneapolis,42525864,16644817,39668220,15878128,32104006,18164550,94011168
Minneapolis.24,USA,Minneapolis,491664.03125,53104.4765625,122164.78125,50702.84765625,99052.03125,57671.80859375,278757.6875
Minneapolis.25,USA,Minneapolis,744880.6875,107926.46875,252152.359375,103048.5078125,204508.78125,117269.8203125,575647.6875
Minneapolis.26,USA,Minneapolis,62788568,83017120,196300304,79179008,158810064,90422824,460062368
Minneapolis.27,USA,Minneapolis,8194.400390625,8787.541015625,12758.0908203125,8342.5458984375,10097.4169921875,10047.783203125,38989.6796875
Minneapolis.28,USA,Minneapolis,35850.5,4903119.5,11441817,4678739.5,9264740,5365330,27343232
Minneapolis.29,USA,Minneapolis,3718209.25,59140.08984375,86874.71875,56105.5625,68779.640625,67623.2265625,266700.25
Minneapolis.30,USA,Minneapolis,1957437.375,20697254,49326064,19743902,39920216,22586990,116899632
Minneapolis.31,USA,Minneapolis,12535384,3196367.25,7059375,3054210.25,5734794.5,3450873.25,15367668
Minneapolis.32,USA,Minneapolis,5813927,229924.890625,502442.71875,219637.328125,407897.40625,249486.015625,1120912.625
Minneapolis.33,USA,Minneapolis,55312.203125,139352.71875,327384.40625,133062.6875,265471.59375,151981.046875,766778.1875
Minneapolis.34,USA,Minneapolis,124221992,310382016,735457856,296049920,595076672,338264832,1728526080
Minneapolis.35,USA,Minneapolis,51119.265625,0,0,0,0,0,0
Minneapolis.36,USA,Minneapolis,98332.8046875,21145.548828125,49521.03125,20173.47265625,40085.51171875,23122.93359375,118021.4921875
Minneapolis.37,USA,Minneapolis,32781698,12578521,28876126,12009078,23414206,13656631,65618916
Minneapolis.38,USA,Minneapolis,27656.1015625,2072.44873046875,3060.06298828125,1967.3919677734375,2424.533203125,2371.9541015625,9434.2470703125
Minneapolis.39,USA,Minneapolis,36874.80078125,22334.224609375,48746.26953125,21300.103515625,39392.421875,24597.33203125,119084.2578125
Minneapolis.40,USA,Minneapolis,11267.30078125,2355.211181640625,4060.191650390625,2261.403564453125,3335.1943359375,2447.150146484375,6473.724609375
Minneapolis.41,USA,Minneapolis,35427464,12905928,30366468,12313275,24583700,14053916,70918480
Minneapolis.42,USA,Minneapolis,10243,1503.8436279296875,2592.50341796875,1443.94580078125,2129.580078125,1562.5482177734375,4133.58642578125
Minneapolis.43,USA,Minneapolis,1459627.625,147595.171875,349872,140802.828125,283180.53125,160925.09375,823686.3125
