UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
New_Haven.1,USA,New_Haven,20384710,8708378,20504842,8309387,16603541,9496038,48168992
New_Haven.2,USA,New_Haven,45891836,129219320,303085056,123305656,245465792,140832752,709065344
New_Haven.3,USA,New_Haven,623714,97659.046875,228792.078125,93167,185170.734375,106758.671875,544654.9375
New_Haven.4,USA,New_Haven,4813576,6121231.5,14357401,5841096,11627928,6671370,33589040
New_Haven.5,USA,New_Haven,325730.71875,2426840.5,5692176,2315777.25,4610040.5,2644950.25,13316805
New_Haven.6,USA,New_Haven,19815284,39374836,88927032,37582888,72068416,42795324,203599872
New_Haven.7,USA,New_Haven,16513341,8560985,20079864,8169194.5,16262498,9330394,46976704
New_Haven.8,USA,New_Haven,76218576,105293928,247240928,100442296,200090880,114685792,577971776
New_Haven.9,USA,New_Haven,37398.7109375,31597.779296875,74112.8671875,30151.720703125,60023.328125,34437.59375,173386.53125
New_Haven.10,USA,New_Haven,66014756,107426216,252946928,102504272,204820640,117142744,594210752
New_Haven.11,USA,New_Haven,53685248,136083136,319537088,129812824,258599824,148221280,746977600
New_Haven.12,USA,New_Haven,21061506,18279084,42873752,17442552,34723060,19921896,100302848
New_Haven.13,USA,New_Haven,2744582.75,947365.375,1935280,902394.25,1559137.75,1049514.125,4859850
New_Haven.14,USA,New_Haven,5549486,1095798.625,2580179.5,1045592.5625,2089268.25,1194911.875,6061233.5
New_Haven.15,USA,New_Haven,13966609,5567612,13058882,5312812.5,10576268,6067994.5,30551162
New_Haven.16,USA,New_Haven,93197584,81618736,191649120,77857984,155100704,88898848,448015616
New_Haven.17,USA,New_Haven,34332016,19147884,43244988,18276464,35046688,20811258,99010096
New_Haven.18,USA,New_Haven,2670991.75,942465.3125,2210560.75,899333.875,1790312.625,1027168.3125,5171591
New_Haven.19,USA,New_Haven,2750615,1341481,3142773,1279776.625,2543574,1466476.875,7481582.5
New_Haven.20,USA,New_Haven,115815.359375,115811.234375,258071.953125,110394.6171875,208434.59375,127348.09375,629442
New_Haven.21,USA,New_Haven,15562689,3325414.5,7830057,3173054.25,6340291.5,3626192.75,18393994
New_Haven.22,USA,New_Haven,1121961.375,365014.4375,745652.3125,347687.34375,600726.8125,404371.78125,1872472.375
New_Haven.23,USA,New_Haven,4825640,5796488,13730340,5530501,11116295,6327045,32494096
New_Haven.24,USA,New_Haven,90480.75,986892.4375,2199175.75,940734.3125,1776188,1085204.5,5363827.5
New_Haven.25,USA,New_Haven,7484568,1431671.875,3371030.5,1366077.125,2729650,1561164.375,7919063
New_Haven.26,USA,New_Haven,39493040,40858952,95941000,38976296,77644584,44503432,224280000
New_Haven.27,USA,New_Haven,14322500,6305306,14789150,6016746.5,11977596,6871988,34599112
New_Haven.28,USA,New_Haven,7672768,2109291.5,4952832.5,2012101.625,4008303.25,2297433,11578170
New_Haven.29,USA,New_Haven,23018304,7573470.5,17763642,7226875,14386611,8254128,41557916
New_Haven.30,USA,New_Haven,1054402.375,242485.796875,495350.5,230975.078125,399073.875,268631.59375,1243917.625
New_Haven.31,USA,New_Haven,325730.71875,2426840.5,5692176,2315777.25,4610040.5,2644950.25,13316805
New_Haven.32,USA,New_Haven,58685816,69890656,164110400,66670300,132813760,76124664,383638720
New_Haven.33,USA,New_Haven,3011199.5,740495.75,1734806.5,706434.9375,1404049.5,809493.25,4129823.5
New_Haven.34,USA,New_Haven,4800305.5,330955.65625,775350.875,315732.625,627523.0625,361793.28125,1845775
New_Haven.35,USA,New_Haven,1418738.25,399796.25,944185.8125,381483.6875,764581.5625,436239.03125,2227364.75
New_Haven.36,USA,New_Haven,62733.3203125,8256.58984375,14113.8603515625,7928.77734375,11597.0693359375,8575.9521484375,22397.1484375
New_Haven.37,USA,New_Haven,54867528,31611662,71394104,30173014,57859348,34357760,163457936
New_Haven.38,USA,New_Haven,20335248,20728692,46815204,19785328,37940068,22529392,107184168
New_Haven.39,USA,New_Haven,23018304,7573470.5,17763642,7226875,14386611,8254128,41557916
New_Haven.40,USA,New_Haven,5812483.5,10278004,24107148,9807636,19524158,11201727,56398500
New_Haven.41,USA,New_Haven,145203504,37952848,88914560,36207120,71962176,41489200,211667072
New_Haven.42,USA,New_Haven,66352.5546875,44318.2421875,103948.828125,42290.0390625,84187.1953125,48301.29296875,243187.5625
New_Haven.43,USA,New_Haven,10819085,452701.03125,1062988.375,431841.90625,860271.3125,493080.40625,2484933.75
New_Haven.44,USA,New_Haven,4263453,278395.71875,655513.5625,265640.46875,530794,303576.15625,1539901
New_Haven.45,USA,New_Haven,3648184,6087640.5,14334024,5808723.5,11606798,6638258.5,33672800
