UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Reutlingen.1,Germany,Reutlingen,21677758,6949457,11410471,7147638.5,11188411,7583433.5,27664834
Reutlingen.2,Germany,Reutlingen,307975840,174752256,306817696,175783984,300131456,189949744,733442752
Reutlingen.3,Germany,Reutlingen,603176.3125,56133.4453125,98555.140625,56464.8515625,96407.3984375,61015.13671875,235594.46875
Reutlingen.4,Germany,Reutlingen,970182.5,250767.359375,483086.625,244094.046875,472459.625,270848.46875,1126438.5
Reutlingen.5,Germany,Reutlingen,221756,46639.51953125,76578.484375,47969.5625,75088.1796875,50894.2890625,185665.515625
Reutlingen.6,Germany,Reutlingen,3678932.25,1467809.75,2573912.5,1476205.875,2513542,1596809.875,6177322
Reutlingen.7,Germany,Reutlingen,7586273,17636180,32191070,17518572,31534022,19123020,75930384
Reutlingen.8,Germany,Reutlingen,758405.5625,1327419.5,2327728,1335012.625,2273131.5,1444081.375,5586486
Reutlingen.9,Germany,Reutlingen,242909312,274266592,500614976,272437632,490396992,297388992,1180820864
Reutlingen.10,Germany,Reutlingen,17740.48046875,0,0,0,0,0,0
Reutlingen.11,Germany,Reutlingen,2637787.75,809932.8125,1422023,814714.625,1391034,880369.375,3399323
Reutlingen.12,Germany,Reutlingen,3694455,3609119.25,6587675,3585051.75,6453215,3913390.5,15538615
Reutlingen.13,Germany,Reutlingen,110878,31936.154296875,58292.61328125,31723.1875,57102.8203125,34628.57421875,137497.15625
Reutlingen.14,Germany,Reutlingen,71006272,27472674,48234588,27634872,47183444,29861860,115304000
Reutlingen.15,Germany,Reutlingen,6183666,236689.9375,415563.5625,238087.359375,406507.46875,257273.90625,993397.875
Reutlingen.16,Germany,Reutlingen,31736610,33660616,61440248,33436150,60186200,36498420,144921600
Reutlingen.17,Germany,Reutlingen,576565.625,2790762.25,5376217.5,2716495.75,5257951,3014242.25,12536010
Reutlingen.18,Germany,Reutlingen,10493494,3190330.25,5823264.5,3169055.5,5704407,3459295,13735571
Reutlingen.19,Germany,Reutlingen,1530116.5,91546.15625,160532.9375,92069.8203125,156767.671875,99591.796875,385274.84375
Reutlingen.20,Germany,Reutlingen,9613123,381096.34375,669102.1875,383346.34375,654520.9375,414238.75,1599477.75
Reutlingen.21,Germany,Reutlingen,301588.15625,43652.3671875,71673.8125,44897.2265625,70278.96875,47634.6328125,173774.078125
Reutlingen.22,Germany,Reutlingen,4257715.5,198844.21875,348688,199981.640625,340509.59375,216319.890625,836842.0625
Reutlingen.23,Germany,Reutlingen,29937.060546875,4439.06005859375,8102.55419921875,4409.45849609375,7937.1748046875,4813.30078125,19111.82421875
Reutlingen.24,Germany,Reutlingen,11087.80078125,0,0,0,0,0,0
Reutlingen.25,Germany,Reutlingen,349265.71875,106366.8046875,204908.578125,103536.21875,200400.984375,114884.515625,477796.1875
Reutlingen.26,Germany,Reutlingen,270292864,243833184,445065280,242207168,435981120,264389856,1049793536
Reutlingen.27,Germany,Reutlingen,1366017,566587.125,1091492.375,551509.375,1067481.625,611958.6875,2545090.5
Reutlingen.28,Germany,Reutlingen,6325590,653804.875,1221918.875,643198.4375,1193476.25,708170.0625,2882165
Reutlingen.29,Germany,Reutlingen,5107041,127230.328125,223382.046875,127981.4921875,218514.046875,138295.03125,533991.1875
Reutlingen.30,Germany,Reutlingen,709619.25,146488.984375,267384.28125,145512.125,261926.765625,158838.9375,630690.1875
Reutlingen.31,Germany,Reutlingen,133053.609375,369450.15625,674352.1875,366986.46875,660588.125,400597.15625,1590621.75
Reutlingen.32,Germany,Reutlingen,6386573,1440277.125,2525632,1448515.625,2466393.75,1566857.5,6061450.5
Reutlingen.33,Germany,Reutlingen,7586273,17636180,32191070,17518572,31534022,19123020,75930384
Reutlingen.34,Germany,Reutlingen,195145.28125,21252.76171875,38792.37109375,21111.0390625,38000.5859375,23044.50390625,91501.140625
Reutlingen.35,Germany,Reutlingen,44168252,16990258,31753692,16714632,31014560,18403034,74898080
Reutlingen.36,Germany,Reutlingen,7650582,1527832.875,2508583.5,1571403,2459763.75,1667212,6082093
Reutlingen.37,Germany,Reutlingen,32345332,80639864,155347360,78493920,151930016,87097400,362231616
Reutlingen.38,Germany,Reutlingen,10866044,2439575,4283234,2453978.25,4189892.5,2651735,10239002
Reutlingen.39,Germany,Reutlingen,1909319.25,302005.4375,581793.375,293968.625,568995.0625,326189.625,1356598.375
Reutlingen.40,Germany,Reutlingen,1993586.5,109709.5625,192620.328125,110357.28125,188422.6875,119250.5546875,460455.75
