UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Sioux_Falls.1,USA,Sioux_Falls,186714.578125,3656.490966796875,7455.7041015625,3483.77587890625,6004.58056640625,4055.3115234375,18903.671875
Sioux_Falls.2,USA,Sioux_Falls,22876402,10372135,25011888,9895210,20248792,11274358,58158900
Sioux_Falls.3,USA,Sioux_Falls,715923.3125,111269.5,258455.921875,106235.34375,209396.78125,121765.265625,614745.9375
Sioux_Falls.4,USA,Sioux_Falls,11048.19921875,2983.610595703125,5182.94677734375,2865.51416015625,4260.330078125,3086.6220703125,8073.87060546875
Sioux_Falls.5,USA,Sioux_Falls,6628.919921875,0,0,0,0,0,0
Sioux_Falls.6,USA,Sioux_Falls,66289.1953125,13225.1484375,26966.5078125,12600.4560546875,21717.943359375,14667.6416015625,68372.625
Sioux_Falls.7,USA,Sioux_Falls,69603.65625,108541.453125,213019.34375,103355.234375,171130.234375,121012.59375,552336.375
Sioux_Falls.8,USA,Sioux_Falls,24306.0390625,0,0,0,0,0,0
Sioux_Falls.9,USA,Sioux_Falls,24306.0390625,0,0,0,0,0,0
Sioux_Falls.10,USA,Sioux_Falls,7733.73974609375,0,0,0,0,0,0
Sioux_Falls.11,USA,Sioux_Falls,11048.19921875,4853.310546875,10143.9619140625,4628.54931640625,8184.47265625,5370.71435546875,25387.525390625
Sioux_Falls.12,USA,Sioux_Falls,29830.138671875,11404.5791015625,27500.62109375,10881.3779296875,22266.701171875,12399.3125,63973.16796875
Sioux_Falls.13,USA,Sioux_Falls,18781.939453125,25048.029296875,49158.30859375,23851.208984375,39491.59375,27925.982421875,127462.234375
Sioux_Falls.14,USA,Sioux_Falls,872807.75,89159.3671875,148940.984375,84752.4609375,118807.3515625,100564.6796875,416321.625
Sioux_Falls.15,USA,Sioux_Falls,13257.83984375,492290.125,1143487.5,470017.40625,926435.0625,538726.5,2719822.5
Sioux_Falls.16,USA,Sioux_Falls,24306.0390625,4472570,10785380,4266915,8731485,4861618,25078708
Sioux_Falls.17,USA,Sioux_Falls,3842563.75,14261072,31294306,13596524,25289008,15695219,76544912
Sioux_Falls.18,USA,Sioux_Falls,298301.375,15061.2412109375,34984.12890625,14379.826171875,28343.576171875,16481.927734375,83210.90625
Sioux_Falls.19,USA,Sioux_Falls,145836.234375,59282.7421875,142952.4375,56563.06640625,115745.7109375,64453.5234375,332542.28125
Sioux_Falls.20,USA,Sioux_Falls,320397.78125,15457.515625,37275.03515625,14746.7587890625,30176.626953125,16802.09375,86673.78125
Sioux_Falls.21,USA,Sioux_Falls,36681128,24671086,59491040,23539266,48168696,26822956,138390688
Sioux_Falls.22,USA,Sioux_Falls,24306.0390625,0,0,0,0,0,0
Sioux_Falls.23,USA,Sioux_Falls,35354.23828125,26946.703125,64978.37890625,25710.484375,52611.68359375,29297.056640625,151155.59375
Sioux_Falls.24,USA,Sioux_Falls,623118.4375,8993382,19734956,8574302,15947867,9897790,48271100
Sioux_Falls.25,USA,Sioux_Falls,48612.078125,26946.703125,64978.37890625,25710.484375,52611.68359375,29297.056640625,151155.59375
Sioux_Falls.26,USA,Sioux_Falls,9585418,535338.875,1174740.375,510392.75,949310.75,589174.5625,2873379.25
Sioux_Falls.27,USA,Sioux_Falls,1421903.25,914229.8125,1832705.5,870069.9375,1474854.375,1016648.4375,4700830.5
Sioux_Falls.28,USA,Sioux_Falls,734705.25,442214.84375,901690.5625,421326.78125,726192.0625,490448.15625,2286204.25
Sioux_Falls.29,USA,Sioux_Falls,16576718,3640233.25,8777937,3473232.75,7107319,3957742.75,20419628
Sioux_Falls.30,USA,Sioux_Falls,272890.53125,213121.953125,434562.625,203055.109375,349982.5,236367.59375,1101818.125
Sioux_Falls.31,USA,Sioux_Falls,9943.3798828125,22366.380859375,46748.23828125,21330.572265625,37717.97265625,24750.826171875,116997.890625
Sioux_Falls.32,USA,Sioux_Falls,33200944,87636792,211324416,83616328,171105136,95280664,491592224
Sioux_Falls.33,USA,Sioux_Falls,149150.6875,10778.6806640625,25991.3515625,10284.1943359375,21044.67578125,11718.822265625,60462.234375
Sioux_Falls.34,USA,Sioux_Falls,26590806,18059872,43550484,17229454,35257024,19630816,101265776
Sioux_Falls.35,USA,Sioux_Falls,7661.8505859375,0,0,0,0,0,0
Sioux_Falls.36,USA,Sioux_Falls,9943.3798828125,4361.07177734375,7575.78857421875,4188.453125,6227.22216796875,4511.6416015625,11801.3828125
Sioux_Falls.37,USA,Sioux_Falls,640795.5625,23562.18359375,56819.04296875,22478.765625,45998.8046875,25611.75,132118.5
Sioux_Falls.38,USA,Sioux_Falls,12153.01953125,258964.5625,519131.78125,246455.859375,417766.96875,287975.65625,1331556.5
