UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Amsterdam.1,Netherlands,Amsterdam,76171072,174476848,398142080,170892592,413366720,186476048,916983232
Amsterdam.2,Netherlands,Amsterdam,76171072,174476848,398142080,170892592,413366720,186476048,916983232
Amsterdam.3,Netherlands,Amsterdam,21652332,202483120,462050144,198323536,479718560,216408368,1064173504
Amsterdam.4,Netherlands,Amsterdam,50191060,65009788,148347088,63674296,154019760,69480672,341666464
Amsterdam.5,Netherlands,Amsterdam,54126.73046875,58331996,133108896,57133688,138198880,62343628,306570528
Amsterdam.6,Netherlands,Amsterdam,21322.65234375,7028.96044921875,14967.66796875,6956.21728515625,15575.8671875,7237.58984375,23702.5390625
Amsterdam.7,Netherlands,Amsterdam,49206.12109375,0,0,0,0,0,0
Amsterdam.8,Netherlands,Amsterdam,14761.8359375,9995.640625,22809.244140625,9790.30078125,23681.453125,10683.064453125,52533.24609375
Amsterdam.9,Netherlands,Amsterdam,19682.447265625,0,0,0,0,0,0
Amsterdam.10,Netherlands,Amsterdam,15581.9375,0,0,0,0,0,0
Amsterdam.11,Netherlands,Amsterdam,15581.9375,0,0,0,0,0,0
Amsterdam.12,Netherlands,Amsterdam,15581.9375,0,0,0,0,0,0
Amsterdam.13,Netherlands,Amsterdam,14761.8359375,9995.640625,22809.244140625,9790.30078125,23681.453125,10683.064453125,52533.24609375
Amsterdam.14,Netherlands,Amsterdam,436294.25,443140.0625,1011209.875,434036.6875,1049877.75,473615.84375,2328974
Amsterdam.15,Netherlands,Amsterdam,436294.25,443140.0625,1011209.875,434036.6875,1049877.75,473615.84375,2328974
Amsterdam.16,Netherlands,Amsterdam,14761.8359375,9995.640625,22809.244140625,9790.30078125,23681.453125,10683.064453125,52533.24609375
Amsterdam.17,Netherlands,Amsterdam,535522496,2566838784,6334419968,2515458304,6584408576,2736645376,14617295872
Amsterdam.18,Netherlands,Amsterdam,535522496,2566838784,6334419968,2515458304,6584408576,2736645376,14617295872
Amsterdam.19,Netherlands,Amsterdam,9956858,9302514,21227586,9111413,22039312,9942270,48890436
Amsterdam.20,Netherlands,Amsterdam,49444768,159938432,364966592,156652816,378922624,170937792,840574912
Amsterdam.21,Netherlands,Amsterdam,50191060,65009788,148347088,63674296,154019760,69480672,341666464
Amsterdam.22,Netherlands,Amsterdam,187216160,545879040,1245651840,534665120,1293284608,583420480,2868930560
Amsterdam.23,Netherlands,Amsterdam,218588352,237214880,541305216,232341808,562004288,253528736,1246710272
Amsterdam.24,Netherlands,Amsterdam,367141632,880672448,2173314816,863043968,2259085056,938932416,5015137792
Amsterdam.25,Netherlands,Amsterdam,0,48835920,111439624,47832692,115700992,52194484,256662832
Amsterdam.26,Netherlands,Amsterdam,8335516.5,56571756,129092176,55409604,134028560,60462332,297319392
Amsterdam.27,Netherlands,Amsterdam,49206.12109375,0,0,0,0,0,0
Amsterdam.28,Netherlands,Amsterdam,62232620,71016512,162053952,69557632,168250768,75900488,373235520
Amsterdam.29,Netherlands,Amsterdam,62232620,71016512,162053952,69557632,168250768,75900488,373235520
Amsterdam.30,Netherlands,Amsterdam,218588352,237214880,541305216,232341808,562004288,253528736,1246710272
Amsterdam.31,Netherlands,Amsterdam,49444768,159938432,364966592,156652816,378922624,170937792,840574912
Amsterdam.32,Netherlands,Amsterdam,414881408,1233358592,3043670272,1208670336,3163788544,1314950016,7023567872
Amsterdam.33,Netherlands,Amsterdam,187216160,545879040,1245651840,534665120,1293284608,583420480,2868930560
Amsterdam.34,Netherlands,Amsterdam,124655.5,637191.625,1454019.75,624101.875,1509620.5,681012.8125,3348834.25
Amsterdam.35,Netherlands,Amsterdam,8335516.5,56571756,129092176,55409604,134028560,60462332,297319392
Amsterdam.36,Netherlands,Amsterdam,7432584.5,1042807.1875,2379601.75,1021384.875,2470595.75,1114523.625,5480594
Amsterdam.37,Netherlands,Amsterdam,367141632,1234407552,3046258688,1209698304,3166479872,1316068608,7029541888
Amsterdam.38,Netherlands,Amsterdam,49206.12109375,0,0,0,0,0,0
Amsterdam.39,Netherlands,Amsterdam,124655.5,637191.625,1454019.75,624101.875,1509620.5,681012.8125,3348834.25
Amsterdam.40,Netherlands,Amsterdam,162759088,166448464,379821952,163029120,394346016,177895520,874789184
