UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Anchorage.,USA,Anchorage,79125072,360633120,852660032,343896416,689481920,394051520,2031454592
Anchorage.,USA,Anchorage,79125072,360633120,852660032,343896416,689481920,394051520,2031454592
Anchorage.,USA,Anchorage,117936144,377691104,892990976,360162816,722094592,412690240,2127542912
Anchorage.,USA,Anchorage,61443492,797905920,1886522496,760875840,1525488768,871844672,4494622720
Anchorage.,USA,Anchorage,40932860,155713184,368159232,148486672,297702624,170142496,877135936
Anchorage.,USA,Anchorage,40932860,155713184,368159232,148486672,297702624,170142496,877135936
Anchorage.,USA,Anchorage,25815108,145580784,344202784,138824512,278330848,159071184,820059904
Anchorage.,USA,Anchorage,25815108,145580784,344202784,138824512,278330848,159071184,820059904
Anchorage.,USA,Anchorage,25815108,145580784,344202784,138824512,278330848,159071184,820059904
Anchorage.,USA,Anchorage,55608572,216758400,512491040,206698864,414412928,236844560,1221005184
Anchorage.,USA,Anchorage,62858020,319096384,754452992,304287424,610069376,348665792,1797477248
Anchorage.,USA,Anchorage,62858020,319096384,754452992,304287424,610069376,348665792,1797477248
Anchorage.,USA,Anchorage,62858020,319096384,754452992,304287424,610069376,348665792,1797477248
Anchorage.,USA,Anchorage,60647820,222612832,526332896,212281584,425605760,243241472,1253983232
Anchorage.,USA,Anchorage,115549128,378294144,894416704,360737856,723247488,413349152,2130939520
Anchorage.,USA,Anchorage,115549128,378294144,894416704,360737856,723247488,413349152,2130939520
Anchorage.,USA,Anchorage,216776176,288615104,682384832,275220736,551793280,315359936,1625775616
Anchorage.,USA,Anchorage,102729984,378358240,894568256,360798976,723370048,413419168,2131300736
Anchorage.,USA,Anchorage,102729984,378358240,894568256,360798976,723370048,413419168,2131300736
Anchorage.,USA,Anchorage,102729984,378358240,894568256,360798976,723370048,413419168,2131300736
Anchorage.,USA,Anchorage,11139396,29156650,68936288,27803516,55743584,31858476,164240080
Anchorage.,USA,Anchorage,11139396,29156650,68936288,27803516,55743584,31858476,164240080
Anchorage.,USA,Anchorage,49862056,84675064,200200816,80745376,161887344,92521576,476976640
Anchorage.,USA,Anchorage,49862056,84675064,200200816,80745376,161887344,92521576,476976640
Anchorage.,USA,Anchorage,57858060,283751648,670885952,270582976,542494976,310045792,1598379520
Anchorage.,USA,Anchorage,50480912,104870696,247950192,100003744,200498656,114588640,590739072
Anchorage.,USA,Anchorage,35009528,54926872,129865936,52377772,105012792,60016736,309404384
Anchorage.,USA,Anchorage,63918912,97589952,230736000,93060888,186578864,106633224,549726400
Anchorage.,USA,Anchorage,63918912,97589952,230736000,93060888,186578864,106633224,549726400
Anchorage.,USA,Anchorage,55962204,81404432,190874752,77655384,154428480,88847384,451509440
Anchorage.,USA,Anchorage,55962204,81404432,190874752,77655384,154428480,88847384,451509440
Anchorage.,USA,Anchorage,29842578,162797648,381723200,155300064,308835680,177682528,902956608
Anchorage.,USA,Anchorage,29842578,162797648,381723200,155300064,308835680,177682528,902956608
Anchorage.,USA,Anchorage,94503840,166501456,390407776,158833312,315862016,181724976,923499776
Anchorage.,USA,Anchorage,121191800,281020864,658929600,268078560,533111360,306715104,1558681344
Anchorage.,USA,Anchorage,121191800,281020864,658929600,268078560,533111360,306715104,1558681344
Anchorage.,USA,Anchorage,3693485.75,68946016,161662624,65770736,130794216,75249872,382408832
Anchorage.,USA,Anchorage,68761.703125,171090.84375,291527.90625,164235.65625,239330.53125,177916.859375,465453.78125
Anchorage.,USA,Anchorage,404150.40625,705966.5625,1655330,673453.625,1339255.625,770514.375,3915641.5
Anchorage.,USA,Anchorage,57535.30078125,35924.1796875,61212.51953125,34484.7890625,50252.5625,37357.44921875,97731.96875
Anchorage.,USA,Anchorage,40695.703125,67089.7578125,114316.6875,64401.64453125,93848.5625,69766.4453125,182518.140625
Anchorage.,USA,Anchorage,40695.703125,67089.7578125,114316.6875,64401.64453125,93848.5625,69766.4453125,182518.140625
Anchorage.,USA,Anchorage,42099,32981.171875,56197.8203125,31659.69921875,46135.734375,34297.0234375,89725.5
Anchorage.,USA,Anchorage,42099,32981.171875,56197.8203125,31659.69921875,46135.734375,34297.0234375,89725.5
