UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Cincinnati.1,USA,Cincinnati,95922.96875,160309.890625,227116.703125,152131.84375,180100.1875,182629.75,680990.6875
Cincinnati.2,USA,Cincinnati,21800.673828125,12331.529296875,17470.515625,11702.44921875,13853.8603515625,14048.44140625,52383.89453125
Cincinnati.3,USA,Cincinnati,95922.96875,16442.041015625,23294.021484375,15603.2666015625,18471.814453125,18731.255859375,69845.1953125
Cincinnati.4,USA,Cincinnati,143884.453125,181242.5,256772.671875,171996.625,203616.953125,206476.8125,769911.75
Cincinnati.5,USA,Cincinnati,56681.75390625,59752.01953125,84652.796875,56703.82421875,67128.4140625,68071.2578125,253824.421875
Cincinnati.6,USA,Cincinnati,65402.0234375,36994.58984375,52411.546875,35107.34765625,41561.578125,42145.32421875,157151.6875
Cincinnati.7,USA,Cincinnati,279048.625,273059.90625,523832.5,259730.140625,420721.78125,305013.6875,1378279.5
Cincinnati.8,USA,Cincinnati,26160.80859375,0,0,0,0,0,0
Cincinnati.9,USA,Cincinnati,4360.134765625,19539.0703125,37483.3515625,18585.248046875,30105.162109375,21825.5546875,98624.15625
Cincinnati.10,USA,Cincinnati,238063.359375,73271.515625,140562.5625,69694.671875,112894.3515625,81845.8359375,369840.5625
Cincinnati.11,USA,Cincinnati,76875.2109375,1459.1043701171875,2504.344970703125,1401.1712646484375,2057.83740234375,1514.9017333984375,3964.93359375
Cincinnati.12,USA,Cincinnati,7862.23779296875,31333.013671875,60084.71484375,29802.63671875,48252.875,35040.9375,158969.5
Cincinnati.13,USA,Cincinnati,149382.515625,38040.13671875,74486.40625,36205.39453125,59862.9765625,42460.8515625,194903.796875
Cincinnati.14,USA,Cincinnati,61150.73828125,56123.80078125,109896.0390625,53416.859375,88320.875,62646.05078125,287557.875
Cincinnati.15,USA,Cincinnati,96094.015625,35275.5546875,69073.078125,33574.15625,55512.41796875,39374.9921875,180739.0625
Cincinnati.16,USA,Cincinnati,12230.1474609375,0,0,0,0,0,0
Cincinnati.17,USA,Cincinnati,267316.09375,2963600.25,6894417,2827703,5581614.5,3245395.75,16507874
Cincinnati.18,USA,Cincinnati,126669.3828125,331630.53125,771493.75,316423.4375,624589.5625,363163.8125,1847251.375
Cincinnati.19,USA,Cincinnati,864846.125,82612.6015625,192187.09375,78824.3515625,155591.71875,90467.859375,460169.5
Cincinnati.20,USA,Cincinnati,35816.859375,113875.3046875,264915.59375,108653.5,214471.609375,124703.203125,634309.3125
Cincinnati.21,USA,Cincinnati,2666172.25,351850.09375,818531.9375,335715.8125,662670.875,385305.96875,1959878.75
Cincinnati.22,USA,Cincinnati,83863.8671875,38777.515625,90210.671875,36999.35546875,73033.1796875,42464.69921875,215998.90625
Cincinnati.23,USA,Cincinnati,209659.671875,3005801,6992591.5,2867968.25,5661095,3291609,16742940
Cincinnati.24,USA,Cincinnati,3223517.5,333812.71875,776570.375,318505.59375,628699.5,365553.5,1859407
Cincinnati.25,USA,Cincinnati,1925374.625,247495.6875,587709.25,236135.96875,475847.40625,269956.8125,1385028.75
Cincinnati.26,USA,Cincinnati,31134462,13793287,32753872,13160193,26519652,15045076,77189624
Cincinnati.27,USA,Cincinnati,11531282,6187935.5,14694021,5903917.5,11897230,6749513.5,34628760
Cincinnati.28,USA,Cincinnati,4955830.5,3529600,8409373,3366364.5,6803023,3848805.25,19846692
Cincinnati.29,USA,Cincinnati,22700902,11383236,27120890,10856790,21940284,12412698,64007140
Cincinnati.30,USA,Cincinnati,36667728,48550104,115672016,46304784,93576464,52940816,272993824
Cincinnati.31,USA,Cincinnati,49883276,46371628,110481736,44227056,89377624,50565328,260744416
Cincinnati.32,USA,Cincinnati,59548588,22986692,54766456,21923614,44305024,25065534,129252560
Cincinnati.33,USA,Cincinnati,34782540,23986948,56618484,22882280,45825440,26123554,132224752
Cincinnati.34,USA,Cincinnati,124985992,230603296,544313088,219983328,440551968,251143968,1271168896
Cincinnati.35,USA,Cincinnati,314693920,2366500352,5585857024,2257516032,4521038336,2577292800,13045006336
Cincinnati.36,USA,Cincinnati,322377280,1618871680,3848815360,1544497536,3116143104,1759474176,8911825920
Cincinnati.37,USA,Cincinnati,296091872,3248427264,7667546112,3098827776,6205899776,3537776640,17906507776
Cincinnati.38,USA,Cincinnati,90588704,617540480,1457634432,589100864,1179769088,672546944,3404106496
Cincinnati.39,USA,Cincinnati,264116160,1147776640,2709197056,1094918016,2192749312,1250013056,6326959616
