UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Fergus.1,Canada,Fergus,69844824,72608056,202806592,73169184,199323136,84351288,583197952
Fergus.2,Canada,Fergus,69844824,72608056,202806592,73169184,199323136,84351288,583197952
Fergus.3,Canada,Fergus,69844824,72608056,202806592,73169184,199323136,84351288,583197952
Fergus.4,Canada,Fergus,69844824,72608056,202806592,73169184,199323136,84351288,583197952
Fergus.5,Canada,Fergus,23844396,22384124,62522640,22557112,61448740,26004408,179792352
Fergus.6,Canada,Fergus,23844396,22384124,62522640,22557112,61448740,26004408,179792352
Fergus.7,Canada,Fergus,13459929,6842412,19112014,6895291,18783738,7949065,54959188
Fergus.8,Canada,Fergus,13459929,6842412,19112014,6895291,18783738,7949065,54959188
Fergus.9,Canada,Fergus,13459929,6842412,19112014,6895291,18783738,7949065,54959188
Fergus.10,Canada,Fergus,198673.203125,1404726.375,3923638.75,1415582.375,3856245,1631919.125,11282955
Fergus.11,Canada,Fergus,198673.203125,1404726.375,3923638.75,1415582.375,3856245,1631919.125,11282955
Fergus.12,Canada,Fergus,198673.203125,1404726.375,3923638.75,1415582.375,3856245,1631919.125,11282955
Fergus.13,Canada,Fergus,245632.3125,85905.078125,239947.421875,86568.9609375,235825.984375,99798.890625,690001.375
Fergus.14,Canada,Fergus,184224.234375,90124.46875,251732.875,90820.953125,247409.03125,104700.6953125,723892
Fergus.15,Canada,Fergus,196505.859375,1160397.375,3241186.25,1169365.125,3185514.75,1348073.75,9320472
Fergus.16,Canada,Fergus,111256.9921875,11384.71875,31799.447265625,11472.701171875,31253.248046875,13226.021484375,91443.625
Fergus.17,Canada,Fergus,111256.9921875,11384.71875,31799.447265625,11472.701171875,31253.248046875,13226.021484375,91443.625
Fergus.18,Canada,Fergus,78024.3828125,9224.2783203125,25764.970703125,9295.564453125,25322.421875,10716.162109375,74090.6640625
Fergus.19,Canada,Fergus,260081.28125,102706.03125,286875.3125,103499.7578125,281947.84375,119317.140625,824948.9375
Fergus.20,Canada,Fergus,260081.28125,102706.03125,286875.3125,103499.7578125,281947.84375,119317.140625,824948.9375
