UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Ghent.,Belgium,Ghent,166704144,369791200,979743232,363072736,1013887680,399121920,2284451840
Ghent.,Belgium,Ghent,133960280,226214368,599343552,222104432,620230912,244156976,1397479936
Ghent.,Belgium,Ghent,190578352,390536544,1034706880,383441120,1070766848,421512672,2412609536
Ghent.,Belgium,Ghent,190578352,390536544,1034706880,383441120,1070766848,421512672,2412609536
Ghent.,Belgium,Ghent,166704144,369791200,979743232,363072736,1013887680,399121920,2284451840
Ghent.,Belgium,Ghent,143544880,224059072,593633344,219988320,614321664,241830752,1384165248
Ghent.,Belgium,Ghent,143544880,224059072,593633344,219988320,614321664,241830752,1384165248
Ghent.,Belgium,Ghent,192524880,419902336,1112510208,412273440,1151281536,453207712,2594022400
Ghent.,Belgium,Ghent,192524880,419902336,1112510208,412273440,1151281536,453207712,2594022400
Ghent.,Belgium,Ghent,189468928,346321248,917560768,340029184,949538048,373790368,2139461760
Ghent.,Belgium,Ghent,104763128,201979264,534880256,198339776,553700864,218032480,1246667648
Ghent.,Belgium,Ghent,136924976,198567216,525844480,194989200,544347200,214349248,1225607552
Ghent.,Belgium,Ghent,57553616,77062712,204076992,75674104,211257792,83187616,475650752
Ghent.,Belgium,Ghent,57553616,77062712,204076992,75674104,211257792,83187616,475650752
Ghent.,Belgium,Ghent,146668384,281303296,745298944,276192480,771272960,303615424,1737801728
Ghent.,Belgium,Ghent,117160096,230296000,609868416,226146256,631327680,248599808,1421445760
Ghent.,Belgium,Ghent,189468928,346321248,917560768,340029184,949538048,373790368,2139461760
Ghent.,Belgium,Ghent,181524752,286584000,759289920,281377248,785751488,309314976,1770424192
Ghent.,Belgium,Ghent,192524880,419902336,1112510208,412273440,1151281536,453207712,2594022400
Ghent.,Belgium,Ghent,133960280,226214368,599343552,222104432,620230912,244156976,1397479936
Ghent.,Belgium,Ghent,24715620,35103516,92960920,34470976,96231904,37893528,216667856
Ghent.,Belgium,Ghent,100643024,170634656,451873632,167559952,467773536,184196624,1053200704
Ghent.,Belgium,Ghent,57553616,77062712,204076992,75674104,211257792,83187616,475650752
Ghent.,Belgium,Ghent,13841954,27799334,73618024,27298412,76208400,30008812,171584576
Ghent.,Belgium,Ghent,31722822,28560480,75633688,28045844,78294992,30830452,176282576
Ghent.,Belgium,Ghent,31722822,28560480,75633688,28045844,78294992,30830452,176282576
Ghent.,Belgium,Ghent,31722822,28560480,75633688,28045844,78294992,30830452,176282576
Ghent.,Belgium,Ghent,31722822,28560480,75633688,28045844,78294992,30830452,176282576
Ghent.,Belgium,Ghent,845003,2720618.75,7204726.5,2671595.5,7458236.5,2936852.25,16792356
Ghent.,Belgium,Ghent,845003,2720618.75,7204726.5,2671595.5,7458236.5,2936852.25,16792356
Ghent.,Belgium,Ghent,743688.875,2354970.75,6191439.5,2311816.5,6399665,2548422.5,14612061
Ghent.,Belgium,Ghent,743688.875,2354970.75,6191439.5,2311816.5,6399665,2548422.5,14612061
Ghent.,Belgium,Ghent,327654.21875,1140548.875,2998610.5,1119648.625,3099457.25,1234240.625,7076848
Ghent.,Belgium,Ghent,327654.21875,1140548.875,2998610.5,1119648.625,3099457.25,1234240.625,7076848
Ghent.,Belgium,Ghent,10528048,9360661,24610058,9189129,25437724,10129604,58080788
Ghent.,Belgium,Ghent,23571704,26618158,69981640,26130386,72335208,28804738,165159664
Ghent.,Belgium,Ghent,23571704,26618158,69981640,26130386,72335208,28804738,165159664
Ghent.,Belgium,Ghent,23571704,26618158,69981640,26130386,72335208,28804738,165159664
Ghent.,Belgium,Ghent,23571704,26618158,69981640,26130386,72335208,28804738,165159664
Ghent.,Belgium,Ghent,743688.875,2354970.75,6191439.5,2311816.5,6399665,2548422.5,14612061
