UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Norfolk.1,USA,Norfolk,16413.439453125,2578.86767578125,4456.634765625,2476.863525390625,3663.62841796875,2669.87060546875,6962.8818359375
Norfolk.2,USA,Norfolk,12716.51953125,0,0,0,0,0,0
Norfolk.3,USA,Norfolk,5298.5498046875,0,0,0,0,0,0
Norfolk.4,USA,Norfolk,4238.83984375,1931.9058837890625,3297.093017578125,1855.369140625,2709.75390625,2004.945556640625,5204.42138671875
Norfolk.5,USA,Norfolk,42388.3984375,4304.99267578125,9246.15625,4107.693359375,7481.86474609375,4731.330078125,22206.82421875
Norfolk.6,USA,Norfolk,26492.75,30134.94921875,64723.09375,28753.8515625,52373.05078125,33119.3125,155447.765625
Norfolk.7,USA,Norfolk,100672.4453125,103318.921875,221905.796875,98583.7734375,179563.1875,113550.9296875,532959.0625
Norfolk.8,USA,Norfolk,6358.259765625,10722.6728515625,23029.88671875,10231.2470703125,18635.474609375,11784.5732421875,55311.703125
Norfolk.9,USA,Norfolk,96433.609375,167656.3125,360088.0625,159972.5625,291378.40625,184259.859375,864836.375
Norfolk.10,USA,Norfolk,9537.3896484375,0,0,0,0,0,0
Norfolk.11,USA,Norfolk,221479.375,76640.4375,181448.75,73135.75,146963.328125,83618.546875,427993.125
Norfolk.12,USA,Norfolk,276584.3125,83418.1328125,197495.171875,79603.5078125,159960.015625,91013.359375,465842.71875
Norfolk.13,USA,Norfolk,181210.40625,67631.234375,160119.171875,64538.53125,129687.546875,73789.0546875,377681.875
Norfolk.14,USA,Norfolk,25433.0390625,9336.087890625,22103.494140625,8909.158203125,17902.58984375,10186.138671875,52136.72265625
Norfolk.15,USA,Norfolk,89015.640625,29789.84765625,70528.4375,28427.587890625,57124.0859375,32502.212890625,166359.296875
Norfolk.16,USA,Norfolk,667617.25,705347.4375,1669933.25,673092.625,1352552.25,769569.3125,3938962.75
Norfolk.17,USA,Norfolk,7439164,28195052,66752708,26905722,54065952,30762206,157453280
Norfolk.18,USA,Norfolk,7342730.5,8702268,20602906,8304323,16687199,9494610,48597204
Norfolk.19,USA,Norfolk,3550028.25,344024.3125,814488.875,328292.4375,659690.3125,375347.71875,1921179.625
Norfolk.20,USA,Norfolk,58284.046875,6815.54833984375,11631.7763671875,6545.53515625,9559.708984375,7073.22412109375,18360.6171875
Norfolk.21,USA,Norfolk,1748521.375,16081254,38072896,15345875,30836914,17545452,89804632
Norfolk.22,USA,Norfolk,24362732,43916516,103973808,41908260,84212944,47915116,245248688
Norfolk.23,USA,Norfolk,50471868,37251740,88016280,35534428,71228168,40590264,206492640
Norfolk.24,USA,Norfolk,103576048,167532752,395836736,159809456,320335392,182547120,928661952
Norfolk.25,USA,Norfolk,100589792,605947392,1431697792,578013120,1158617728,660252800,3358867712
Norfolk.26,USA,Norfolk,115497792,401847136,949461312,383321920,768362432,437860896,2227505664
Norfolk.27,USA,Norfolk,84854152,180661408,426856416,172332880,345438400,196852416,1001436416
Norfolk.28,USA,Norfolk,85388248,196843616,465090752,187769088,376380000,214484848,1091136896
Norfolk.29,USA,Norfolk,88859856,185571888,437169568,177034896,353870336,202143952,1022555776
Norfolk.30,USA,Norfolk,105817336,91697776,216021280,87479352,174860112,99886640,505281824
Norfolk.31,USA,Norfolk,0,0,0,0,0,0,0
Norfolk.32,USA,Norfolk,149613024,522383808,1230629888,498352256,996142976,569034048,2878488832
Norfolk.33,USA,Norfolk,103280392,281429024,662989376,268482240,536661984,306561408,1550756736
Norfolk.34,USA,Norfolk,164834704,763967680,1799752320,728822400,1456823552,832192064,4209687552
Norfolk.35,USA,Norfolk,192207008,1650482944,3888201216,1574554752,3147335168,1797875456,9094647808
Norfolk.36,USA,Norfolk,386617152,8985639936,21168338944,8572268544,17134876672,9788082176,49513525248
Norfolk.37,USA,Norfolk,386617152,8985639936,21168338944,8572268544,17134876672,9788082176,49513525248
Norfolk.38,USA,Norfolk,386617152,8985639936,21168338944,8572268544,17134876672,9788082176,49513525248
Norfolk.39,USA,Norfolk,132522032,766753600,1806315392,731480256,1462136064,835226816,4225038848
