UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Orangeville.1,Canada,Orangeville,225869024,392305280,1129985024,395779648,1113174144,451085952,3113664768
Orangeville.2,Canada,Orangeville,55627052,108890008,313643744,109854368,308977600,125205432,864242816
Orangeville.3,Canada,Orangeville,71649504,98755360,284452160,99629960,280220320,113552264,783805696
Orangeville.4,Canada,Orangeville,71649504,98755360,284452160,99629960,280220320,113552264,783805696
Orangeville.5,Canada,Orangeville,27250016,45937376,132316736,46344208,130348224,52820356,364597728
Orangeville.6,Canada,Orangeville,27250016,45937376,132316736,46344208,130348224,52820356,364597728
Orangeville.7,Canada,Orangeville,450807.5625,983431.5,2832648.5,992141,2790506.75,1130782.875,7805341
Orangeville.8,Canada,Orangeville,450807.5625,983431.5,2832648.5,992141,2790506.75,1130782.875,7805341
Orangeville.9,Canada,Orangeville,450807.5625,983431.5,2832648.5,992141,2790506.75,1130782.875,7805341
Orangeville.10,Canada,Orangeville,301983.25,68870.8671875,198373.71875,69480.8046875,195422.484375,79190.0703125,546617.1875
Orangeville.11,Canada,Orangeville,182056.890625,97080.921875,279629.15625,97940.6953125,275469.0625,111626.9375,770515.9375
Orangeville.12,Canada,Orangeville,182056.890625,97080.921875,279629.15625,97940.6953125,275469.0625,111626.9375,770515.9375
Orangeville.13,Canada,Orangeville,60685.6328125,6276.2080078125,18077.8125,6331.79150390625,17808.865234375,7216.5966796875,49813.2734375
Orangeville.14,Canada,Orangeville,60685.6328125,6276.2080078125,18077.8125,6331.79150390625,17808.865234375,7216.5966796875,49813.2734375
Orangeville.15,Canada,Orangeville,60685.6328125,6276.2080078125,18077.8125,6331.79150390625,17808.865234375,7216.5966796875,49813.2734375
Orangeville.16,Canada,Orangeville,130040.640625,15379.9853515625,30480.7890625,15401.4111328125,29367.931640625,18695.0390625,108354.671875
Orangeville.17,Canada,Orangeville,135097.78125,20798.66796875,41219.796875,20827.640625,39714.85546875,25281.6796875,146530.234375
Orangeville.18,Canada,Orangeville,130040.640625,15379.9853515625,30480.7890625,15401.4111328125,29367.931640625,18695.0390625,108354.671875
Orangeville.19,Canada,Orangeville,135097.78125,20798.66796875,41219.796875,20827.640625,39714.85546875,25281.6796875,146530.234375
Orangeville.20,Canada,Orangeville,135097.78125,20798.66796875,41219.796875,20827.640625,39714.85546875,25281.6796875,146530.234375
Orangeville.21,Canada,Orangeville,50571.359375,15998.9736328125,31707.53515625,16021.2626953125,30549.888671875,19447.447265625,112715.5703125
Orangeville.22,Canada,Orangeville,98252.9296875,25598.359375,50732.05859375,25634.021484375,48879.8203125,31115.916015625,180344.90625
Orangeville.23,Canada,Orangeville,98252.9296875,25598.359375,50732.05859375,25634.021484375,48879.8203125,31115.916015625,180344.90625
Orangeville.24,Canada,Orangeville,91028.4453125,22398.564453125,44390.546875,22429.76953125,42769.84375,27226.427734375,157801.796875
Orangeville.25,Canada,Orangeville,91028.4453125,22398.564453125,44390.546875,22429.76953125,42769.84375,27226.427734375,157801.796875
Orangeville.26,Canada,Orangeville,91028.4453125,22398.564453125,44390.546875,22429.76953125,42769.84375,27226.427734375,157801.796875
Orangeville.27,Canada,Orangeville,11559.16796875,20798.66796875,41219.796875,20827.640625,39714.85546875,25281.6796875,146530.234375
Orangeville.28,Canada,Orangeville,10114.271484375,4559.12255859375,9148.0498046875,4567.3203125,8827.6796875,5550.185546875,32766.755859375
Orangeville.29,Canada,Orangeville,10114.271484375,4559.12255859375,9148.0498046875,4567.3203125,8827.6796875,5550.185546875,32766.755859375
