UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Portland_ME.1,USA,Portland_ME,0,0,0,0,0,0,0
Portland_ME.2,USA,Portland_ME,0,0,0,0,0,0,0
Portland_ME.3,USA,Portland_ME,87767712,160813856,408930784,153499440,331475008,173965200,935497344
Portland_ME.4,USA,Portland_ME,41325604,106977376,272030912,102111648,220505440,115725976,622316160
Portland_ME.5,USA,Portland_ME,11337853,18401084,44703988,17584008,36327656,19819104,98337472
Portland_ME.6,USA,Portland_ME,3691393.75,6685768.5,16242548,6388895,13199130,7200985,35729500
Portland_ME.7,USA,Portland_ME,8602105,21331448,51823072,20384248,42112812,22975282,113997640
Portland_ME.8,USA,Portland_ME,14508335,21380996,51943448,20431598,42210636,23028652,114262456
Portland_ME.9,USA,Portland_ME,25366436,66337600,168688736,63320320,136737344,71762680,385903616
Portland_ME.10,USA,Portland_ME,79376544,261706736,665489472,249803328,539438848,283109056,1522418176
Portland_ME.11,USA,Portland_ME,79376544,261706736,665489472,249803328,539438848,283109056,1522418176
Portland_ME.12,USA,Portland_ME,31023142,60368564,153510160,57622780,124433744,65305500,351180128
Portland_ME.13,USA,Portland_ME,92529224,33245682,84539864,31733544,68527136,35964512,193399024
Portland_ME.14,USA,Portland_ME,92529224,33245682,84539864,31733544,68527136,35964512,193399024
Portland_ME.15,USA,Portland_ME,2124802.25,7118736,18102110,6794949.5,14673381,7700905.5,41411592
Portland_ME.16,USA,Portland_ME,87767712,160813856,408930784,153499440,331475008,173965200,935497344
Portland_ME.17,USA,Portland_ME,39157072,106274096,270242560,101440368,219055808,114965184,618224896
Portland_ME.18,USA,Portland_ME,3556342.75,1679470.875,4080142,1604896,3315632.75,1808893.625,8975281
Portland_ME.19,USA,Portland_ME,11337853,18401084,44703988,17584008,36327656,19819104,98337472
Portland_ME.20,USA,Portland_ME,540204,1631824.875,3964390,1559365.625,3221569.5,1757576,8720656
Portland_ME.21,USA,Portland_ME,3691393.75,6685768.5,16242548,6388895,13199130,7200985,35729500
Portland_ME.22,USA,Portland_ME,3691393.75,6685768.5,16242548,6388895,13199130,7200985,35729500
Portland_ME.23,USA,Portland_ME,8602105,21331448,51823072,20384248,42112812,22975282,113997640
Portland_ME.24,USA,Portland_ME,12244624,9052892,21993288,8650910,17872334,9750523,48379676
Portland_ME.25,USA,Portland_ME,205792,2343891.75,5694300.5,2239814,4627340.5,2524515.75,12526022
Portland_ME.26,USA,Portland_ME,205792,2343891.75,5694300.5,2239814,4627340.5,2524515.75,12526022
Portland_ME.27,USA,Portland_ME,565928,78470.859375,143884.265625,75401.3203125,118417.53125,80801.1953125,220771.625
Portland_ME.28,USA,Portland_ME,565928,78470.859375,143884.265625,75401.3203125,118417.53125,80801.1953125,220771.625
Portland_ME.29,USA,Portland_ME,68209752,163279632,415200928,155853072,336557568,176632624,949841408
Portland_ME.30,USA,Portland_ME,68209752,163279632,415200928,155853072,336557568,176632624,949841408
Portland_ME.31,USA,Portland_ME,47383608,12743335,32404804,12163721,26266998,13785484,74131400
Portland_ME.32,USA,Portland_ME,13052357,13291222,33798012,12686687,27396320,14378177,77318600
Portland_ME.33,USA,Portland_ME,13052357,13291222,33798012,12686687,27396320,14378177,77318600
Portland_ME.34,USA,Portland_ME,55576700,115628912,294030752,110369672,238338272,125085032,672644352
Portland_ME.35,USA,Portland_ME,64654700,178957296,455067328,170817632,368872864,193592384,1041042496
Portland_ME.36,USA,Portland_ME,95307416,73926136,187985488,70563696,152379072,79971808,430048192
Portland_ME.37,USA,Portland_ME,95307416,73926136,187985488,70563696,152379072,79971808,430048192
Portland_ME.38,USA,Portland_ME,20141892,26457126,65265596,25256636,52896712,28763616,152115152
