UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Quito.,Ecuador,Quito,0,0,0,0,0,0,0
Quito.,Ecuador,Quito,603.3809814453125,0,0,0,0,0,0
Quito.,Ecuador,Quito,603.3809814453125,0,0,0,0,0,0
Quito.,Ecuador,Quito,603.3809814453125,0,0,0,0,0,0
Quito.,Ecuador,Quito,804.50799560546875,0,0,0,0,0,0
Quito.,Ecuador,Quito,804.50799560546875,0,0,0,0,0,0
Quito.,Ecuador,Quito,804.50799560546875,0,0,0,0,0,0
Quito.,Ecuador,Quito,1609.0159912109375,0,0,0,0,0,0
Quito.,Ecuador,Quito,1005.635009765625,0,0,0,0,0,0
Quito.,Ecuador,Quito,18101.4296875,3031.284423828125,16287.748046875,2919.4560546875,17312.837890625,3179.5419921875,25533.326171875
Quito.,Ecuador,Quito,1609.0159912109375,0,0,0,0,0,0
Quito.,Ecuador,Quito,1609.0159912109375,0,0,0,0,0,0
Quito.,Ecuador,Quito,61947.1171875,2416.89697265625,12986.5107421875,2327.734375,13803.8330078125,2535.10546875,20358.17578125
Quito.,Ecuador,Quito,141392.28125,6921.56396484375,37191.05859375,6666.21728515625,39531.7265625,7260.09130859375,58302.19921875
Quito.,Ecuador,Quito,742158.625,32089.462890625,165178.59375,31227.072265625,173245.421875,33743.9921875,260958.375
Quito.,Ecuador,Quito,51890.765625,6997.5146484375,37599.16015625,6739.3671875,39965.51171875,7339.75732421875,58941.95703125
Quito.,Ecuador,Quito,51890.765625,6997.5146484375,37599.16015625,6739.3671875,39965.51171875,7339.75732421875,58941.95703125
Quito.,Ecuador,Quito,579674560,111707104,600226496,107586072,638002432,117170608,940939008
Quito.,Ecuador,Quito,466204128,289458880,1555325312,278780352,1653211648,303616096,2438190336
Quito.,Ecuador,Quito,466204128,289458880,1555325312,278780352,1653211648,303616096,2438190336
Quito.,Ecuador,Quito,103300432,355158784,1828158592,345614048,1917440384,373470752,2888227072
Quito.,Ecuador,Quito,103300432,525276448,2703828992,511159840,2835876096,552359680,4271660544
Quito.,Ecuador,Quito,103300432,525276448,2703828992,511159840,2835876096,552359680,4271660544
Quito.,Ecuador,Quito,114626904,593842944,3056770816,577883648,3206054656,624461440,4829257216
Quito.,Ecuador,Quito,148844432,786704320,4049513984,765562048,4247279872,827266752,6397647872
Quito.,Ecuador,Quito,125397056,1248792064,6428082688,1215231232,6742011392,1313179776,10155443200
Quito.,Ecuador,Quito,200640272,1151077376,5925102080,1120142720,6214467072,1210427008,9360807936
Quito.,Ecuador,Quito,103300432,641650240,3573089024,607695424,3733145088,673858304,5615897600
Quito.,Ecuador,Quito,150486432,946744192,5272033792,896644544,5508194304,994266880,8286164480
Quito.,Ecuador,Quito,150486432,946744192,5272033792,896644544,5508194304,994266880,8286164480
Quito.,Ecuador,Quito,118499200,610413568,3399145216,578111744,3551409408,641053760,5342506496
Quito.,Ecuador,Quito,118499200,610413568,3399145216,578111744,3551409408,641053760,5342506496
Quito.,Ecuador,Quito,75841776,574005504,3196403712,543630400,3339586304,602818240,5023853056
Quito.,Ecuador,Quito,27641486,104029360,579297216,98524344,605246720,109251200,910493376
Quito.,Ecuador,Quito,85881.2265625,132221.03125,736285.25,125224.1796875,769267.0625,138857.96875,1157234.625
Quito.,Ecuador,Quito,2613243,2425141.25,13504627,2296808.25,14109566,2546873.25,21225500
Quito.,Ecuador,Quito,15229336,41537980,231308144,39339880,241669568,43623012,363551744
Quito.,Ecuador,Quito,15229336,41537980,231308144,39339880,241669568,43623012,363551744
Quito.,Ecuador,Quito,15229336,41537980,231308144,39339880,241669568,43623012,363551744
Quito.,Ecuador,Quito,3951542.25,14685629,81778296,13908496,85441544,15422785,128532640
Quito.,Ecuador,Quito,5789440.5,9073360,50525856,8593217,52789148,9528805,79412528
