UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Shanghai.1,China,Shanghai,383544320,1727063936,2862409472,1524464640,2764818176,1924240896,4583538688
Shanghai.2,China,Shanghai,227784912,876270848,1452317696,773476800,1402802176,976313664,2325577472
Shanghai.3,China,Shanghai,1332387840,5610757632,9299183616,4952567808,8982135808,6251331584,14890660864
Shanghai.4,China,Shanghai,52303676,2595402240,4301579776,2290939392,4154921216,2891716352,6888063488
Shanghai.5,China,Shanghai,52519612,2959637248,4905256960,2612446720,4738016768,3297535744,7854724096
Shanghai.6,China,Shanghai,52303676,2595402240,4301579776,2290939392,4154921216,2891716352,6888063488
Shanghai.7,China,Shanghai,18709516,78891160,130752968,69636552,126295064,87898072,209373024
Shanghai.8,China,Shanghai,1915531.25,2185121.75,3621586.75,1928788.375,3498112,2434594.5,5799200
Shanghai.9,China,Shanghai,1472830.75,1549444.75,2568025.5,1367681.625,2480471,1726343,4112145.75
Shanghai.10,China,Shanghai,1207365.125,594789.25,985794.375,525015.375,952184.625,662695.625,1578539.75
Shanghai.11,China,Shanghai,975179.5625,3260104.25,5403246,2877666.25,5219027,3632306.5,8652147
Shanghai.12,China,Shanghai,1060314.25,2383840,3950939.25,2104195.25,3816235.5,2656000.25,6326587.5
Shanghai.13,China,Shanghai,400520.1875,1648206.625,2731711.75,1454857.875,2638576.5,1836380.5,4374254.5
Shanghai.14,China,Shanghai,495329.3125,5298825,8782190,4677227.5,8482769,5903786,14062807
Shanghai.15,China,Shanghai,495329.3125,5298825,8782190,4677227.5,8482769,5903786,14062807
Shanghai.16,China,Shanghai,1514624.125,4120141,6828657.5,3636813.25,6595840.5,4590532.5,10934640
Shanghai.17,China,Shanghai,1514624.125,4120141,6828657.5,3636813.25,6595840.5,4590532.5,10934640
Shanghai.18,China,Shanghai,2183318.75,78736936,130497368,69500424,126048176,87726240,208963728
Shanghai.19,China,Shanghai,2183318.75,78736936,130497368,69500424,126048176,87726240,208963728
Shanghai.20,China,Shanghai,5278353,103732600,171924784,91563880,166063152,115575632,275300928
Shanghai.21,China,Shanghai,5278353,103732600,171924784,91563880,166063152,115575632,275300928
Shanghai.22,China,Shanghai,5278353,103732600,171924784,91563880,166063152,115575632,275300928
Shanghai.23,China,Shanghai,7006200.5,73953832,122569936,65278420,118391024,82397056,196269648
Shanghai.24,China,Shanghai,9940640,209456288,347149632,184885280,335313856,233369680,555886144
Shanghai.25,China,Shanghai,9940640,209456288,347149632,184885280,335313856,233369680,555886144
Shanghai.26,China,Shanghai,9940640,209456288,347149632,184885280,335313856,233369680,555886144
Shanghai.27,China,Shanghai,11615472,204578000,339064416,180579248,327504320,227934432,542939392
Shanghai.28,China,Shanghai,132884464,1175048960,1947507968,1037205632,1881109504,1309202944,3118519296
Shanghai.29,China,Shanghai,9621772,47888988,79370472,42271204,76664400,53356420,127094896
Shanghai.30,China,Shanghai,10874413,40153304,66549464,35442980,64280520,44737560,106564792
Shanghai.31,China,Shanghai,10874413,40153304,66549464,35442980,64280520,44737560,106564792
Shanghai.32,China,Shanghai,10874413,40153304,66549464,35442980,64280520,44737560,106564792
Shanghai.33,China,Shanghai,16609010,71118048,117869952,62775292,113851280,79237512,188743616
Shanghai.34,China,Shanghai,48674616,1389015296,2302132480,1226071936,2223643392,1547597568,3686374912
Shanghai.35,China,Shanghai,48674616,1389015296,2302132480,1226071936,2223643392,1547597568,3686374912
Shanghai.36,China,Shanghai,48674616,1389015296,2302132480,1226071936,2223643392,1547597568,3686374912
Shanghai.37,China,Shanghai,51460072,1513798016,2508945152,1336216576,2423404800,1686626560,4017541120
Shanghai.38,China,Shanghai,13927267,346113056,573642432,305511072,554084608,385628416,918566144
Shanghai.39,China,Shanghai,51460072,1043019520,1728684416,920664384,1669746432,1162099840,2768119808
Shanghai.40,China,Shanghai,23656618,823237312,1364420736,726664576,1317902080,917225344,2184829184
Shanghai.41,China,Shanghai,238407408,1692555520,2805215488,1494004224,2709574144,1885792640,4491954688
