UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Toluca.,Mexico,Toluca,139775104,53847436,192566800,52530492,224265200,55841324,284001056
Toluca.,Mexico,Toluca,106144.3671875,578556.1875,2069006.875,564406.5,2409586,599979.1875,3051409.5
Toluca.,Mexico,Toluca,141987.125,181554.203125,601026.6875,186322.390625,734349.5625,188209.640625,885086.1875
Toluca.,Mexico,Toluca,415582.1875,99193.828125,328376.53125,101798.96875,401218.6875,102830.1015625,483575.03125
Toluca.,Mexico,Toluca,915028.125,208383.53125,689843.9375,213856.34375,842868.75,216022.5,1015880.5625
Toluca.,Mexico,Toluca,21784920,2490395.75,8906042,2429488.25,10372066,2582611.25,13134795
Toluca.,Mexico,Toluca,62413.44140625,35258.6328125,108828.328125,37713.69140625,139842.515625,36420.55078125,159060.328125
Toluca.,Mexico,Toluca,22419.01953125,10810.2587890625,33366.64453125,11562.9765625,42875.5625,11166.5009765625,48767.72265625
Toluca.,Mexico,Toluca,77497.84375,615459.5,2037449.75,631623.4375,2489407.25,638021.1875,3000397
Toluca.,Mexico,Toluca,7541509,1119237.375,4002567,1091864.25,4661429,1160680.875,5903059
Toluca.,Mexico,Toluca,116246.765625,24730.28515625,81868.4453125,25379.779296875,100028.9296875,25636.853515625,120561.4140625
Toluca.,Mexico,Toluca,139775104,47249224,168970576,46093652,196784800,48998788,249200912
Toluca.,Mexico,Toluca,199418.5625,80120.1328125,265233.96875,82224.34375,324069.5,83057.1875,390589.8125
Toluca.,Mexico,Toluca,1853305.625,460704.1875,1444618.625,488288.25,1831928.625,476557.0625,2117803.5
Toluca.,Mexico,Toluca,271519.21875,33486.8359375,105003.8359375,35491.81640625,133155.921875,34639.12109375,153935.078125
Toluca.,Mexico,Toluca,105049296,40241732,143910688,39257540,167599824,41731820,212242128
Toluca.,Mexico,Toluca,8923323,1156222,4134830,1127944.375,4815464.5,1199035.25,6098124
Toluca.,Mexico,Toluca,6838354.5,1703524.75,6092068.5,1661861.625,7094884,1766603.375,8984695
Toluca.,Mexico,Toluca,20249080,3755555.5,13430451,3663706.25,15641237,3894618,19807476
Toluca.,Mexico,Toluca,21464966,4853976.5,17358574,4735263,20215968,5033712,25600744
Toluca.,Mexico,Toluca,21464966,4853976.5,17358574,4735263,20215968,5033712,25600744
Toluca.,Mexico,Toluca,6838354.5,1703524.75,6092068.5,1661861.625,7094884,1766603.375,8984695
