UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Winnipeg.,Canada,Winnipeg,100599544,341548448,996007616,344544608,980632128,390926304,2712389888
Winnipeg.,Canada,Winnipeg,117379488,265303680,773666240,267630960,761723008,303658784,2106895872
Winnipeg.,Canada,Winnipeg,100599544,341548448,996007616,344544608,980632128,390926304,2712389888
Winnipeg.,Canada,Winnipeg,37844972,102568640,299105856,103468384,294488544,117397040,814543616
Winnipeg.,Canada,Winnipeg,22546792,85508528,249355968,86258624,245506624,97870536,679061696
Winnipeg.,Canada,Winnipeg,58429432,85141048,246686768,85901784,242950032,97349192,667092544
Winnipeg.,Canada,Winnipeg,58429432,85141048,246686768,85901784,242950032,97349192,667092544
Winnipeg.,Canada,Winnipeg,46054728,47949392,138928048,48377816,136823616,54824720,375690464
Winnipeg.,Canada,Winnipeg,46054728,47949392,138928048,48377816,136823616,54824720,375690464
Winnipeg.,Canada,Winnipeg,43491684,56919528,164918032,57428100,162419888,65081060,445972832
Winnipeg.,Canada,Winnipeg,32278358,70446024,204109568,71075464,201017776,80547088,551954880
Winnipeg.,Canada,Winnipeg,35882640,78733984,228123024,79437472,224667488,90023440,616892288
Winnipeg.,Canada,Winnipeg,85141176,110186760,319253952,111171272,314417984,125986136,863329408
Winnipeg.,Canada,Winnipeg,80695896,67739168,196266752,68344416,193293760,77452104,530746304
Winnipeg.,Canada,Winnipeg,60551956,45527628,131911264,45934412,129913112,52055712,356715584
Winnipeg.,Canada,Winnipeg,13616180,25145074,72855072,25369746,71751488,28750558,197015328
Winnipeg.,Canada,Winnipeg,20424270,41615600,120576592,41987436,118750144,47582748,326064288
Winnipeg.,Canada,Winnipeg,7609042,4627215.5,13406845,4668559.5,13203762,5290699,36254908
Winnipeg.,Canada,Winnipeg,7609042,4627215.5,13406845,4668559.5,13203762,5290699,36254908
Winnipeg.,Canada,Winnipeg,4498043.5,2207945,6397277,2227673,6300372.5,2524536.25,17299572
Winnipeg.,Canada,Winnipeg,11493658,2719662.75,7879922,2743963,7760559.5,3109627.75,21308954
Winnipeg.,Canada,Winnipeg,3097013.5,395183.78125,1145001.25,398714.71875,1127657,451848.09375,3096322.5
Winnipeg.,Canada,Winnipeg,2214695.25,56602.953125,164000.796875,57108.6953125,161516.5625,64719.09765625,443492.375
Winnipeg.,Canada,Winnipeg,2446081.25,193722.984375,561290.9375,195453.890625,552788.625,221500.40625,1517847.875
Winnipeg.,Canada,Winnipeg,2346916,908699.9375,2632857.75,916819.1875,2592976,1038996.0625,7119798
Winnipeg.,Canada,Winnipeg,14281098,6902054,19997936,6963723.5,19695014,7891720.5,54078596
Winnipeg.,Canada,Winnipeg,1931183.75,1587930.125,4600851.5,1602118.25,4531159.5,1815619,12441664
Winnipeg.,Canada,Winnipeg,978941.0625,2027560,5925364,2045873.5,5835442,2322717.25,16194118
Winnipeg.,Canada,Winnipeg,521254.34375,96583.3671875,282256.3125,97455.734375,277972.875,110643.265625,771411.125
Winnipeg.,Canada,Winnipeg,458958.09375,52171.46484375,152466.5,52642.69140625,150152.6875,59766.19921875,416693.34375
Winnipeg.,Canada,Winnipeg,259355.8125,60737.88671875,177501.09375,61286.48828125,174807.375,69579.65625,485113.34375
Winnipeg.,Canada,Winnipeg,60551956,45527628,131911264,45934412,129913112,52055712,356715584
Winnipeg.,Canada,Winnipeg,67800568,44051992,127635784,44445600,125702400,50368484,345153792
Winnipeg.,Canada,Winnipeg,325466.125,208600.078125,609615.25,210484.203125,600363.8125,238966.53125,1666088.375
Winnipeg.,Canada,Winnipeg,133491.96875,13602.2001953125,38063.15625,13748.99609375,37668.61328125,15497.994140625,100309.921875
Winnipeg.,Canada,Winnipeg,142391.4375,14545.7724609375,40703.56640625,14702.7509765625,40281.6484375,16573.078125,107268.328125
Winnipeg.,Canada,Winnipeg,79459.5,5896.9345703125,16501.4453125,5960.57470703125,16330.3994140625,6718.81494140625,43487.15625
Winnipeg.,Canada,Winnipeg,87723.2890625,18846.404296875,52738.05859375,19049.79296875,52191.3984375,21473.103515625,138983.484375
Winnipeg.,Canada,Winnipeg,87723.2890625,18846.404296875,52738.05859375,19049.79296875,52191.3984375,21473.103515625,138983.484375
Winnipeg.,Canada,Winnipeg,139848.71875,13486.47265625,37739.31640625,13632.0185546875,37348.125,15366.13671875,99456.4765625
Winnipeg.,Canada,Winnipeg,66110.3046875,1695.617919921875,4744.86279296875,1713.9169921875,4695.6796875,1931.9432373046875,12504.3955078125
Winnipeg.,Canada,Winnipeg,15256.224609375,522.891845703125,1463.212890625,528.534912109375,1448.0458984375,595.76947021484375,3856.084716796875
Winnipeg.,Canada,Winnipeg,6992.4365234375,393.1289978027344,1100.0963134765625,397.37164306640625,1088.6932373046875,447.9209899902344,2899.143798828125
