UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Wuhan.1,China,Wuhan,1819207.125,72691800,114906776,63750372,112111264,80967048,183974784
Wuhan.2,China,Wuhan,24433794,1377140224,2176899584,1207745664,2123938816,1533914112,3485387264
Wuhan.3,China,Wuhan,803353.5625,167570144,264884720,146958240,258440464,186646368,424101248
Wuhan.4,China,Wuhan,547909.3125,181209168,286444448,158919616,279475680,201838064,458620096
Wuhan.5,China,Wuhan,547909.3125,181209168,286444448,158919616,279475680,201838064,458620096
Wuhan.6,China,Wuhan,570121.875,12661572,20014644,11104140,19527716,14102967,32045018
Wuhan.7,China,Wuhan,1123214.125,105130184,166183440,92198688,162140432,117098232,266072736
Wuhan.8,China,Wuhan,1032142.75,22611648,35743120,19830310,34873544,25185762,57227544
Wuhan.9,China,Wuhan,45278044,549987776,869387328,482336768,848236416,612598528,1391957376
Wuhan.10,China,Wuhan,11609755,224088256,354225120,196524368,345607360,249598512,567142272
Wuhan.11,China,Wuhan,1874738.5,16781326,26526902,14717146,25881542,18691716,42471656
Wuhan.12,China,Wuhan,1874738.5,16781326,26526902,14717146,25881542,18691716,42471656
Wuhan.13,China,Wuhan,840374.4375,3381497.25,5345266,2965557.75,5215223.5,3766447.75,8558191
Wuhan.14,China,Wuhan,840374.4375,3381497.25,5345266,2965557.75,5215223.5,3766447.75,8558191
Wuhan.15,China,Wuhan,6825914,21626294,34185568,18966160,33353882,24088236,54733776
Wuhan.16,China,Wuhan,784102.6875,3297494.25,5212484,2891887.25,5085672,3672881.5,8345596.5
Wuhan.17,China,Wuhan,784102.6875,3297494.25,5212484,2891887.25,5085672,3672881.5,8345596.5
Wuhan.18,China,Wuhan,784102.6875,3297494.25,5212484,2891887.25,5085672,3672881.5,8345596.5
Wuhan.19,China,Wuhan,734864.875,3947769.25,6240401,3462175.5,6088581,4397184,9991372
Wuhan.20,China,Wuhan,734864.875,3947769.25,6240401,3462175.5,6088581,4397184,9991372
Wuhan.21,China,Wuhan,346145.4375,1890870.75,2988977,1658285,2916259.5,2106128,4785587
Wuhan.22,China,Wuhan,287282.1875,831506.9375,1314397.125,729227.75,1282419.75,926165.875,2104453
Wuhan.23,China,Wuhan,287282.1875,831506.9375,1314397.125,729227.75,1282419.75,926165.875,2104453
Wuhan.24,China,Wuhan,251742.125,392009.8125,619665.9375,343790.78125,604590.375,436636.28125,992133.8125
Wuhan.25,China,Wuhan,66637.625,153919.375,243306.65625,134986.578125,237387.359375,171441.59375,389553.0625
Wuhan.26,China,Wuhan,322822.25,872683.5625,1379486.625,765339.4375,1345925.625,972030,2208666.5
Wuhan.27,China,Wuhan,322822.25,872683.5625,1379486.625,765339.4375,1345925.625,972030,2208666.5
Wuhan.28,China,Wuhan,322822.25,872683.5625,1379486.625,765339.4375,1345925.625,972030,2208666.5
Wuhan.29,China,Wuhan,346145.4375,1890870.75,2988977,1658285,2916259.5,2106128,4785587
Wuhan.30,China,Wuhan,6825914,21626294,34185568,18966160,33353882,24088236,54733776
Wuhan.31,China,Wuhan,570121.875,12661572,20014644,11104140,19527716,14102967,32045018
Wuhan.32,China,Wuhan,218053.109375,2226154,3518969,1952326.875,3433357.75,2479579.75,5634146
Wuhan.33,China,Wuhan,547909.3125,181209168,286444448,158919616,279475680,201838064,458620096
Wuhan.34,China,Wuhan,803353.5625,167570144,264884720,146958240,258440464,186646368,424101248
Wuhan.35,China,Wuhan,803353.5625,167570144,264884720,146958240,258440464,186646368,424101248
Wuhan.36,China,Wuhan,803353.5625,167570144,264884720,146958240,258440464,186646368,424101248
Wuhan.37,China,Wuhan,4384755.5,156412112,247246800,137172704,241231648,174218112,395861536
Wuhan.38,China,Wuhan,4384755.5,156412112,247246800,137172704,241231648,174218112,395861536
Wuhan.39,China,Wuhan,4384755.5,156412112,247246800,137172704,241231648,174218112,395861536
Wuhan.40,China,Wuhan,4384755.5,156412112,247246800,137172704,241231648,174218112,395861536
Wuhan.41,China,Wuhan,6684494,160624144,253904896,140866640,247727760,178909632,406521696
