UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Brussels.1,Belgium,Brussels,4720807.5,8056452.5,21338818,7910903.5,22080514,8702838,49920956
Brussels.2,Belgium,Brussels,23624876,49420724,130898776,48527876,135448560,53385844,306230240
Brussels.3,Belgium,Brussels,12360325,19446974,51424224,19094652,53202164,21012126,120435216
Brussels.4,Belgium,Brussels,267296.875,6552.55029296875,17327.109375,6433.83740234375,17926.17578125,7079.919921875,40579.98046875
Brussels.5,Belgium,Brussels,142270.921875,178337.96875,469322.03125,175057.671875,485102.5,192893.234375,1105678.875
Brussels.6,Belgium,Brussels,2560876.5,4612557.5,12138609,4527715.5,12546757,4989017,28597426
Brussels.7,Belgium,Brussels,69152288,72416192,192210368,71055904,198665904,78115584,448852352
Brussels.8,Belgium,Brussels,250892160,190481920,500048192,187102672,518358528,205315056,1154780800
Brussels.9,Belgium,Brussels,24568242,31229962,81932608,30678902,84954864,33658852,188992976
Brussels.10,Belgium,Brussels,277595.09375,16065.986328125,42149.52734375,15782.4970703125,43704.296875,17315.5078125,97225.8125
Brussels.11,Belgium,Brussels,7106360.5,1023974.0625,2706234,1005331.1875,2799028.25,1106922.125,6355412.5
Brussels.12,Belgium,Brussels,3905983.25,3888735.75,10233768,3817207.75,10577868,4206119.5,24109802
Brussels.13,Belgium,Brussels,9273477,1367683.125,3599255.25,1342526.5,3720276.5,1479308.25,8479509
Brussels.14,Belgium,Brussels,103865752,32010162,84032248,31442284,87109264,34502848,194058960
Brussels.15,Belgium,Brussels,526756032,743766656,1952516864,730571840,2024012544,801684992,4509024256
Brussels.16,Belgium,Brussels,549938432,1078679168,2829942272,1059645568,2934330880,1162572672,6527794176
Brussels.17,Belgium,Brussels,123223856,418061792,1108942080,410248640,1146485120,450923968,2586644480
Brussels.18,Belgium,Brussels,13761478,22164286,58577404,21760752,60585972,23959726,137565184
Brussels.19,Belgium,Brussels,2039216.5,3066952.5,8105567.5,3011114,8383500,3315393.75,19035392
Brussels.20,Belgium,Brussels,7915436.5,10123503,26869606,9939786,27798096,10937860,62973560
Brussels.21,Belgium,Brussels,12447987,17561666,46609080,17237664,48198336,18958598,109019848
Brussels.22,Belgium,Brussels,60976020,144003040,382187552,141346272,395219232,155457696,893946560
Brussels.23,Belgium,Brussels,11794563,10323091,27095298,10143738,28103186,11135921,62668640
Brussels.24,Belgium,Brussels,47984100,130117824,345305952,127721320,357103296,140471520,807605760
Brussels.25,Belgium,Brussels,569802.1875,415772.9375,1100476,408360.9375,1139609.625,448921.53125,2564096
Brussels.26,Belgium,Brussels,2992719,1893179.25,5024543,1858251.25,5195867.5,2043771,11752536
Brussels.27,Belgium,Brussels,5374679,881972.1875,2340775.25,865700.3125,2420590.25,952128.125,5475134.5
Brussels.28,Belgium,Brussels,5826640.5,3259972.25,8651295,3199930.25,8946866,3519373.25,20233752
