UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Cape_Town.1,South Africa,Cape_Town,9816.86328125,730.912109375,2256.570068359375,711.60943603515625,2288.953125,767.13970947265625,3678.52099609375
Cape_Town.2,South Africa,Cape_Town,8550.1708984375,121187.65625,341272.25,116444.0234375,382888.84375,128011.890625,570672.9375
Cape_Town.3,South Africa,Cape_Town,18930712,31679394,99126848,29831410,108206000,33682400,169846080
Cape_Town.4,South Africa,Cape_Town,14195184,226774384,719534400,212950176,782758400,241298592,1236532096
Cape_Town.5,South Africa,Cape_Town,11445829,87129920,271517024,82082792,296602848,92587392,464473888
Cape_Town.6,South Africa,Cape_Town,202670.71875,68115.875,214846.9375,64058.87109375,234189.21875,72509.8359375,369202.53125
Cape_Town.7,South Africa,Cape_Town,53207716,41605608,126275832,39412196,138887792,44156444,214885216
Cape_Town.8,South Africa,Cape_Town,226995648,385557856,1224787968,361938464,1331816064,410188704,2104617344
Cape_Town.9,South Africa,Cape_Town,247954.96875,3720935,11795430,3495245,12837655,3960483.25,20278058
Cape_Town.10,South Africa,Cape_Town,830316.625,227667,723082.5,213848.859375,787001.125,242523.296875,1245032.5
Cape_Town.11,South Africa,Cape_Town,0,0,0,0,0,0,0
Cape_Town.12,South Africa,Cape_Town,17733.6875,7747.8515625,23920.208984375,7543.23828125,24263.4765625,8131.873046875,38993.2421875
Cape_Town.13,South Africa,Cape_Town,15833.650390625,2246.21875,7133.541015625,2110.09228515625,7765.50634765625,2393.300537109375,12287.69921875
Cape_Town.14,South Africa,Cape_Town,153903.078125,271012.4375,860839.625,254474,936425.8125,288475.625,1480462.375
Cape_Town.15,South Africa,Cape_Town,30400.609375,25573.978515625,80309.140625,24088.689453125,87955.1953125,27279.177734375,138576.75
Cape_Town.16,South Africa,Cape_Town,5066.76806640625,3428.400146484375,7642.0107421875,3419.992919921875,9867.7353515625,3666.864013671875,13169.9169921875
Cape_Town.17,South Africa,Cape_Town,13933.6123046875,7237.095703125,12077.21484375,7467.44580078125,19166.626953125,7859.20166015625,22182.01953125
Cape_Town.18,South Africa,Cape_Town,83601.671875,33646.53125,56247.76953125,34725.02734375,89056.9296875,36527.72265625,103094.3125
Cape_Town.19,South Africa,Cape_Town,2850.05712890625,1573.1385498046875,2406.123291015625,1658.05517578125,4022.55712890625,1726.8499755859375,4285.490234375
Cape_Town.20,South Africa,Cape_Town,21014420,206894736,656036032,194355488,714366080,220286992,1128744320
