UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Cincinnati.1,USA,Cincinnati,267071.21875,228539.390625,341037.0625,216958.15625,270103.96875,260889.609375,1035359.4375
Cincinnati.2,USA,Cincinnati,3418511.5,214242.3125,443942.59375,204144.890625,358034.125,237448.65625,1117902.625
Cincinnati.3,USA,Cincinnati,3884.672119140625,0,0,0,0,0,0
Cincinnati.4,USA,Cincinnati,0,1405.0772705078125,2429.066650390625,1349.4464111328125,1996.6334228515625,1455.8331298828125,3812.995361328125
Cincinnati.5,USA,Cincinnati,82842.5625,29430.9296875,51073.27734375,27986.728515625,40949.859375,33035.09765625,136939.265625
Cincinnati.6,USA,Cincinnati,5827.00830078125,0,0,0,0,0,0
Cincinnati.7,USA,Cincinnati,10682.8486328125,4719.96728515625,9172.466796875,4494.15869140625,7381.337890625,5247.18115234375,23409.537109375
Cincinnati.8,USA,Cincinnati,40789.05859375,1791.9212646484375,3097.833740234375,1720.9739990234375,2546.34375,1856.6510009765625,4862.78369140625
Cincinnati.9,USA,Cincinnati,67981.765625,37097.1328125,55343.87890625,35208.26171875,43814.26953125,42336.49609375,168173.96875
Cincinnati.10,USA,Cincinnati,41931.93359375,5401.0205078125,7739.22314453125,5126.875,6130.33544921875,6166.07666015625,23412.9140625
Cincinnati.11,USA,Cincinnati,5232.162109375,12065.7099609375,17880.96484375,11450.5732421875,14157.9091796875,13781.2568359375,54463.39453125
Cincinnati.12,USA,Cincinnati,109875.3984375,30436.486328125,66500.7734375,29020.111328125,53752.7578125,33442.6953125,160586.875
Cincinnati.13,USA,Cincinnati,1281941.75,651113.875,1543568.25,621472.75,1250878.75,708011.5625,3571736.25
Cincinnati.14,USA,Cincinnati,22418442,38933824,92563912,37145132,74943176,42315312,214329184
Cincinnati.15,USA,Cincinnati,8041271.5,51911900,122135504,49543832,98965784,56358044,279746368
Cincinnati.16,USA,Cincinnati,13103.7294921875,23653.001953125,56186.97265625,22566.1171875,45485.45703125,25797.876953125,132404.078125
Cincinnati.17,USA,Cincinnati,7862.23779296875,0,0,0,0,0,0
Cincinnati.18,USA,Cincinnati,503183.21875,55271.72265625,81594.6796875,52442.65234375,64598.20703125,63180.08984375,249501.9375
Cincinnati.19,USA,Cincinnati,52321.6171875,78486.9375,116260.203125,74479.8984375,92037.3046875,89612.71875,354159.75
Cincinnati.20,USA,Cincinnati,27904.86328125,1552.82421875,2666.261474609375,1491.2108154296875,2191.104248046875,1610.30517578125,4197.97216796875
Cincinnati.21,USA,Cincinnati,14896320,11027144,26185324,10521013,21201332,12027898,61709812
Cincinnati.22,USA,Cincinnati,53288.5,99856.625,237911.28125,95238.5078125,192465.703125,108887.3359375,561486.8125
Cincinnati.23,USA,Cincinnati,33580492,57415600,136831632,54759040,110690880,62609600,323019936
Cincinnati.24,USA,Cincinnati,624611.125,2078336.625,4932718.5,1983020.625,3993973.75,2266891,11618243
Cincinnati.25,USA,Cincinnati,134531.625,44847.30078125,106822.5078125,42792.26171875,86501.9921875,48952.06640625,252832.984375
Cincinnati.26,USA,Cincinnati,209659.671875,25045.17578125,37001.11328125,23768.052734375,29298.78125,28641.962890625,113263.2890625
Cincinnati.27,USA,Cincinnati,117723.640625,29902.923828125,44294.75,28373.33203125,35104.62109375,34156.109375,134959.625
Cincinnati.28,USA,Cincinnati,266840.25,34353.22265625,50861.98828125,32584.58203125,40308.0390625,39231.1640625,154953.15625
Cincinnati.29,USA,Cincinnati,14850.8935546875,10326.5751953125,24023.38671875,9853.0439453125,19448.96484375,11308.482421875,57521.1875
Cincinnati.30,USA,Cincinnati,557345.3125,265569.21875,630159.0625,253349.390625,510066.5,289538.28125,1482062.625
Cincinnati.31,USA,Cincinnati,379134.5625,30065076,71573920,28683476,57937496,32801918,169087072
Cincinnati.32,USA,Cincinnati,66776604,21591224,51419488,20598006,41619912,23556158,121498264
Cincinnati.33,USA,Cincinnati,297891.4375,34505.98828125,76147.4609375,32893.46875,61515.7734375,38002.015625,186794.453125
Cincinnati.34,USA,Cincinnati,152003.265625,107192.3125,158063.671875,101692.4453125,125092.8984375,122486.0078125,482647.375
Cincinnati.35,USA,Cincinnati,1744.053955078125,28773.5703125,40764.53515625,27305.716796875,32325.67578125,32779.6953125,122229.09375
Cincinnati.36,USA,Cincinnati,440285.3125,136293.375,276308.375,129798.546875,222343.046875,151580.15625,709511.25
Cincinnati.37,USA,Cincinnati,490079.5,71986.6796875,169317.453125,68678.5390625,137063.890625,78504.671875,397639.96875
Cincinnati.38,USA,Cincinnati,29701.787109375,4567.740234375,7839.8759765625,4386.3798828125,6442.080078125,4742.41455078125,12412.2626953125
Cincinnati.39,USA,Cincinnati,117933.5625,1308548.125,3115499.25,1248605.5,2523096.75,1428426.75,7373138
Cincinnati.40,USA,Cincinnati,209659.671875,40438.11328125,94542.3515625,38574.390625,76512,44245.5234375,225865.734375
