UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Ghent.1,Belgium,Ghent,7081211.5,6379639,16596138,6261278.5,17143926,6909478.5,39298984
Ghent.2,Belgium,Ghent,3747186,4418713.5,11494941,4336733.5,11874354,4785694,27219554
Ghent.3,Belgium,Ghent,528126.875,150895.984375,392544.21875,148096.4375,405500.9375,163428.125,929528.875
Ghent.4,Belgium,Ghent,8978157,24479594,63681768,24025426,65783712,26512662,150795856
Ghent.5,Belgium,Ghent,8773373,1216927.25,3199416.25,1194627.25,3307016,1316893,7550758
Ghent.6,Belgium,Ghent,7799033,4487833,11664568,4404279,12042216,4863928,27735452
Ghent.7,Belgium,Ghent,8610983,3119178.5,8264107,3062508.25,8552114,3366582.25,19269286
Ghent.8,Belgium,Ghent,3503601,416183.3125,1102656.875,408621.96875,1141084.875,449193.71875,2571047.5
Ghent.9,Belgium,Ghent,39926392,64109104,169853856,62944356,175773328,69194048,396045568
Ghent.10,Belgium,Ghent,9901481,23036254,61033396,22617722,63160436,24863416,142310592
Ghent.11,Belgium,Ghent,5640539,7414866,19636004,7281255.5,20326928,8004196,45766448
Ghent.12,Belgium,Ghent,24720650,17677720,46814024,17359180,48461252,19082734,109111392
Ghent.13,Belgium,Ghent,6830441,6303952,16694085,6190359,17281494,6804986.5,38909600
Ghent.14,Belgium,Ghent,5658502.5,3493069.5,9079025,3428035.75,9372965,3785800,21587670
Ghent.15,Belgium,Ghent,11615199,5732706,14900185,5625974.5,15382587,6213125,35428944
Ghent.16,Belgium,Ghent,2759193.5,1453051.625,3849787.25,1426652.25,3983954,1568303.375,8976488
Ghent.17,Belgium,Ghent,48469832,17284634,45794772,16970602,47390740,18655600,106778944
Ghent.18,Belgium,Ghent,151557328,255939136,678097856,251289152,701729920,276239456,1581110144
Ghent.19,Belgium,Ghent,166704144,369791200,979743232,363072736,1013887680,399121920,2284451840
Ghent.20,Belgium,Ghent,47396336,54136720,143364528,53161216,148409040,58439480,334145632
Ghent.21,Belgium,Ghent,23746310,16657027,44111036,16356879,45663156,17980920,102811424
Ghent.22,Belgium,Ghent,1086432.5,372625.375,986784.1875,365910.9375,1021505.875,402241.4375,2299939
Ghent.23,Belgium,Ghent,6809603.5,985410.9375,2609559,967654.5625,2701380.75,1063730.875,6082208
Ghent.24,Belgium,Ghent,260830.015625,85513.125,222261.75,83921.046875,229457.625,92679.3984375,528483.375
Ghent.25,Belgium,Ghent,1355166.375,437067.0625,1136004.625,428929.8125,1172783.375,473694.71875,2701137.5
Ghent.26,Belgium,Ghent,3645871.75,1040080,2755639.5,1021183.5,2851674.75,1122575.875,6425281
Ghent.27,Belgium,Ghent,76638752,101131464,267942736,99294088,277280672,109152912,624757888
Ghent.28,Belgium,Ghent,181524752,158665408,420376064,155782736,435026304,171250272,980184128
Ghent.29,Belgium,Ghent,6326026,13753217,36438456,13503345,37708352,14844080,84962976
Ghent.30,Belgium,Ghent,46855272,39865296,105571024,39146956,109285712,43033768,246058784
Ghent.31,Belgium,Ghent,16762101,12652273,33505668,12424288,34684620,13657868,78093056
Ghent.32,Belgium,Ghent,5374679,8641173,22883500,8485466,23688694,9327969,53335528
Ghent.33,Belgium,Ghent,592795.5,458781.46875,1214942.25,450514.59375,1257692,495245.21875,2831716.25
Ghent.34,Belgium,Ghent,3334025.5,3523576.75,9158318,3457975.25,9454825,3818863.75,21776212
Ghent.35,Belgium,Ghent,7587782,3733910.75,9892809,3666071.75,10237578,4030073,23066906
Ghent.36,Belgium,Ghent,12830250,6361438.5,16854312,6245862,17441692,6866008.5,39298928
Ghent.37,Belgium,Ghent,63527556,129345072,342693280,126995096,354636288,139604320,799052480
Ghent.38,Belgium,Ghent,1425583.375,1651373.625,4375232,1621371.125,4527710.5,1782355.625,10201658
Ghent.39,Belgium,Ghent,26580950,39368472,104255344,38659084,107923736,42497456,242992256
Ghent.40,Belgium,Ghent,1730244.25,184158.75,487688.09375,180840.359375,504848.1875,198795.59375,1136674.875
Ghent.41,Belgium,Ghent,31299602,55918484,148082992,54910876,153293520,60362860,345143200
Ghent.42,Belgium,Ghent,155204.640625,19110.599609375,49275.5,18761.701171875,50920.12109375,20711.23046875,116644.40625
Ghent.43,Belgium,Ghent,1282593.875,1093612.5,2819812.25,1073646.625,2913926.5,1185209.375,6675027
Ghent.44,Belgium,Ghent,1526178.875,251167.890625,647620.875,246582.34375,669235.9375,272204.75,1533040.75
Ghent.45,Belgium,Ghent,7845738,7341946,18930754,7207905,19562590,7956879,44812668
Ghent.46,Belgium,Ghent,6274291,2611442.75,6788453,2565155.25,7037864,2816178,15717451
Ghent.47,Belgium,Ghent,3201095.5,10783931,28032862,10592788,29062800,11629384,64905088
