UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Hiroshima.,Japan,Hiroshima,3885.43212890625,43519.21875,19544.4140625,50679.65625,25053.74609375,46936.046875,43527.55859375
Hiroshima.,Japan,Hiroshima,23312.59375,54917.70703125,24662.990234375,63941.03125,31619.35546875,59185.48046875,54809.87109375
Hiroshima.,Japan,Hiroshima,90006.078125,3079.5361328125,5859.388671875,2847.91259765625,4678.88623046875,3282.73193359375,12597.609375
Hiroshima.,Japan,Hiroshima,12443744,1076406.375,482144.03125,1254078.375,619489.1875,1161031.875,1074506
Hiroshima.,Japan,Hiroshima,34968.890625,124535.2734375,194488.09375,120902.6484375,160147.796875,133407.8125,423124.5625
Hiroshima.,Japan,Hiroshima,12951.4404296875,26463.001953125,41327.5625,25691.091796875,34030.453125,28348.369140625,89911.453125
Hiroshima.,Japan,Hiroshima,8572.0078125,497662.125,351600.8125,522925,323938.6875,544991.375,888370.9375
Hiroshima.,Japan,Hiroshima,10361.15234375,0,0,0,0,0,0
Hiroshima.,Japan,Hiroshima,235716.21875,391843.90625,615822.8125,388365.0625,522487.34375,416239.625,1293924.875
Hiroshima.,Japan,Hiroshima,108792.1015625,549436.9375,963631.0625,514499.25,772758.25,588128.9375,2099157.25
Hiroshima.,Japan,Hiroshima,9066.0078125,2432.24462890625,5721.0390625,2392.116943359375,4771.68701171875,2560.75048828125,9305.2958984375
Hiroshima.,Japan,Hiroshima,8788847,29648640,52028480,27685538,41582712,31769602,113764216
Hiroshima.,Japan,Hiroshima,1942.716064453125,15681.052734375,9823.408203125,16823.98046875,9118.0791015625,17277.166015625,25264.50390625
Hiroshima.,Japan,Hiroshima,791333,397121.84375,461536.34375,399628.84375,385434.59375,431782.1875,1059604
Hiroshima.,Japan,Hiroshima,75765.9296875,0,0,0,0,0,0
Hiroshima.,Japan,Hiroshima,201385840,542695616,852901824,537877568,723634048,576483200,1792059136
Hiroshima.,Japan,Hiroshima,229861520,1456177920,2288532736,1443249792,1941677568,1546837760,4808508416
Hiroshima.,Japan,Hiroshima,1161744.25,1258634.375,2207458.5,1178600.375,1770212.625,1347269,4808689.5
Hiroshima.,Japan,Hiroshima,14246.583984375,0,0,0,0,0,0
Hiroshima.,Japan,Hiroshima,34968.890625,94653.96875,166102.140625,88386.71875,132753.78125,101425.1953125,363194.90625
Hiroshima.,Japan,Hiroshima,2590.2880859375,90180.25,157137.015625,84548.78125,126064.578125,96593.4375,342935.375
Hiroshima.,Japan,Hiroshima,2590.2880859375,0,0,0,0,0,0
Hiroshima.,Japan,Hiroshima,1942.716064453125,0,0,0,0,0,0
Hiroshima.,Japan,Hiroshima,20722.3046875,213677.96875,353627.4375,202256.625,284320.78125,229443.984375,777237.4375
Hiroshima.,Japan,Hiroshima,4533004,1515999.25,2662188.25,1411155,2119516.25,1625512.125,5841080
Hiroshima.,Japan,Hiroshima,366887744,597076480,1048503168,555783488,834771776,640208192,2300510208
Hiroshima.,Japan,Hiroshima,14790545,4656724.5,8173999.5,4343407,6523621,4990579,17892666
Hiroshima.,Japan,Hiroshima,5861822,1014713.8125,1781729.75,945021.1875,1419383.25,1088311.75,3909599.75
Hiroshima.,Japan,Hiroshima,277808.40625,7459.6484375,13098.349609375,6947.3046875,10434.5673828125,8000.7021484375,28741.341796875
Hiroshima.,Japan,Hiroshima,1032877.375,741552.6875,1302335.125,690116.5,1036510.1875,795620.3125,2860867.5
Hiroshima.,Japan,Hiroshima,1942.716064453125,0,0,0,0,0,0
Hiroshima.,Japan,Hiroshima,38854.3203125,79185.9921875,48758.21484375,85368.25,46012.54296875,87069.9921875,124205.1171875
Hiroshima.,Japan,Hiroshima,77708.640625,125335.8984375,185683.78125,121904.1328125,152070.046875,134939.53125,409858.125
Hiroshima.,Japan,Hiroshima,61519.34375,3220.580810546875,4771.255859375,3132.3994140625,3907.531005859375,3467.352294921875,10531.5498046875
Hiroshima.,Japan,Hiroshima,40797.0390625,74198.1953125,102421.3359375,72866.6328125,84159.0078125,80170.6640625,228884.75
Hiroshima.,Japan,Hiroshima,58281.48046875,2324534.5,1429802.25,2506828,1351076.75,2556100.25,3642432
Hiroshima.,Japan,Hiroshima,2590.2880859375,0,0,0,0,0,0
Hiroshima.,Japan,Hiroshima,54396.05078125,18500.1640625,11449.5302734375,19912.962890625,10742.03515625,20370.283203125,29292.177734375
Hiroshima.,Japan,Hiroshima,29140.740234375,212469.71875,133839.46875,227531.953125,123516.6015625,234080.5,344564.625
Hiroshima.,Japan,Hiroshima,16189.30078125,45529.2265625,28679.884765625,48756.84375,26467.845703125,50160.10546875,73835.28125
Hiroshima.,Japan,Hiroshima,16189.30078125,4359.9931640625,2755.111328125,4664.57568359375,2535.9619140625,4806.17822265625,7108.3984375
Hiroshima.,Japan,Hiroshima,116562.9609375,199724.28125,126871.7265625,213322.078125,116195.578125,220218.390625,327599.5625
