UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Kunming.1,China,Kunming,27165.15625,41063.06640625,65077.19921875,36006.21875,63446.41796875,45737.6953125,104194.6015625
Kunming.2,China,Kunming,76062.4375,5847805,9267666,5127657.5,9035426,6513520,14838388
Kunming.3,China,Kunming,95221.015625,110870.28125,175708.4375,97216.7890625,171305.328125,123491.7734375,281325.40625
Kunming.4,China,Kunming,1401150.125,24332184,38561916,21335716,37595588,27102164,61741184
Kunming.5,China,Kunming,573613.6875,40418416,64055560,35440956,62450380,45019660,102558864
Kunming.6,China,Kunming,77206.234375,1478244.875,2342739,1296201.5,2284032,1646528.625,3750941.25
Kunming.7,China,Kunming,72059.1484375,98472.4453125,156060.21875,86345.7265625,152149.484375,109682.5625,249866.796875
Kunming.8,China,Kunming,986524.0625,3770593.75,5975679,3306251.5,5825933.5,4199839,9567613
Kunming.9,China,Kunming,1152374.5,1200874.375,1903159,1052988.625,1855467.5,1337582.125,3047133.25
Kunming.10,China,Kunming,14583.3994140625,36099932,57211576,31654286,55777904,40209556,91601016
Kunming.11,China,Kunming,6037527.5,189549776,300400576,166207024,292872800,211128160,480969024
Kunming.12,China,Kunming,3306714.25,43942048,69639848,38530656,67894736,48944420,111499824
Kunming.13,China,Kunming,617649.875,6871088.5,10889378,6024925.5,10616499,7653294.5,17434898
Kunming.14,China,Kunming,23161.869140625,303852.96875,481549.53125,266433.96875,469482.3125,338443.65625,771005.25
Kunming.15,China,Kunming,65196.375,67539.1796875,107036.8359375,59221.84375,104354.5859375,75227.859375,171375.859375
Kunming.16,China,Kunming,80065.71875,35120.375,55659.15625,30795.357421875,54264.38671875,39118.484375,89115.4453125
Kunming.17,China,Kunming,356382816,300734944,476608000,263699920,464664608,334970656,763093440
Kunming.18,China,Kunming,45541384,672534016,1065839296,589712576,1039130240,749095424,1706507008
Kunming.19,China,Kunming,162061024,2552462080,4045169920,2238130432,3943801344,2843034624,6476690432
Kunming.20,China,Kunming,29513368,165603072,262449536,145209328,255872784,184455360,420205920
Kunming.21,China,Kunming,4861133,38792688,61479080,34015432,59938464,43208856,98433680
Kunming.22,China,Kunming,353147.03125,5026960.5,7966782,4407899,7767141.5,5599231,12755554
Kunming.23,China,Kunming,11335019,3583851.75,5679727.5,3142506.25,5537398.5,3991838,9093768
Kunming.24,China,Kunming,75490.5390625,54031.34375,85629.46875,47377.47265625,83483.671875,60182.28125,137100.6875
Kunming.25,China,Kunming,447796.15625,111026.6953125,175956.3125,97353.9375,171547,123665.9921875,281722.3125
Kunming.26,China,Kunming,226085584,853809728,1353127040,748664448,1319218816,951007616,2166481152
Kunming.27,China,Kunming,11403360,91091960,144363536,79874136,140745904,101461880,231139344
Kunming.28,China,Kunming,683990,397755.28125,630366.875,348772.375,614570.375,443035.8125,1009275.5
Kunming.29,China,Kunming,13725.552734375,8104.7021484375,12844.419921875,7106.62158203125,12522.5498046875,9027.3427734375,20565.1015625
Kunming.30,China,Kunming,800657.1875,1468071.375,2326615.75,1287280.875,2268312.75,1635196.875,3725126.5
Kunming.31,China,Kunming,13725.552734375,18910.970703125,29970.314453125,16582.1171875,29219.283203125,21063.80078125,47985.23828125
Kunming.32,China,Kunming,5147.08203125,5403.134765625,8562.947265625,4737.74755859375,8348.3671875,6018.228515625,13710.068359375
Kunming.33,China,Kunming,278800.28125,51329.77734375,81347.9921875,45008.6015625,79309.484375,57173.171875,130245.6484375
Kunming.34,China,Kunming,4911460,9565120,15158906,8387191.5,14779037,10654015,24270808
Kunming.35,China,Kunming,7395785,46101916,73062816,40424540,71231928,51350168,116980312
Kunming.36,China,Kunming,2341922.25,4505238,7139950.5,3950425.5,6961029.5,5018115.5,11431720
Kunming.37,China,Kunming,460377.90625,1393563.125,2208534.25,1221948.125,2153190.25,1552206.625,3536067
Kunming.38,China,Kunming,10294.1640625,8104.7021484375,12844.419921875,7106.62158203125,12522.5498046875,9027.3427734375,20565.1015625
Kunming.39,China,Kunming,14869.3486328125,2701.5673828125,4281.4736328125,2368.873779296875,4174.18359375,3009.1142578125,6855.0341796875
Kunming.40,China,Kunming,150123.234375,102659.5546875,162695.984375,90017.203125,158618.96875,114346.34375,260491.296875
Kunming.41,China,Kunming,405761.625,278261.4375,440991.78125,243994,429940.90625,309938.78125,706068.5625
Kunming.42,China,Kunming,336847.9375,51099.89453125,80983.671875,44807.02734375,78954.2890625,56917.1171875,129662.328125
Kunming.43,China,Kunming,12867.705078125,5403.134765625,8562.947265625,4737.74755859375,8348.3671875,6018.228515625,13710.068359375
Kunming.44,China,Kunming,1715.694091796875,0,0,0,0,0,0
Kunming.45,China,Kunming,52042.71875,118868.9609375,188384.84375,104230.4453125,183664.078125,132401.03125,301621.5
Kunming.46,China,Kunming,2287.592041015625,2701.5673828125,4281.4736328125,2368.873779296875,4174.18359375,3009.1142578125,6855.0341796875
Kunming.47,China,Kunming,2287.592041015625,5403.134765625,8562.947265625,4737.74755859375,8348.3671875,6018.228515625,13710.068359375
