UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Raleigh.1,USA,Raleigh,160031.03125,198631.96875,439304.25,189349.015625,354889.625,218331.546875,1068367.25
Raleigh.2,USA,Raleigh,1070976.875,1186997.5,2369095.75,1129948.875,1904979.625,1319032.125,6069483
Raleigh.3,USA,Raleigh,861705.5625,889752.375,1327471,844251.0625,1050630,1013823.375,4004306
Raleigh.4,USA,Raleigh,2915437.25,858199.625,1280395.625,814311.875,1013372.0625,977870.75,3862303.75
Raleigh.5,USA,Raleigh,410336,47987092,112854552,45784700,91376400,52330196,265171840
Raleigh.6,USA,Raleigh,5816512.5,1267091.875,2979907.5,1208938.125,2412780.25,1381771,7001823
Raleigh.7,USA,Raleigh,3046744.75,949008.75,2260395.75,905732.0625,1831671.375,1031890.125,5237461.5
Raleigh.8,USA,Raleigh,34878.55859375,5482.66650390625,9474.794921875,5265.80615234375,7788.865234375,5676.13818359375,14803.0703125
Raleigh.9,USA,Raleigh,2217866,9215370,21484728,8791319,17389936,10065390,50839168
Raleigh.10,USA,Raleigh,787845.125,211947.84375,457207,201995.40625,368956.6875,233632.515625,1126023.25
Raleigh.11,USA,Raleigh,57447.0390625,54180.5703125,89270.5390625,51471.328125,71142.640625,61155.578125,250815.90625
Raleigh.12,USA,Raleigh,28321390,50551724,118885976,48231632,96259944,55126940,279343744
Raleigh.13,USA,Raleigh,18369716,2499541.75,5878344.5,2384824.25,4759595,2725764.25,13812216
Raleigh.14,USA,Raleigh,57447.0390625,2464655,5870436,2352261.75,4757003,2679904.5,13602124
Raleigh.15,USA,Raleigh,11891537,4621886.5,10775473,4409207.5,8721766,5048206,25497926
Raleigh.16,USA,Raleigh,689364.4375,307143.15625,716074.0625,293009.78125,579596.875,335473.84375,1694441
Raleigh.17,USA,Raleigh,14361.759765625,0,0,0,0,0,0
Raleigh.18,USA,Raleigh,11284.2392578125,19233046,30966170,18268052,24648186,21801736,89341480
Raleigh.19,USA,Raleigh,279028.46875,7360.73828125,14241.00390625,7008.30908203125,11454.0546875,8179.45458984375,36341.76953125
Raleigh.20,USA,Raleigh,37716032,22432422,53685508,21403268,43472732,24395744,124873104
Raleigh.21,USA,Raleigh,21052288,7419962,17757530,7079549,14379456,8069369.5,41304216
Raleigh.22,USA,Raleigh,31603052,20713396,49627568,19761222,40177372,22524808,115510720
Raleigh.23,USA,Raleigh,44593264,36819364,88318696,35128848,71508112,40053040,205946896
Raleigh.24,USA,Raleigh,53343.6796875,345143.40625,827896.375,329296.53125,670314.5625,375455.8125,1930538.625
Raleigh.25,USA,Raleigh,5964233.5,23324160,53127292,22245018,42967560,25550408,127280880
Raleigh.26,USA,Raleigh,426749.4375,93241.859375,219330.125,88986.6328125,177679.40625,101795.3359375,517894.4375
Raleigh.27,USA,Raleigh,6965453.5,11593475,27811200,11060974,22517362,12611481,64857044
Raleigh.28,USA,Raleigh,22260728,25330906,60709340,24173694,49183236,27568870,141687552
Raleigh.29,USA,Raleigh,459576.3125,54301.9296875,93841.1328125,52154.08203125,77143.1953125,56218.1328125,146613.9375
Raleigh.30,USA,Raleigh,50215892,46789348,111940632,44647728,90662008,50890060,260441008
Raleigh.31,USA,Raleigh,23912330,13307501,31755690,12700327,25730210,14472700,73735400
Raleigh.32,USA,Raleigh,689364.4375,21340214,50924156,20366536,41261556,23208754,118243784
Raleigh.33,USA,Raleigh,10258.3994140625,163566.71875,362556.375,155967.75,293019.28125,179733.9375,879523.6875
Raleigh.34,USA,Raleigh,21284128,17386724,41669908,16592430,33758572,18922824,97252040
Raleigh.35,USA,Raleigh,15387.599609375,5096.0224609375,8806.62109375,4894.455078125,7239.58544921875,5275.8505859375,13759.140625
Raleigh.36,USA,Raleigh,1117139.75,259709.796875,621339.75,247822.46875,503230.21875,282471.3125,1445608.5
Raleigh.37,USA,Raleigh,47188.63671875,5690.97314453125,9834.7763671875,5465.87353515625,8084.79296875,5891.79541015625,15365.4931640625
Raleigh.38,USA,Raleigh,17230008,103840016,247793456,99102168,200775888,112932200,575366144
Raleigh.39,USA,Raleigh,541643.5,88942.0546875,197145.875,84810,159333.96875,97733.234375,478255.28125
